date,kz_index
"Dec. 31, 2019",0.1592
"Dec. 31, 2018",0.5392
"Dec. 31, 2017",1.172
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",0.8443
"Dec. 31, 2013",1.105
"Dec. 31, 2012",1.201
"Dec. 31, 2011",0.9428
"Dec. 31, 2010",1.158
"Dec. 31, 2009",
"Dec. 31, 2008",0.2678
"Dec. 31, 2007",0.5639
"Dec. 31, 2006",
"Dec. 31, 2005",0.8058
"Dec. 31, 2004",0.957
"Dec. 31, 2003",1.008
"Dec. 31, 2002",
"Dec. 31, 2001",1.022
"Dec. 31, 2000",1.698
"Dec. 31, 1999",1.366
"Dec. 31, 1998",1.544
"Dec. 31, 1997",1.261
"Dec. 31, 1996",1.062
"Dec. 31, 1995",0.8021
"Dec. 31, 1994",0.4343
"Dec. 31, 1993",0.5051
"Dec. 31, 1992",0.4028
"Dec. 31, 1991",1.138
"Dec. 31, 1990",1.252
