date,tangible_common_equity_ratio
"Dec. 31, 2019",58.29%
"Sept. 30, 2019",57.81%
"June 30, 2019",57.70%
"March 31, 2019",55.81%
"Dec. 31, 2018",57.06%
"Sept. 30, 2018",55.11%
"June 30, 2018",54.38%
"March 31, 2018",54.78%
"Dec. 31, 2017",54.58%
"Sept. 30, 2017",48.33%
"June 30, 2017",47.51%
"March 31, 2017",47.68%
"Dec. 31, 2016",47.72%
"Sept. 30, 2016",46.17%
"June 30, 2016",46.68%
"March 31, 2016",47.10%
"Dec. 31, 2015",47.99%
"Sept. 30, 2015",48.70%
"June 30, 2015",51.43%
"March 31, 2015",50.36%
"Dec. 31, 2014",50.95%
"Sept. 30, 2014",51.36%
"June 30, 2014",50.17%
"March 31, 2014",49.88%
"Dec. 31, 2013",50.43%
"Sept. 30, 2013",49.30%
"June 30, 2013",49.47%
"March 31, 2013",48.72%
"Dec. 31, 2012",48.60%
"Sept. 30, 2012",49.21%
"June 30, 2012",51.37%
"March 31, 2012",50.84%
"Dec. 31, 2011",50.89%
"Sept. 30, 2011",50.39%
"June 30, 2011",50.41%
"March 31, 2011",50.07%
"Dec. 31, 2010",47.32%
"Sept. 30, 2010",50.73%
"June 30, 2010",52.05%
"March 31, 2010",54.92%
"Dec. 31, 2009",55.18%
"Sept. 30, 2009",55.27%
"June 30, 2009",55.14%
"March 31, 2009",57.03%
"Dec. 31, 2008",56.51%
"Sept. 30, 2008",56.34%
"June 30, 2008",52.21%
"March 31, 2008",55.52%
"Dec. 31, 2007",57.78%
"Sept. 30, 2007",57.41%
"June 30, 2007",59.29%
"March 31, 2007",58.95%
"Dec. 31, 2006",58.99%
"Sept. 30, 2006",58.65%
"June 30, 2006",58.43%
"March 31, 2006",56.34%
"Dec. 31, 2005",54.39%
"Sept. 30, 2005",53.40%
"June 30, 2005",51.35%
"March 31, 2005",49.94%
"Dec. 31, 2004",49.09%
"Sept. 30, 2004",47.51%
"June 30, 2004",45.43%
"March 31, 2004",43.73%
"Dec. 31, 2003",43.69%
"Sept. 30, 2003",44.11%
"June 30, 2003",43.24%
"March 31, 2003",41.14%
"Dec. 31, 2002",39.97%
"Sept. 30, 2002",41.10%
"June 30, 2002",42.84%
"March 31, 2002",42.46%
"Dec. 31, 2001",43.79%
"Sept. 30, 2001",45.54%
"June 30, 2001",47.07%
"March 31, 2001",45.98%
"Dec. 31, 2000",41.11%
"Sept. 30, 2000",38.34%
"June 30, 2000",38.31%
"March 31, 2000",37.72%
"Dec. 31, 1999",37.63%
"Sept. 30, 1999",36.64%
"June 30, 1999",44.23%
"March 31, 1999",42.96%
"Dec. 31, 1998",42.42%
"Sept. 30, 1998",43.08%
"June 30, 1998",47.04%
"March 31, 1998",47.44%
"Dec. 31, 1997",47.04%
"Sept. 30, 1997",48.83%
"June 30, 1997",49.49%
"March 31, 1997",50.60%
"Dec. 31, 1996",51.46%
"Sept. 30, 1996",55.59%
"June 30, 1996",55.44%
"March 31, 1996",54.52%
"Dec. 31, 1995",54.19%
"Sept. 30, 1995",54.04%
"June 30, 1995",54.32%
"March 31, 1995",53.59%
"Dec. 31, 1994",56.04%
"Sept. 30, 1994",54.95%
"June 30, 1994",54.40%
"March 31, 1994",53.73%
"Dec. 31, 1993",51.52%
"Sept. 30, 1993",51.09%
"June 30, 1993",51.50%
"March 31, 1993",50.68%
"Dec. 31, 1992",48.18%
"Sept. 30, 1992",48.26%
"June 30, 1992",46.10%
"March 31, 1992",46.31%
"Dec. 31, 1991",44.67%
"Sept. 30, 1991",44.81%
"June 30, 1991",46.04%
"March 31, 1991",43.30%
"Dec. 31, 1990",43.02%
"Sept. 30, 1990",42.27%
"June 30, 1990",41.97%
"March 31, 1990",42.87%
"Dec. 31, 1989",42.63%
