date,net_income_annual_cs_rev
"Dec. 31, 2019",15.97%
"Dec. 31, 2018",20.10%
"Dec. 31, 2017",23.01%
"Dec. 31, 2016",-14.89%
"Dec. 31, 2015",-51.90%
"Dec. 31, 2014",16.69%
"Dec. 31, 2013",15.44%
"Dec. 31, 2012",4.98%
"Dec. 31, 2011",11.37%
"Dec. 31, 2010",2.74%
"Dec. 31, 2009",11.42%
"Dec. 31, 2008",34.19%
"Dec. 31, 2007",26.62%
"Dec. 31, 2006",36.27%
"Dec. 31, 2005",34.92%
"Dec. 31, 2004",27.16%
"Dec. 31, 2003",23.66%
"Dec. 31, 2002",7.63%
"Dec. 31, 2001",24.09%
"Dec. 31, 2000",26.64%
"Dec. 31, 1999",67.58%
"Dec. 31, 1998",6.95%
"Dec. 31, 1997",15.57%
"Dec. 31, 1996",19.16%
"Dec. 31, 1995",21.91%
"Dec. 31, 1994",23.86%
"Dec. 31, 1993",24.31%
"Dec. 31, 1992",21.55%
"Dec. 31, 1991",14.16%
"Dec. 31, 1990",12.25%
"Dec. 31, 1989",-2.11%
