date,return_on_invested_capital
"Dec. 31, 2019",10.49%
"Sept. 30, 2019",11.64%
"June 30, 2019",14.14%
"March 31, 2019",13.82%
"Dec. 31, 2018",14.22%
"Sept. 30, 2018",21.53%
"June 30, 2018",17.41%
"March 31, 2018",14.77%
"Dec. 31, 2017",12.21%
"Sept. 30, 2017",0.05%
"June 30, 2017",-1.40%
"March 31, 2017",-3.01%
"Dec. 31, 2016",-5.61%
"Sept. 30, 2016",-6.42%
"June 30, 2016",-25.22%
"March 31, 2016",-22.57%
"Dec. 31, 2015",-20.36%
"Sept. 30, 2015",-16.48%
"June 30, 2015",5.86%
"March 31, 2015",8.97%
"Dec. 31, 2014",12.88%
"Sept. 30, 2014",13.78%
"June 30, 2014",11.18%
"March 31, 2014",11.23%
"Dec. 31, 2013",10.68%
"Sept. 30, 2013",5.47%
"June 30, 2013",5.08%
"March 31, 2013",3.85%
"Dec. 31, 2012",3.04%
"Sept. 30, 2012",6.51%
"June 30, 2012",7.76%
"March 31, 2012",7.30%
"Dec. 31, 2011",6.41%
"Sept. 30, 2011",6.29%
"June 30, 2011",2.66%
"March 31, 2011",1.21%
"Dec. 31, 2010",1.16%
"Sept. 30, 2010",3.85%
"June 30, 2010",4.55%
"March 31, 2010",4.12%
"Dec. 31, 2009",4.61%
"Sept. 30, 2009",5.30%
"June 30, 2009",20.16%
"March 31, 2009",23.60%
"Dec. 31, 2008",26.01%
"Sept. 30, 2008",26.64%
"June 30, 2008",12.24%
"March 31, 2008",14.53%
"Dec. 31, 2007",15.03%
"Sept. 30, 2007",14.12%
"June 30, 2007",16.40%
"March 31, 2007",17.58%
"Dec. 31, 2006",21.92%
"Sept. 30, 2006",26.95%
"June 30, 2006",29.62%
"March 31, 2006",30.08%
"Dec. 31, 2005",27.37%
"Sept. 30, 2005",23.32%
"June 30, 2005",20.61%
"March 31, 2005",19.07%
"Dec. 31, 2004",17.25%
"Sept. 30, 2004",14.32%
"June 30, 2004",13.34%
"March 31, 2004",12.79%
"Dec. 31, 2003",14.22%
"Sept. 30, 2003",13.75%
"June 30, 2003",11.00%
"March 31, 2003",8.75%
"Dec. 31, 2002",3.25%
"Sept. 30, 2002",0.69%
"June 30, 2002",2.44%
"March 31, 2002",6.65%
"Dec. 31, 2001",17.17%
"Sept. 30, 2001",25.88%
"June 30, 2001",28.55%
"March 31, 2001",26.43%
"Dec. 31, 2000",18.48%
"Sept. 30, 2000",12.53%
"June 30, 2000",30.46%
"March 31, 2000",26.99%
"Dec. 31, 1999",24.60%
"Sept. 30, 1999",23.25%
"June 30, 1999",1.76%
"March 31, 1999",1.49%
"Dec. 31, 1998",2.54%
"Sept. 30, 1998",4.23%
"June 30, 1998",5.67%
"March 31, 1998",6.47%
"Dec. 31, 1997",6.52%
"Sept. 30, 1997",6.42%
"June 30, 1997",6.77%
"March 31, 1997",8.54%
"Dec. 31, 1996",9.07%
"Sept. 30, 1996",9.20%
"June 30, 1996",9.55%
"March 31, 1996",9.88%
"Dec. 31, 1995",10.54%
"Sept. 30, 1995",11.80%
"June 30, 1995",12.95%
"March 31, 1995",12.31%
"Dec. 31, 1994",12.73%
"Sept. 30, 1994",12.79%
"June 30, 1994",12.73%
"March 31, 1994",13.04%
"Dec. 31, 1993",13.33%
"Sept. 30, 1993",13.91%
"June 30, 1993",12.26%
"March 31, 1993",10.28%
"Dec. 31, 1992",9.38%
"Sept. 30, 1992",7.60%
"June 30, 1992",6.82%
"March 31, 1992",6.22%
"Dec. 31, 1991",5.28%
"Sept. 30, 1991",5.15%
"June 30, 1991",4.67%
"March 31, 1991",4.55%
"Dec. 31, 1990",4.56%
"Sept. 30, 1990",2.77%
"June 30, 1990",1.58%
