date,price_target_upside
"March 19, 2020",105.9%
"March 18, 2020",137.0%
"March 17, 2020",128.3%
"March 16, 2020",146.5%
"March 13, 2020",148.4%
"March 12, 2020",174.0%
"March 11, 2020",129.2%
"March 10, 2020",116.3%
"March 9, 2020",140.7%
"March 6, 2020",77.69%
"March 5, 2020",58.82%
"March 4, 2020",53.35%
"March 3, 2020",57.40%
"March 2, 2020",56.88%
"Feb. 28, 2020",57.47%
"Feb. 27, 2020",68.48%
"Feb. 26, 2020",59.95%
"Feb. 25, 2020",50.99%
"Feb. 24, 2020",44.68%
"Feb. 21, 2020",36.30%
"Feb. 20, 2020",33.11%
"Feb. 19, 2020",30.88%
"Feb. 18, 2020",35.71%
"Feb. 14, 2020",35.01%
"Feb. 13, 2020",33.68%
"Feb. 12, 2020",34.22%
"Feb. 11, 2020",35.27%
"Feb. 10, 2020",37.27%
"Feb. 7, 2020",36.65%
"Feb. 6, 2020",33.91%
"Feb. 5, 2020",31.86%
"Feb. 4, 2020",38.01%
"Feb. 3, 2020",42.88%
"Jan. 31, 2020",39.74%
"Jan. 30, 2020",34.34%
"Jan. 29, 2020",35.37%
"Jan. 28, 2020",32.01%
"Jan. 27, 2020",32.72%
"Jan. 24, 2020",27.27%
"Jan. 23, 2020",23.92%
"Jan. 22, 2020",21.62%
"Jan. 21, 2020",20.28%
"Jan. 17, 2020",17.39%
"Jan. 16, 2020",14.83%
"Jan. 15, 2020",15.20%
"Jan. 14, 2020",15.75%
"Jan. 13, 2020",16.68%
"Jan. 10, 2020",15.70%
"Jan. 9, 2020",13.10%
"Jan. 8, 2020",14.38%
"Jan. 7, 2020",11.56%
"Jan. 6, 2020",12.79%
"Jan. 3, 2020",16.61%
"Jan. 2, 2020",17.57%
"Dec. 31, 2019",18.11%
"Dec. 30, 2019",20.07%
"Dec. 27, 2019",18.99%
"Dec. 26, 2019",18.26%
"Dec. 24, 2019",18.04%
"Dec. 23, 2019",18.65%
"Dec. 20, 2019",19.64%
"Dec. 19, 2019",21.72%
"Dec. 18, 2019",22.72%
"Dec. 17, 2019",25.26%
"Dec. 16, 2019",27.03%
"Dec. 13, 2019",31.10%
"Dec. 12, 2019",29.02%
