date,beneish_m_score
"Dec. 31, 2019",-2.907
"Dec. 31, 2018",-3.055
"Dec. 31, 2017",-1.400
"Dec. 31, 2016",-2.595
"Dec. 31, 2015",-4.162
"Dec. 31, 2014",-3.489
"Dec. 31, 2013",-3.418
"Dec. 31, 2012",-3.208
"Dec. 31, 2011",-3.114
"Dec. 31, 2010",-2.196
"Dec. 31, 2009",-3.283
"Dec. 31, 2008",
"Dec. 31, 2007",-2.420
"Dec. 31, 2006",-3.136
"Dec. 31, 2005",-2.632
"Dec. 31, 2004",-2.703
"Dec. 31, 2003",-3.017
"Dec. 31, 2002",-2.654
"Dec. 31, 2001",-3.865
"Dec. 31, 2000",-3.655
"Dec. 31, 1999",-3.017
"Dec. 31, 1998",-3.867
"Dec. 31, 1997",-3.865
"Dec. 31, 1996",-4.025
"Dec. 31, 1995",-3.396
"Dec. 31, 1994",-3.880
"Dec. 31, 1993",-4.113
"Dec. 31, 1992",-3.198
"Dec. 31, 1991",-3.007
"Dec. 31, 1990",-4.017
