date,capex_ttm
"Dec. 31, 2019",6.423B
"Sept. 30, 2019",6.356B
"June 30, 2019",6.515B
"March 31, 2019",6.636B
"Dec. 31, 2018",6.076B
"Sept. 30, 2018",5.831B
"June 30, 2018",5.276B
"March 31, 2018",4.619B
"Dec. 31, 2017",4.124B
"Sept. 30, 2017",3.808B
"June 30, 2017",3.368B
"March 31, 2017",2.956B
"Dec. 31, 2016",2.583B
"Sept. 30, 2016",2.685B
"June 30, 2016",3.388B
"March 31, 2016",4.041B
"Dec. 31, 2015",5.013B
"Sept. 30, 2015",6.177B
"June 30, 2015",6.933B
"March 31, 2015",7.890B
"Dec. 31, 2014",8.247B
"Sept. 30, 2014",7.945B
"June 30, 2014",7.754B
"March 31, 2014",7.267B
"Dec. 31, 2013",7.061B
"Sept. 30, 2013",6.906B
"June 30, 2013",6.725B
"March 31, 2013",7.002B
"Dec. 31, 2012",7.355B
"Sept. 30, 2012",7.587B
"June 30, 2012",7.552B
"March 31, 2012",7.313B
"Dec. 31, 2011",6.951B
"Sept. 30, 2011",6.785B
"June 30, 2011",6.640B
"March 31, 2011",6.144B
"Dec. 31, 2010",5.581B
"Sept. 30, 2010",4.958B
"June 30, 2010",4.322B
"March 31, 2010",3.740B
"Dec. 31, 2009",3.503B
"Sept. 30, 2009",3.851B
"June 30, 2009",4.440B
"March 31, 2009",4.935B
"Dec. 31, 2008",5.195B
"Sept. 30, 2008",4.890B
"June 30, 2008",4.272B
"March 31, 2008",3.959B
"Dec. 31, 2007",3.679B
"Sept. 30, 2007",3.508B
"June 30, 2007",3.378B
"March 31, 2007",3.098B
"Dec. 31, 2006",2.819B
"Sept. 30, 2006",2.454B
"June 30, 2006",2.152B
"March 31, 2006",1.950B
"Dec. 31, 2005",1.725B
"Sept. 30, 2005",1.699B
"June 30, 2005",1.615B
"March 31, 2005",1.540B
"Dec. 31, 2004",1.417B
"Sept. 30, 2004",1.622B
"June 30, 2004",1.484B
"March 31, 2004",1.346B
"Dec. 31, 2003",1.246B
"Sept. 30, 2003",784.67M
"June 30, 2003",734.16M
"March 31, 2003",728.64M
"Dec. 31, 2002",760.88M
"Sept. 30, 2002",761.02M
"June 30, 2002",905.85M
"March 31, 2002",977.02M
"Dec. 31, 2001",974.02M
"Sept. 30, 2001",933.85M
"June 30, 2001",842.95M
"March 31, 2001",693.59M
"Dec. 31, 2000",602.64M
"Sept. 30, 2000",524.37M
"June 30, 2000",396.36M
"March 31, 2000",383.44M
"Dec. 31, 1999",396.45M
"Sept. 30, 1999",405.10M
"June 30, 1999",599.40M
"March 31, 1999",664.40M
"Dec. 31, 1998",690.40M
"Sept. 30, 1998",758.00M
"June 30, 1998",599.80M
"March 31, 1998",607.50M
"Dec. 31, 1997",626.20M
"Sept. 30, 1997",667.60M
"June 30, 1997",659.00M
"March 31, 1997",605.20M
"Dec. 31, 1996",539.30M
"Sept. 30, 1996",419.70M
"June 30, 1996",416.40M
"March 31, 1996",421.40M
"Dec. 31, 1995",445.00M
"Sept. 30, 1995",433.80M
"June 30, 1995",462.80M
"March 31, 1995",447.50M
"Dec. 31, 1994",442.10M
"Sept. 30, 1994",472.00M
"June 30, 1994",399.00M
"March 31, 1994",380.20M
"Dec. 31, 1993",383.10M
"Sept. 30, 1993",433.20M
"June 30, 1993",430.70M
"March 31, 1993",406.10M
"Dec. 31, 1992",362.40M
"Sept. 30, 1992",235.50M
"June 30, 1992",212.30M
"March 31, 1992",205.40M
"Dec. 31, 1991",211.70M
"Sept. 30, 1991",257.40M
"June 30, 1991",249.60M
"March 31, 1991",296.30M
"Dec. 31, 1990",308.90M
"Sept. 30, 1990",221.70M
"June 30, 1990",159.80M
"March 31, 1990",66.60M
