date,revenue_per_employee_annual
"Dec. 31, 2019",6.008M
"Dec. 31, 2018",6.227M
"Dec. 31, 2017",4.225M
"Dec. 31, 2016",2.722M
"Dec. 31, 2015",3.027M
"Dec. 31, 2014",6.025M
"Dec. 31, 2013",5.223M
"Dec. 31, 2012",4.403M
"Dec. 31, 2011",3.967M
"Dec. 31, 2010",2.666M
"Dec. 31, 2009",2.280M
"Dec. 31, 2008",3.655M
"Dec. 31, 2007",2.430M
"Dec. 31, 2006",2.414M
"Dec. 31, 2005",2.722M
"Dec. 31, 2004",1.958M
"Dec. 31, 2003",1.732M
"Dec. 31, 2002",1.166M
"Dec. 31, 2001",1.829M
"Dec. 31, 2000",1.857M
"Dec. 31, 1999",865911.6
"Dec. 31, 1998",802235.2
"Dec. 31, 1997",1.062M
"Dec. 31, 1996",1.124M
"Dec. 31, 1995",998000.0
"Dec. 31, 1994",954153.8
"Dec. 31, 1993",873384.6
"Dec. 31, 1992",707812.5
"Dec. 31, 1991",656949.2
"Dec. 31, 1990",675090.9
