date,operating_margin_ttm
"Dec. 31, 2019",23.91%
"Sept. 30, 2019",24.92%
"June 30, 2019",27.24%
"March 31, 2019",26.72%
"Dec. 31, 2018",27.29%
"Sept. 30, 2018",25.83%
"June 30, 2018",21.21%
"March 31, 2018",17.43%
"Dec. 31, 2017",13.40%
"Sept. 30, 2017",8.89%
"June 30, 2017",5.26%
"March 31, 2017",0.96%
"Dec. 31, 2016",-11.01%
"Sept. 30, 2016",-15.35%
"June 30, 2016",-12.02%
"March 31, 2016",-6.90%
"Dec. 31, 2015",-0.73%
"Sept. 30, 2015",12.80%
"June 30, 2015",22.28%
"March 31, 2015",26.63%
"Dec. 31, 2014",31.35%
"Sept. 30, 2014",30.74%
"June 30, 2014",27.72%
"March 31, 2014",27.98%
"Dec. 31, 2013",26.45%
"Sept. 30, 2013",24.95%
"June 30, 2013",24.29%
"March 31, 2013",22.31%
"Dec. 31, 2012",22.34%
"Sept. 30, 2012",23.83%
"June 30, 2012",25.30%
"March 31, 2012",27.48%
"Dec. 31, 2011",27.11%
"Sept. 30, 2011",23.79%
"June 30, 2011",22.31%
"March 31, 2011",17.47%
"Dec. 31, 2010",17.81%
"Sept. 30, 2010",26.84%
"June 30, 2010",25.35%
"March 31, 2010",24.39%
"Dec. 31, 2009",26.67%
"Sept. 30, 2009",28.52%
"June 30, 2009",52.75%
"March 31, 2009",54.45%
"Dec. 31, 2008",55.56%
"Sept. 30, 2008",55.17%
"June 30, 2008",37.53%
"March 31, 2008",42.37%
"Dec. 31, 2007",43.40%
"Sept. 30, 2007",45.77%
"June 30, 2007",48.79%
"March 31, 2007",50.35%
"Dec. 31, 2006",56.02%
"Sept. 30, 2006",58.92%
"June 30, 2006",60.32%
"March 31, 2006",60.90%
"Dec. 31, 2005",58.75%
"Sept. 30, 2005",53.66%
"June 30, 2005",51.30%
"March 31, 2005",49.67%
"Dec. 31, 2004",48.25%
"Sept. 30, 2004",44.49%
"June 30, 2004",43.98%
"March 31, 2004",42.61%
"Dec. 31, 2003",45.40%
"Sept. 30, 2003",39.74%
"June 30, 2003",35.19%
"March 31, 2003",30.96%
"Dec. 31, 2002",15.84%
"Sept. 30, 2002",9.27%
"June 30, 2002",14.45%
"March 31, 2002",25.64%
"Dec. 31, 2001",41.92%
"Sept. 30, 2001",51.28%
"June 30, 2001",54.08%
"March 31, 2001",53.12%
"Dec. 31, 2000",46.78%
"Sept. 30, 2000",35.93%
"June 30, 2000",17.94%
"March 31, 2000",7.41%
"Dec. 31, 1999",-2.36%
"Sept. 30, 1999",-2.94%
"June 30, 1999",6.32%
"March 31, 1999",8.58%
"Dec. 31, 1998",14.05%
"Sept. 30, 1998",20.20%
"June 30, 1998",23.80%
"March 31, 1998",23.63%
"Dec. 31, 1997",24.59%
"Sept. 30, 1997",23.42%
"June 30, 1997",23.81%
"March 31, 1997",28.99%
"Dec. 31, 1996",28.58%
"Sept. 30, 1996",28.30%
"June 30, 1996",27.78%
"March 31, 1996",28.33%
"Dec. 31, 1995",30.16%
"Sept. 30, 1995",33.38%
"June 30, 1995",31.76%
"March 31, 1995",26.28%
"Dec. 31, 1994",24.83%
"Sept. 30, 1994",16.08%
"June 30, 1994",17.09%
"March 31, 1994",18.09%
"Dec. 31, 1993",17.97%
"Sept. 30, 1993",22.93%
"June 30, 1993",23.73%
"March 31, 1993",22.04%
"Dec. 31, 1992",22.00%
"Sept. 30, 1992",19.61%
"June 30, 1992",16.43%
"March 31, 1992",16.78%
"Dec. 31, 1991",16.43%
"Sept. 30, 1991",15.99%
"June 30, 1991",12.88%
"March 31, 1991",10.62%
"Dec. 31, 1990",11.25%
"Sept. 30, 1990",-53.09%
"June 30, 1990",-33.51%
"March 31, 1990",-13.36%
"Dec. 31, 1989",2.14%
