date,ni_per_employee_annual
"Dec. 31, 2019",959617.5
"Dec. 31, 2018",1.251M
"Dec. 31, 2017",971990.6
"Dec. 31, 2016",-405429.2
"Dec. 31, 2015",-1.571M
"Dec. 31, 2014",1.005M
"Dec. 31, 2013",806278.5
"Dec. 31, 2012",219338.1
"Dec. 31, 2011",450877.3
"Dec. 31, 2010",73190.89
"Dec. 31, 2009",260298.6
"Dec. 31, 2008",1.250M
"Dec. 31, 2007",646835.6
"Dec. 31, 2006",875343.4
"Dec. 31, 2005",950623.4
"Dec. 31, 2004",531791.5
"Dec. 31, 2003",409661.9
"Dec. 31, 2002",88952.04
"Dec. 31, 2001",440459.7
"Dec. 31, 2000",494618.1
"Dec. 31, 1999",585186.6
"Dec. 31, 1998",55752.85
"Dec. 31, 1997",165423.7
"Dec. 31, 1996",215384.6
"Dec. 31, 1995",218615.4
"Dec. 31, 1994",227692.3
"Dec. 31, 1993",212307.7
"Dec. 31, 1992",152500.0
"Dec. 31, 1991",93050.85
"Dec. 31, 1990",82727.27
