date,total_employee_number
"Dec. 31, 2019",2900
"Dec. 31, 2018",2800
"Dec. 31, 2017",2664
"Dec. 31, 2016",2650
"Dec. 31, 2015",2760
"Dec. 31, 2014",3000
"Dec. 31, 2013",2800
"Dec. 31, 2012",2650
"Dec. 31, 2011",2550
"Dec. 31, 2010",2290
"Dec. 31, 2009",2100
"Sept. 30, 2009",2100
"Dec. 31, 2008",2100
"Dec. 31, 2007",1800
"Dec. 31, 2006",1570
"Dec. 31, 2005",1400
"Dec. 31, 2004",1250
"Dec. 31, 2003",1100
"Dec. 31, 2002",1000
"Dec. 31, 2001",960
"Dec. 31, 2000",850
"Dec. 31, 1999",755
"Dec. 31, 1998",1190
"Dec. 31, 1997",825
"Dec. 31, 1996",650
"Dec. 31, 1995",650
"Dec. 31, 1994",650
"Dec. 31, 1993",650
"Dec. 31, 1992",650
"Dec. 31, 1991",630
"Dec. 31, 1990",550
"Dec. 31, 1989",550
