date,Open,High,Low,Close
"March 19, 2020",131.65,131.65,131.65,131.65
"March 18, 2020",123.02,123.02,123.02,123.02
"March 17, 2020",131.91,131.91,131.91,131.91
"March 16, 2020",137.10,137.10,137.10,137.10
"March 13, 2020",152.48,152.48,152.48,152.48
"March 12, 2020",155.85,155.85,155.85,155.85
"March 11, 2020",180.28,180.28,180.28,180.28
"March 10, 2020",182.47,182.47,182.47,182.47
"March 9, 2020",189.22,189.22,189.22,189.22
"March 6, 2020",200.22,200.22,200.22,200.22
"March 5, 2020",204.60,204.60,204.60,204.60
"March 4, 2020",205.88,205.88,205.88,205.88
"March 3, 2020",202.00,202.00,202.00,202.00
"March 2, 2020",198.75,198.75,198.75,198.75
"Feb. 28, 2020",195.70,195.70,195.70,195.70
"Feb. 27, 2020",202.99,202.99,202.99,202.99
"Feb. 26, 2020",206.56,206.56,206.56,206.56
"Feb. 25, 2020",207.25,207.25,207.25,207.25
"Feb. 24, 2020",211.61,211.61,211.61,211.61
"Feb. 21, 2020",215.00,215.00,215.00,215.00
"Feb. 20, 2020",214.57,214.57,214.57,214.57
"Feb. 19, 2020",216.41,216.41,216.41,216.41
"Feb. 18, 2020",215.79,215.79,215.79,215.79
"Feb. 17, 2020",215.50,215.50,215.50,215.50
"Feb. 14, 2020",216.17,216.17,216.17,216.17
"Feb. 13, 2020",212.58,212.58,212.58,212.58
"Feb. 12, 2020",212.99,212.99,212.99,212.99
"Feb. 11, 2020",214.45,214.45,214.45,214.45
"Feb. 10, 2020",213.66,213.66,213.66,213.66
"Feb. 7, 2020",212.23,212.23,212.23,212.23
"Feb. 6, 2020",213.05,213.05,213.05,213.05
"Feb. 5, 2020",213.13,213.13,213.13,213.13
"Feb. 4, 2020",213.79,213.79,213.79,213.79
"Feb. 3, 2020",213.90,213.90,213.90,213.90
"Jan. 31, 2020",213.95,213.95,213.95,213.95
"Jan. 30, 2020",213.88,213.88,213.88,213.88
"Jan. 29, 2020",214.32,214.32,214.32,214.32
"Jan. 28, 2020",212.22,212.22,212.22,212.22
"Jan. 27, 2020",212.36,212.36,212.36,212.36
"Jan. 24, 2020",215.65,215.65,215.65,215.65
"Jan. 23, 2020",214.38,214.38,214.38,214.38
"Jan. 22, 2020",214.39,214.39,214.39,214.39
"Jan. 21, 2020",214.92,214.92,214.92,214.92
"Jan. 20, 2020",213.80,213.80,213.80,213.80
"Jan. 17, 2020",214.38,214.38,214.38,214.38
"Jan. 16, 2020",215.22,215.22,215.22,215.22
"Jan. 15, 2020",213.66,213.66,213.66,213.66
"Jan. 14, 2020",212.48,212.48,212.48,212.48
"Jan. 13, 2020",212.09,212.09,212.09,212.09
"Jan. 10, 2020",210.94,210.94,210.94,210.94
"Jan. 9, 2020",211.16,211.16,211.16,211.16
"Jan. 8, 2020",212.05,212.05,212.05,212.05
"Jan. 7, 2020",214.84,214.84,214.84,214.84
"Jan. 6, 2020",214.94,214.94,214.94,214.94
"Jan. 3, 2020",216.29,216.29,216.29,216.29
"Jan. 2, 2020",215.81,215.81,215.81,215.81
"Jan. 1, 2020",214.85,214.85,214.85,214.85
"Dec. 31, 2019",214.85,214.85,214.85,214.85
"Dec. 30, 2019",214.49,214.49,214.49,214.49
"Dec. 27, 2019",214.32,214.32,214.32,214.32
"Dec. 26, 2019",211.13,211.13,211.13,211.13
"Dec. 25, 2019",210.97,210.97,210.97,210.97
"Dec. 24, 2019",210.97,210.97,210.97,210.97
"Dec. 23, 2019",210.73,210.73,210.73,210.73
"Dec. 20, 2019",210.49,210.49,210.49,210.49
"Dec. 19, 2019",209.79,209.79,209.79,209.79
"Dec. 18, 2019",208.87,208.87,208.87,208.87
"Dec. 17, 2019",208.88,208.88,208.88,208.88
"Dec. 16, 2019",208.58,208.58,208.58,208.58
"Dec. 13, 2019",206.56,206.56,206.56,206.56
"Dec. 12, 2019",207.61,207.61,207.61,207.61
"Dec. 11, 2019",208.61,208.61,208.61,208.61
"Dec. 10, 2019",209.76,209.76,209.76,209.76
"Dec. 9, 2019",208.56,208.56,208.56,208.56
"Dec. 6, 2019",207.65,207.65,207.65,207.65
"Dec. 5, 2019",206.21,206.21,206.21,206.21
"Dec. 4, 2019",206.45,206.45,206.45,206.45
"Dec. 3, 2019",206.83,206.83,206.83,206.83
"Dec. 2, 2019",206.02,206.02,206.02,206.02
"Nov. 29, 2019",208.01,208.01,208.01,208.01
"Nov. 28, 2019",208.03,208.03,208.03,208.03
"Nov. 27, 2019",208.23,208.23,208.23,208.23
"Nov. 26, 2019",209.12,209.12,209.12,209.12
"Nov. 25, 2019",206.64,206.64,206.64,206.64
"Nov. 22, 2019",205.96,205.96,205.96,205.96
"Nov. 21, 2019",206.70,206.70,206.70,206.70
"Nov. 20, 2019",207.75,207.75,207.75,207.75
"Nov. 19, 2019",210.50,210.50,210.50,210.50
"Nov. 18, 2019",210.89,210.89,210.89,210.89
"Nov. 15, 2019",206.60,206.60,206.60,206.60
"Nov. 14, 2019",205.78,205.78,205.78,205.78
"Nov. 13, 2019",205.26,205.26,205.26,205.26
"Nov. 12, 2019",203.94,203.94,203.94,203.94
"Nov. 11, 2019",204.57,204.57,204.57,204.57
"Nov. 8, 2019",203.94,203.94,203.94,203.94
"Nov. 7, 2019",205.31,205.31,205.31,205.31
"Nov. 6, 2019",206.99,206.99,206.99,206.99
"Nov. 5, 2019",206.24,206.24,206.24,206.24
"Nov. 4, 2019",208.94,208.94,208.94,208.94
"Nov. 1, 2019",207.16,207.16,207.16,207.16
"Oct. 31, 2019",207.60,207.60,207.60,207.60
"Oct. 30, 2019",206.47,206.47,206.47,206.47
"Oct. 29, 2019",205.44,205.44,205.44,205.44
"Oct. 28, 2019",204.83,204.83,204.83,204.83
"Oct. 25, 2019",205.54,205.54,205.54,205.54
