date,Open,High,Low,Close
"March 19, 2020",6996.45,7341.38,6858.38,7150.58
"March 18, 2020",6902.32,7182.83,6686.36,6989.84
"March 17, 2020",7072.00,7406.23,6828.91,7334.78
"March 16, 2020",7392.73,7422.20,6882.86,6904.59
"March 13, 2020",7610.39,7875.93,7219.09,7874.88
"March 12, 2020",7398.58,7712.33,7194.67,7201.80
"March 11, 2020",8136.25,8181.36,7850.95,7952.05
"March 10, 2020",8219.76,8347.40,7930.43,8344.25
"March 9, 2020",7957.93,8243.31,7943.16,7950.68
"March 6, 2020",8469.02,8612.36,8375.13,8575.62
"March 5, 2020",8790.09,8921.08,8677.39,8738.60
"March 4, 2020",8834.10,9019.96,8757.66,9018.09
"March 3, 2020",8965.10,9070.32,8602.89,8684.09
"March 2, 2020",8667.14,8952.81,8543.35,8952.16
"Feb. 28, 2020",8269.74,8591.82,8264.16,8567.37
"Feb. 27, 2020",8744.03,8904.11,8562.05,8566.48
"Feb. 26, 2020",9011.55,9148.32,8927.80,8980.77
"Feb. 25, 2020",9301.20,9315.26,8940.49,8965.61
"Feb. 24, 2020",9188.44,9322.88,9166.01,9221.28
"Feb. 21, 2020",9708.01,9715.95,9542.33,9576.59
"Feb. 20, 2020",9799.20,9820.86,9636.94,9750.96
"Feb. 19, 2020",9782.81,9838.37,9777.10,9817.18
"Feb. 18, 2020",9679.04,9747.68,9675.80,9732.74
"Feb. 14, 2020",9728.90,9746.36,9693.05,9731.18
"Feb. 13, 2020",9657.04,9748.32,9650.02,9711.97
"Feb. 12, 2020",9688.60,9728.77,9666.68,9725.96
"Feb. 11, 2020",9680.89,9714.74,9617.21,9638.94
"Feb. 10, 2020",9493.63,9628.66,9493.63,9628.39
"Feb. 7, 2020",9526.64,9570.09,9496.53,9520.51
"Feb. 6, 2020",9540.98,9575.66,9505.68,9572.15
"Feb. 5, 2020",9574.10,9574.94,9454.93,9508.68
"Feb. 4, 2020",9398.39,9485.38,9374.05,9467.97
"Feb. 3, 2020",9190.72,9299.85,9188.55,9273.40
"Jan. 31, 2020",9324.32,9324.80,9123.22,9150.94
"Jan. 30, 2020",9211.15,9303.00,9185.18,9298.93
"Jan. 29, 2020",9318.26,9329.11,9249.04,9275.16
"Jan. 28, 2020",9201.82,9288.87,9182.33,9269.68
"Jan. 27, 2020",9092.46,9185.45,9088.04,9139.31
"Jan. 24, 2020",9446.20,9451.43,9273.23,9314.91
"Jan. 23, 2020",9377.72,9409.20,9334.13,9402.48
"Jan. 22, 2020",9413.61,9439.29,9375.13,9383.77
"Jan. 21, 2020",9361.07,9397.58,9350.20,9370.81
"Jan. 17, 2020",9392.37,9393.48,9346.81,9388.94
"Jan. 16, 2020",9313.45,9357.92,9301.32,9357.13
"Jan. 15, 2020",9253.76,9298.82,9231.14,9258.70
"Jan. 14, 2020",9270.61,9298.33,9226.49,9251.33
"Jan. 13, 2020",9213.72,9274.49,9193.06,9273.93
"Jan. 10, 2020",9232.94,9235.20,9164.66,9178.86
"Jan. 9, 2020",9202.27,9215.95,9158.50,9203.43
"Jan. 8, 2020",9068.03,9168.89,9059.38,9129.24
"Jan. 7, 2020",9076.64,9091.93,9042.55,9068.58
