date,Open,High,Low,Close
"March 19, 2020",6615.26,6768.49,6390.69,6621.89
"March 18, 2020",6785.70,6807.47,6323.55,6638.87
"March 17, 2020",6690.89,7097.55,6535.79,7059.90
"March 16, 2020",6943.35,7130.81,6582.84,6596.71
"March 13, 2020",7149.20,7520.22,6927.34,7519.60
"March 12, 2020",7399.90,7436.49,6911.39,6924.40
"March 11, 2020",8019.20,8019.20,7637.81,7720.97
"March 10, 2020",7993.01,8172.73,7772.90,8172.27
"March 9, 2020",8294.26,8294.26,7777.52,7842.88
"March 6, 2020",8389.98,8537.42,8289.60,8503.09
"March 5, 2020",8748.34,8748.34,8517.05,8575.61
"March 4, 2020",8644.56,8903.30,8621.65,8900.54
"March 3, 2020",8758.42,8896.72,8461.95,8520.30
"March 2, 2020",8445.48,8746.95,8355.46,8746.05
"Feb. 28, 2020",8374.30,8423.03,8167.25,8394.63
"Feb. 27, 2020",8785.43,8877.33,8527.18,8530.18
"Feb. 26, 2020",9025.90,9114.74,8901.22,8909.77
"Feb. 25, 2020",9320.42,9346.37,8973.35,8996.46
"Feb. 24, 2020",9436.12,9436.12,9266.51,9296.87
"Feb. 21, 2020",9650.31,9650.31,9567.55,9602.49
"Feb. 20, 2020",9673.46,9712.79,9598.01,9679.08
"Feb. 19, 2020",9672.26,9699.70,9666.74,9680.12
"Feb. 18, 2020",9662.34,9685.32,9629.69,9661.41
"Feb. 14, 2020",9703.95,9712.10,9650.61,9682.42
"Feb. 13, 2020",9680.08,9727.42,9652.91,9700.51
"Feb. 12, 2020",9669.39,9717.81,9669.39,9710.01
"Feb. 11, 2020",9659.82,9687.56,9625.80,9636.66
"Feb. 10, 2020",9560.98,9623.08,9559.21,9622.64
"Feb. 7, 2020",9618.83,9619.63,9569.98,9581.66
"Feb. 6, 2020",9663.95,9670.55,9617.10,9644.34
"Feb. 5, 2020",9574.02,9649.01,9565.03,9638.33
"Feb. 4, 2020",9483.21,9542.22,9483.21,9506.66
"Feb. 3, 2020",9394.61,9471.46,9394.61,9406.73
"Jan. 31, 2020",9527.61,9527.61,9339.92,9370.29
"Jan. 30, 2020",9488.31,9558.18,9432.66,9550.49
"Jan. 29, 2020",9532.98,9581.37,9526.67,9527.45
"Jan. 28, 2020",9483.44,9545.16,9477.38,9512.13
"Jan. 27, 2020",9471.05,9494.76,9445.49,9456.34
"Jan. 24, 2020",9658.92,9672.05,9552.26,9603.24
"Jan. 23, 2020",9586.67,9652.16,9540.42,9647.41
"Jan. 22, 2020",9642.87,9661.10,9603.19,9606.01
"Jan. 21, 2020",9649.26,9668.45,9600.54,9618.72
"Jan. 17, 2020",9648.36,9679.58,9640.46,9674.97
"Jan. 16, 2020",9606.84,9657.87,9606.84,9656.44
"Jan. 15, 2020",9528.56,9603.78,9525.13,9573.56
"Jan. 14, 2020",9494.99,9551.44,9494.22,9524.47
"Jan. 13, 2020",9456.45,9492.93,9452.98,9492.25
"Jan. 10, 2020",9489.68,9495.45,9436.76,9447.19
"Jan. 9, 2020",9451.56,9487.78,9451.56,9481.03
"Jan. 8, 2020",9367.53,9467.01,9361.25,9424.69
"Jan. 7, 2020",9373.50,9398.61,9353.78,9372.83
"Jan. 6, 2020",9327.90,9391.37,9320.98,9390.08
"Jan. 3, 2020",9354.56,9403.86,9341.08,9385.56
"Jan. 2, 2020",9419.82,9447.56,9388.49,9446.78
"Jan. 1, 2020",9386.48,9386.48,9386.48,9386.48
"Dec. 31, 2019",9347.34,9389.67,9339.60,9386.48
"Dec. 30, 2019",9407.26,9407.49,9341.70,9359.32
"Dec. 27, 2019",9417.79,9424.58,9396.33,9409.02
"Dec. 26, 2019",9381.04,9404.62,9375.84,9403.95
"Dec. 25, 2019",9371.16,9371.16,9371.16,9371.16
"Dec. 24, 2019",9378.65,9379.77,9359.93,9371.16
"Dec. 23, 2019",9382.37,9396.52,9371.01,9374.87
"Dec. 20, 2019",9381.66,9386.39,9339.66,9368.76
"Dec. 19, 2019",9295.24,9325.15,9294.15,9321.69
"Dec. 18, 2019",9320.64,9320.64,9274.48,9290.11
"Dec. 17, 2019",9291.39,9331.76,9290.65,9309.43
"Dec. 16, 2019",9266.48,9317.66,9266.48,9299.71
"Dec. 13, 2019",9227.75,9276.90,9209.23,9241.80
