date,tangible_common_equity_ratio
"Dec. 31, 2019",17.10%
"Sept. 30, 2019",15.15%
"June 30, 2019",15.90%
"March 31, 2019",14.97%
"Dec. 31, 2018",14.88%
"Sept. 30, 2018",14.72%
"June 30, 2018",17.14%
"March 31, 2018",14.23%
"Dec. 31, 2017",13.29%
"Sept. 30, 2017",14.06%
"June 30, 2017",12.99%
"March 31, 2017",13.53%
"Dec. 31, 2016",12.76%
"Sept. 30, 2016",11.63%
"June 30, 2016",11.95%
"March 31, 2016",12.43%
"Dec. 31, 2015",12.21%
"Sept. 30, 2015",12.27%
"June 30, 2015",11.91%
"March 31, 2015",12.38%
"Dec. 31, 2014",18.64%
"Sept. 30, 2014",10.49%
"June 30, 2014",10.83%
"March 31, 2014",10.81%
"Dec. 31, 2013",10.39%
"Sept. 30, 2013",9.68%
"June 30, 2013",9.93%
"March 31, 2013",9.84%
"Dec. 31, 2012",8.89%
"Sept. 30, 2012",8.56%
"June 30, 2012",6.91%
"March 31, 2012",6.73%
"Dec. 31, 2011",6.11%
"Sept. 30, 2011",6.42%
"June 30, 2011",6.66%
"March 31, 2011",6.65%
"Dec. 31, 2010",5.72%
"Sept. 30, 2010",5.72%
"June 30, 2010",6.00%
"March 31, 2010",6.09%
"Dec. 31, 2009",5.61%
"Sept. 30, 2009",4.81%
"June 30, 2009",5.19%
"March 31, 2009",4.77%
"Dec. 31, 2008",4.50%
"Sept. 30, 2008",4.38%
"June 30, 2008",5.46%
"March 31, 2008",7.40%
"Dec. 31, 2007",7.56%
"Sept. 30, 2007",6.65%
"June 30, 2007",7.23%
"March 31, 2007",7.57%
"Dec. 31, 2006",6.41%
"Sept. 30, 2006",4.94%
"June 30, 2006",5.46%
"March 31, 2006",5.63%
"Dec. 31, 2005",5.51%
"Sept. 30, 2005",5.29%
"June 30, 2005",5.74%
"March 31, 2005",5.73%
"Dec. 31, 2004",4.54%
"Sept. 30, 2004",2.31%
"June 30, 2004",2.35%
"March 31, 2004",2.44%
"Dec. 31, 2003",1.62%
"Sept. 30, 2003",4.39%
"June 30, 2003",3.97%
"March 31, 2003",6.46%
"Dec. 31, 2002",3.21%
"Sept. 30, 2002",-2.96%
"June 30, 2002",-1.13%
"March 31, 2002",-1.16%
"Dec. 31, 2001",-1.97%
"Sept. 30, 2001",-2.14%
"June 30, 2001",-1.24%
"March 31, 2001",-0.69%
"Dec. 31, 2000",-1.17%
"Sept. 30, 2000",18.22%
"June 30, 2000",16.95%
"March 31, 2000",18.05%
"Dec. 31, 1999",19.48%
"Sept. 30, 1999",19.47%
"June 30, 1999",19.84%
"March 31, 1999",21.01%
"Dec. 31, 1998",22.04%
"Sept. 30, 1998",22.40%
"June 30, 1998",23.96%
"March 31, 1998",25.02%
"Dec. 31, 1997",24.58%
"Sept. 30, 1997",25.08%
"June 30, 1997",24.58%
"March 31, 1997",25.19%
"Dec. 31, 1996",25.66%
"Sept. 30, 1996",27.07%
"June 30, 1996",27.52%
"March 31, 1996",27.61%
"Dec. 31, 1995",28.06%
"Sept. 30, 1995",28.68%
"June 30, 1995",28.68%
"March 31, 1995",29.02%
"Dec. 31, 1994",28.07%
"Sept. 30, 1994",27.95%
"June 30, 1994",28.44%
"March 31, 1994",28.52%
