date,dividend_yield
"March 19, 2020",3.47%
"March 18, 2020",3.43%
"March 17, 2020",3.30%
"March 16, 2020",3.87%
"March 13, 2020",3.22%
"March 12, 2020",3.37%
"March 11, 2020",2.99%
"March 10, 2020",2.84%
"March 9, 2020",2.93%
"March 6, 2020",2.75%
"March 5, 2020",2.73%
"March 4, 2020",2.71%
"March 3, 2020",2.85%
"March 2, 2020",2.84%
"Feb. 28, 2020",3.00%
"Feb. 27, 2020",2.97%
"Feb. 26, 2020",2.92%
"Feb. 25, 2020",2.85%
"Feb. 24, 2020",2.77%
"Feb. 21, 2020",2.71%
"Feb. 20, 2020",2.70%
"Feb. 19, 2020",2.70%
"Feb. 18, 2020",2.68%
"Feb. 14, 2020",2.68%
"Feb. 13, 2020",2.68%
"Feb. 12, 2020",2.72%
"Feb. 11, 2020",2.71%
"Feb. 10, 2020",2.71%
"Feb. 7, 2020",2.68%
"Feb. 6, 2020",2.68%
"Feb. 5, 2020",2.69%
"Feb. 4, 2020",2.71%
"Feb. 3, 2020",2.69%
"Jan. 31, 2020",2.73%
"Jan. 30, 2020",2.75%
"Jan. 29, 2020",2.74%
"Jan. 28, 2020",2.75%
"Jan. 27, 2020",2.77%
"Jan. 24, 2020",2.75%
"Jan. 23, 2020",2.74%
"Jan. 22, 2020",2.75%
"Jan. 21, 2020",2.74%
"Jan. 17, 2020",2.75%
"Jan. 16, 2020",2.77%
"Jan. 15, 2020",2.79%
"Jan. 14, 2020",2.84%
"Jan. 13, 2020",2.87%
"Jan. 10, 2020",2.89%
"Jan. 9, 2020",2.88%
"Jan. 8, 2020",2.89%
"Jan. 7, 2020",2.90%
"Jan. 6, 2020",2.92%
"Jan. 3, 2020",2.92%
"Jan. 2, 2020",2.94%
"Dec. 31, 2019",2.87%
"Dec. 30, 2019",2.91%
"Dec. 27, 2019",2.93%
"Dec. 26, 2019",2.92%
"Dec. 24, 2019",2.92%
"Dec. 23, 2019",2.91%
"Dec. 20, 2019",2.88%
"Dec. 19, 2019",2.90%
"Dec. 18, 2019",2.90%
"Dec. 17, 2019",2.93%
"Dec. 16, 2019",2.94%
"Dec. 13, 2019",2.98%
"Dec. 12, 2019",3.00%
"Dec. 11, 2019",2.98%
"Dec. 10, 2019",2.96%
"Dec. 9, 2019",2.99%
"Dec. 6, 2019",2.99%
"Dec. 5, 2019",3.00%
"Dec. 4, 2019",3.02%
"Dec. 3, 2019",3.03%
"Dec. 2, 2019",3.06%
"Nov. 29, 2019",3.02%
"Nov. 27, 2019",3.02%
"Nov. 26, 2019",3.02%
"Nov. 25, 2019",3.01%
"Nov. 22, 2019",3.03%
"Nov. 21, 2019",3.05%
"Nov. 20, 2019",3.07%
"Nov. 19, 2019",3.07%
"Nov. 18, 2019",3.05%
"Nov. 15, 2019",3.02%
"Nov. 14, 2019",3.04%
"Nov. 13, 2019",3.03%
"Nov. 12, 2019",3.07%
"Nov. 11, 2019",3.07%
"Nov. 8, 2019",3.03%
"Nov. 7, 2019",3.00%
"Nov. 6, 2019",2.95%
"Nov. 5, 2019",2.97%
"Nov. 4, 2019",2.93%
"Nov. 1, 2019",2.89%
"Oct. 31, 2019",2.85%
"Oct. 30, 2019",2.91%
"Oct. 29, 2019",2.91%
"Oct. 28, 2019",2.90%
"Oct. 25, 2019",2.84%
"Oct. 24, 2019",2.82%
"Oct. 23, 2019",2.82%
"Oct. 22, 2019",2.81%
"Oct. 21, 2019",2.83%
"Oct. 18, 2019",2.84%
"Oct. 17, 2019",2.84%
"Oct. 16, 2019",2.84%
"Oct. 15, 2019",2.83%
"Oct. 14, 2019",2.79%
"Oct. 11, 2019",2.73%
"Oct. 10, 2019",2.74%
"Oct. 9, 2019",2.74%
"Oct. 8, 2019",2.76%
"Oct. 7, 2019",2.71%
"Oct. 4, 2019",2.68%
"Oct. 3, 2019",2.71%
"Oct. 2, 2019",2.70%
"Oct. 1, 2019",2.67%
"Sept. 30, 2019",2.66%
"Sept. 27, 2019",2.65%
"Sept. 26, 2019",2.60%
"Sept. 25, 2019",2.64%
