date,pe_ratio
"Nov. 13, 2018",
"Nov. 12, 2018",
"Nov. 9, 2018",
"Nov. 8, 2018",
"Nov. 7, 2018",
"Nov. 6, 2018",
"Nov. 5, 2018",
"Nov. 2, 2018",
"Nov. 1, 2018",
"Oct. 31, 2018",
"Oct. 30, 2018",
"Oct. 29, 2018",
"Oct. 26, 2018",
"Oct. 25, 2018",
"Oct. 24, 2018",
"Oct. 23, 2018",
"Oct. 22, 2018",
"Oct. 19, 2018",
"Oct. 18, 2018",
"Oct. 17, 2018",
"Oct. 16, 2018",
"Oct. 15, 2018",
"Oct. 12, 2018",
"Oct. 11, 2018",
"Oct. 10, 2018",
"Oct. 9, 2018",
"Oct. 8, 2018",
"Oct. 5, 2018",
"Oct. 4, 2018",
"Oct. 3, 2018",
"Oct. 2, 2018",
"Oct. 1, 2018",
"Sept. 30, 2018",
"Sept. 28, 2018",32.79
"Sept. 27, 2018",32.61
"Sept. 26, 2018",32.32
"Sept. 25, 2018",32.75
"Sept. 24, 2018",33.28
"Sept. 21, 2018",33.62
"Sept. 20, 2018",33.20
"Sept. 19, 2018",33.61
"Sept. 18, 2018",34.11
"Sept. 17, 2018",33.86
"Sept. 14, 2018",32.62
"Sept. 13, 2018",36.95
"Sept. 12, 2018",36.70
"Sept. 11, 2018",36.49
"Sept. 10, 2018",36.34
"Sept. 7, 2018",35.99
"Sept. 6, 2018",36.42
"Sept. 5, 2018",36.24
"Sept. 4, 2018",35.68
"Aug. 31, 2018",35.62
"Aug. 30, 2018",35.72
"Aug. 29, 2018",35.86
"Aug. 28, 2018",35.46
"Aug. 27, 2018",35.46
"Aug. 24, 2018",35.61
"Aug. 23, 2018",35.58
"Aug. 22, 2018",35.53
"Aug. 21, 2018",35.75
"Aug. 20, 2018",36.09
"Aug. 17, 2018",36.32
"Aug. 16, 2018",36.21
"Aug. 15, 2018",35.78
"Aug. 14, 2018",35.47
"Aug. 13, 2018",35.30
"Aug. 10, 2018",35.01
"Aug. 9, 2018",34.88
