date,ebitda_ttm
"Dec. 31, 2019",1.595B
"Sept. 30, 2019",1.560B
"June 30, 2019",1.084B
"March 31, 2019",705.90M
"Dec. 31, 2018",733.90M
"Sept. 30, 2018",1.047B
"June 30, 2018",1.497B
"March 31, 2018",1.392B
"Dec. 31, 2017",1.377B
"Sept. 30, 2017",1.346B
"June 30, 2017",1.353B
"March 31, 2017",1.463B
"Dec. 31, 2016",1.417B
"Sept. 30, 2016",1.390B
"June 30, 2016",1.385B
"March 31, 2016",1.239B
"Dec. 31, 2015",1.239B
"Sept. 30, 2015",1.226B
"June 30, 2015",1.178B
"March 31, 2015",1.431B
"Dec. 31, 2014",1.603B
"Sept. 30, 2014",1.172B
"June 30, 2014",1.297B
"March 31, 2014",1.271B
"Dec. 31, 2013",1.161B
"Sept. 30, 2013",1.679B
"June 30, 2013",1.613B
"March 31, 2013",1.617B
"Dec. 31, 2012",1.584B
"Sept. 30, 2012",1.428B
"June 30, 2012",1.448B
"March 31, 2012",1.390B
"Dec. 31, 2011",1.385B
"Sept. 30, 2011",1.396B
"June 30, 2011",1.391B
"March 31, 2011",1.384B
"Dec. 31, 2010",1.391B
"Sept. 30, 2010",1.49B
"June 30, 2010",1.461B
"March 31, 2010",1.429B
"Dec. 31, 2009",1.374B
"Sept. 30, 2009",1.448B
"June 30, 2009",1.470B
"March 31, 2009",1.475B
"Dec. 31, 2008",1.513B
"Sept. 30, 2008",1.385B
"June 30, 2008",1.362B
"March 31, 2008",1.384B
"Dec. 31, 2007",1.420B
"Sept. 30, 2007",1.525B
"June 30, 2007",1.555B
"March 31, 2007",1.542B
"Dec. 31, 2006",1.484B
"Sept. 30, 2006",1.384B
"June 30, 2006",1.345B
"March 31, 2006",1.338B
"Dec. 31, 2005",1.410B
"Sept. 30, 2005",1.552B
"June 30, 2005",1.577B
"March 31, 2005",1.605B
"Dec. 31, 2004",1.601B
"Sept. 30, 2004",1.552B
"June 30, 2004",1.572B
"March 31, 2004",1.594B
"Dec. 31, 2003",1.616B
"Sept. 30, 2003",1.695B
"June 30, 2003",1.719B
"March 31, 2003",1.677B
"Dec. 31, 2002",1.727B
"Sept. 30, 2002",1.642B
"June 30, 2002",1.655B
"March 31, 2002",1.686B
"Dec. 31, 2001",1.673B
"Sept. 30, 2001",1.596B
"June 30, 2001",1.46B
"March 31, 2001",1.335B
"Dec. 31, 2000",956.62M
"Sept. 30, 2000",772.21M
"June 30, 2000",774.79M
"March 31, 2000",759.04M
"Dec. 31, 1999",733.12M
"Sept. 30, 1999",739.12M
"June 30, 1999",715.24M
"March 31, 1999",694.18M
"Dec. 31, 1998",644.70M
"Sept. 30, 1998",662.90M
"June 30, 1998",653.10M
"March 31, 1998",649.10M
"Dec. 31, 1997",655.60M
"Sept. 30, 1997",641.40M
"June 30, 1997",624.90M
"March 31, 1997",610.30M
"Dec. 31, 1996",613.20M
"Sept. 30, 1996",599.70M
"June 30, 1996",603.90M
"March 31, 1996",601.70M
"Dec. 31, 1995",584.70M
"Sept. 30, 1995",572.80M
"June 30, 1995",554.50M
"March 31, 1995",544.50M
"Dec. 31, 1994",549.20M
"Sept. 30, 1994",871.90M
"June 30, 1994",1.095B
"March 31, 1994",1.333B
"Dec. 31, 1993",1.678B
"Sept. 30, 1993",1.676B
"June 30, 1993",1.650B
"March 31, 1993",1.63B
"Dec. 31, 1992",1.582B
"Sept. 30, 1992",1.549B
"June 30, 1992",1.556B
"March 31, 1992",1.547B
"Dec. 31, 1991",1.535B
"Sept. 30, 1991",1.530B
"June 30, 1991",1.524B
"March 31, 1991",1.530B
"Dec. 31, 1990",1.521B
"Sept. 30, 1990",1.549B
"June 30, 1990",1.550B
"March 31, 1990",1.547B
"Dec. 31, 1989",1.560B
"Sept. 30, 1989",1.534B
"June 30, 1989",1.533B
"March 31, 1989",1.526B
"Dec. 31, 1988",1.524B
"Sept. 30, 1988",1.491B
"June 30, 1988",1.498B
"March 31, 1988",1.496B
"Dec. 31, 1987",1.452B
"Sept. 30, 1987",1.458B
"June 30, 1987",1.455B
"March 31, 1987",1.508B
"Dec. 31, 1986",1.626B
"Sept. 30, 1986",1.750B
"June 30, 1986",1.819B
"March 31, 1986",1.843B
"Dec. 31, 1985",1.908B
"Sept. 30, 1985",1.898B
"June 30, 1985",1.925B
"March 31, 1985",1.989B
"Dec. 31, 1984",2.001B
