date,net_income_ttm
"Dec. 31, 2019",383.10M
"Sept. 30, 2019",510.70M
"June 30, 2019",164.60M
"March 31, 2019",-107.80M
"Dec. 31, 2018",-50.60M
"Sept. 30, 2018",-91.30M
"June 30, 2018",262.20M
"March 31, 2018",193.30M
"Dec. 31, 2017",128.50M
"Sept. 30, 2017",269.70M
"June 30, 2017",282.90M
"March 31, 2017",356.20M
"Dec. 31, 2016",331.50M
"Sept. 30, 2016",302.10M
"June 30, 2016",270.00M
"March 31, 2016",204.70M
"Dec. 31, 2015",286.50M
"Sept. 30, 2015",381.30M
"June 30, 2015",417.60M
"March 31, 2015",532.20M
"Dec. 31, 2014",530.00M
"Sept. 30, 2014",527.60M
"June 30, 2014",544.30M
"March 31, 2014",537.80M
"Dec. 31, 2013",532.10M
"Sept. 30, 2013",514.30M
"June 30, 2013",485.50M
"March 31, 2013",483.20M
"Dec. 31, 2012",416.10M
"Sept. 30, 2012",296.80M
"June 30, 2012",312.20M
"March 31, 2012",283.00M
"Dec. 31, 2011",299.10M
"Sept. 30, 2011",308.40M
"June 30, 2011",306.90M
"March 31, 2011",294.80M
"Dec. 31, 2010",282.60M
"Sept. 30, 2010",348.10M
"June 30, 2010",299.50M
"March 31, 2010",266.60M
"Dec. 31, 2009",217.70M
"Sept. 30, 2009",290.20M
"June 30, 2009",325.60M
"March 31, 2009",128.10M
"Dec. 31, 2008",79.00M
"Sept. 30, 2008",-16.00M
"June 30, 2008",-25.00M
"March 31, 2008",204.00M
"Dec. 31, 2007",321.40M
"Sept. 30, 2007",316.90M
"June 30, 2007",331.70M
"March 31, 2007",326.00M
"Dec. 31, 2006",282.20M
"Sept. 30, 2006",287.70M
"June 30, 2006",255.10M
"March 31, 2006",274.20M
"Dec. 31, 2005",308.70M
"Sept. 30, 2005",402.10M
"June 30, 2005",437.70M
"March 31, 2005",432.20M
"Dec. 31, 2004",438.30M
"Sept. 30, 2004",416.70M
"June 30, 2004",403.30M
"March 31, 2004",43.80M
"Dec. 31, 2003",88.60M
"Sept. 30, 2003",30.90M
"June 30, 2003",38.70M
"March 31, 2003",388.60M
"Dec. 31, 2002",372.50M
"Sept. 30, 2002",345.90M
"June 30, 2002",302.60M
"March 31, 2002",266.00M
"Dec. 31, 2001",212.60M
"Sept. 30, 2001",159.00M
"June 30, 2001",231.10M
"March 31, 2001",266.11M
"Dec. 31, 2000",156.91M
"Sept. 30, 2000",187.96M
"June 30, 2000",163.91M
"March 31, 2000",163.44M
"Dec. 31, 1999",160.44M
"Sept. 30, 1999",188.10M
"June 30, 1999",203.24M
"March 31, 1999",209.70M
"Dec. 31, 1998",193.80M
"Sept. 30, 1998",189.10M
"June 30, 1998",181.90M
"March 31, 1998",180.70M
"Dec. 31, 1997",190.80M
"Sept. 30, 1997",186.30M
"June 30, 1997",184.80M
"March 31, 1997",180.00M
"Dec. 31, 1996",176.70M
"Sept. 30, 1996",177.20M
"June 30, 1996",179.20M
"March 31, 1996",182.70M
"Dec. 31, 1995",175.50M
"Sept. 30, 1995",172.60M
"June 30, 1995",164.70M
"March 31, 1995",159.30M
"Dec. 31, 1994",164.00M
"Sept. 30, 1994",163.60M
"June 30, 1994",162.40M
"March 31, 1994",162.60M
"Dec. 31, 1993",156.20M
"Sept. 30, 1993",156.60M
"June 30, 1993",150.10M
"March 31, 1993",147.00M
"Dec. 31, 1992",136.60M
"Sept. 30, 1992",129.30M
"June 30, 1992",133.80M
"March 31, 1992",135.50M
"Dec. 31, 1991",133.40M
"Sept. 30, 1991",122.40M
"June 30, 1991",125.00M
"March 31, 1991",125.80M
"Dec. 31, 1990",125.40M
"Sept. 30, 1990",135.60M
"June 30, 1990",131.00M
"March 31, 1990",131.20M
"Dec. 31, 1989",133.80M
"Sept. 30, 1989",136.00M
"June 30, 1989",135.00M
"March 31, 1989",132.80M
"Dec. 31, 1988",122.90M
"Sept. 30, 1988",94.80M
"June 30, 1988",86.50M
"March 31, 1988",80.40M
"Dec. 31, 1987",65.00M
"Sept. 30, 1987",72.10M
"June 30, 1987",-28.60M
"March 31, 1987",-25.40M
"Dec. 31, 1986",-14.10M
"Sept. 30, 1986",-3.00M
"June 30, 1986",106.40M
"March 31, 1986",108.30M
"Dec. 31, 1985",107.10M
"Sept. 30, 1985",102.60M
"June 30, 1985",106.90M
"March 31, 1985",122.10M
"Dec. 31, 1984",140.50M
