date,long_term_debt
"Dec. 31, 2019",7.856B
"Sept. 30, 2019",7.854B
"June 30, 2019",7.110B
"March 31, 2019",7.110B
"Dec. 31, 2018",7.105B
"Sept. 30, 2018",7.094B
"June 30, 2018",7.092B
"March 31, 2018",7.287B
"Dec. 31, 2017",7.512B
"Sept. 30, 2017",7.519B
"June 30, 2017",6.777B
"March 31, 2017",5.591B
"Dec. 31, 2016",6.058B
"Sept. 30, 2016",6.096B
"June 30, 2016",5.857B
"March 31, 2016",5.906B
"Dec. 31, 2015",5.948B
"Sept. 30, 2015",6.134B
"June 30, 2015",8.881B
"March 31, 2015",7.958B
"Dec. 31, 2014",8.099B
"Sept. 30, 2014",8.397B
"June 30, 2014",7.641B
"March 31, 2014",7.638B
"Dec. 31, 2013",7.484B
"Sept. 30, 2013",7.089B
"June 30, 2013",7.617B
"March 31, 2013",6.804B
"Dec. 31, 2012",6.753B
"Sept. 30, 2012",6.820B
"June 30, 2012",6.807B
"March 31, 2012",5.834B
"Dec. 31, 2011",6.228B
"Sept. 30, 2011",6.337B
"June 30, 2011",6.34B
"March 31, 2011",5.928B
"Dec. 31, 2010",5.936B
"Sept. 30, 2010",5.964B
"June 30, 2010",5.977B
"March 31, 2010",5.964B
"Dec. 31, 2009",5.969B
"Sept. 30, 2009",6.561B
"June 30, 2009",6.564B
"March 31, 2009",6.452B
"Dec. 31, 2008",5.944B
"Sept. 30, 2008",6.323B
"June 30, 2008",6.060B
"March 31, 2008",5.383B
"Dec. 31, 2007",5.594B
"Sept. 30, 2007",5.923B
"June 30, 2007",5.124B
"March 31, 2007",5.153B
"Dec. 31, 2006",5.146B
"Sept. 30, 2006",5.173B
"June 30, 2006",5.164B
"March 31, 2006",5.230B
"Dec. 31, 2005",5.271B
"Sept. 30, 2005",4.779B
"June 30, 2005",4.807B
"March 31, 2005",4.810B
"Dec. 31, 2004",4.836B
"Sept. 30, 2004",5.589B
"June 30, 2004",5.573B
"March 31, 2004",5.945B
"Dec. 31, 2003",5.993B
"Sept. 30, 2003",5.513B
"June 30, 2003",5.042B
"March 31, 2003",5.294B
"Dec. 31, 2002",4.850B
"Sept. 30, 2002",5.793B
"June 30, 2002",5.930B
"March 31, 2002",5.749B
"Dec. 31, 2001",5.781B
"Sept. 30, 2001",6.113B
"June 30, 2001",6.126B
"March 31, 2001",5.799B
"Dec. 31, 2000",5.803B
"Sept. 30, 2000",1.737B
"June 30, 2000",1.916B
"March 31, 2000",1.927B
"Dec. 31, 1999",1.776B
"Sept. 30, 1999",1.842B
"June 30, 1999",1.844B
"March 31, 1999",1.967B
"Dec. 31, 1998",1.668B
"Sept. 30, 1998",1.670B
"June 30, 1998",1.671B
"March 31, 1998",1.671B
"Dec. 31, 1997",1.668B
"Sept. 30, 1997",1.609B
"June 30, 1997",1.608B
"March 31, 1997",1.372B
"Dec. 31, 1996",1.127B
"Sept. 30, 1996",1.191B
"June 30, 1996",1.255B
"March 31, 1996",1.252B
"Dec. 31, 1995",1.176B
"Sept. 30, 1995",1.176B
"June 30, 1995",1.344B
"March 31, 1995",1.184B
"Dec. 31, 1994",1.180B
"Sept. 30, 1994",1.187B
"June 30, 1994",1.072B
"March 31, 1994",1.215B
