date,book_value_of_equity_per_share
"Dec. 31, 2019",13.36
"Sept. 30, 2019",13.30
"June 30, 2019",13.65
"March 31, 2019",13.14
"Dec. 31, 2018",13.08
"Sept. 30, 2018",12.89
"June 30, 2018",13.97
"March 31, 2018",13.35
"Dec. 31, 2017",12.82
"Sept. 30, 2017",12.96
"June 30, 2017",12.66
"March 31, 2017",12.92
"Dec. 31, 2016",12.60
"Sept. 30, 2016",11.82
"June 30, 2016",11.83
"March 31, 2016",12.05
"Dec. 31, 2015",12.04
"Sept. 30, 2015",11.93
"June 30, 2015",20.48
"March 31, 2015",20.56
"Dec. 31, 2014",19.54
"Sept. 30, 2014",19.03
"June 30, 2014",19.12
"March 31, 2014",19.10
"Dec. 31, 2013",18.77
"Sept. 30, 2013",18.21
"June 30, 2013",18.25
"March 31, 2013",18.25
"Dec. 31, 2012",17.90
"Sept. 30, 2012",17.48
"June 30, 2012",17.93
"March 31, 2012",17.90
"Dec. 31, 2011",17.73
"Sept. 30, 2011",17.75
"June 30, 2011",17.84
"March 31, 2011",17.91
"Dec. 31, 2010",17.56
"Sept. 30, 2010",17.53
"June 30, 2010",17.62
"March 31, 2010",17.77
"Dec. 31, 2009",17.55
"Sept. 30, 2009",17.19
"June 30, 2009",17.42
"March 31, 2009",17.27
"Dec. 31, 2008",17.24
"Sept. 30, 2008",17.03
"June 30, 2008",17.54
"March 31, 2008",18.47
"Dec. 31, 2007",18.52
"Sept. 30, 2007",18.25
"June 30, 2007",18.51
"March 31, 2007",18.71
"Dec. 31, 2006",18.32
"Sept. 30, 2006",17.61
"June 30, 2006",17.86
"March 31, 2006",18.06
"Dec. 31, 2005",18.09
"Sept. 30, 2005",18.00
"June 30, 2005",17.97
"March 31, 2005",18.18
"Dec. 31, 2004",17.69
"Sept. 30, 2004",17.08
"June 30, 2004",17.08
"March 31, 2004",17.18
"Dec. 31, 2003",16.81
"Sept. 30, 2003",16.19
"June 30, 2003",16.20
"March 31, 2003",17.65
"Dec. 31, 2002",16.78
"Sept. 30, 2002",16.09
"June 30, 2002",17.24
"March 31, 2002",17.26
"Dec. 31, 2001",16.78
"Sept. 30, 2001",16.50
"June 30, 2001",16.93
"March 31, 2001",17.04
"Dec. 31, 2000",16.61
"Sept. 30, 2000",11.14
"June 30, 2000",10.98
"March 31, 2000",11.13
"Dec. 31, 1999",10.90
"Sept. 30, 1999",10.91
"June 30, 1999",10.95
"March 31, 1999",10.99
"Dec. 31, 1998",9.782
"Sept. 30, 1998",9.655
"June 30, 1998",9.947
"March 31, 1998",10.33
"Dec. 31, 1997",10.17
"Sept. 30, 1997",10.10
"June 30, 1997",10.03
"March 31, 1997",10.32
"Dec. 31, 1996",9.201
"Sept. 30, 1996",9.113
"June 30, 1996",9.114
"March 31, 1996",9.074
"Dec. 31, 1995",8.995
"Sept. 30, 1995",8.919
"June 30, 1995",8.793
"March 31, 1995",8.919
"Dec. 31, 1994",8.668
"Sept. 30, 1994",8.446
"June 30, 1994",8.463
"March 31, 1994",8.553
