date,kz_index
"Dec. 31, 2019",1.429
"Dec. 31, 2018",1.538
"Dec. 31, 2017",1.855
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",1.143
"Dec. 31, 2013",
"Dec. 31, 2012",
"Dec. 31, 2011",
"Dec. 31, 2010",
"Dec. 31, 2009",
"Dec. 31, 2008",0.7695
"Dec. 31, 2007",0.7459
"Dec. 31, 2006",
"Dec. 31, 2005",0.7259
"Dec. 31, 2004",0.7513
"Dec. 31, 2003",0.596
"Dec. 31, 2002",
"Dec. 31, 2001",1.161
"Dec. 31, 2000",1.044
"Dec. 31, 1999",0.6107
"Dec. 31, 1998",0.8169
"Dec. 31, 1997",0.594
"Dec. 31, 1996",0.6436
"Dec. 31, 1995",0.5448
