date,sustainable_growth_rate
"Dec. 31, 2019",0.57%
"Sept. 30, 2019",3.42%
"June 30, 2019",-3.38%
"March 31, 2019",-8.55%
"Dec. 31, 2018",-7.15%
"Sept. 30, 2018",-7.69%
"June 30, 2018",0.33%
"March 31, 2018",-1.05%
"Dec. 31, 2017",-2.39%
"Sept. 30, 2017",1.13%
"June 30, 2017",1.59%
"March 31, 2017",3.64%
"Dec. 31, 2016",3.25%
"Sept. 30, 2016",2.62%
"June 30, 2016",1.65%
"March 31, 2016",-0.53%
"Dec. 31, 2015",0.43%
"Sept. 30, 2015",1.47%
"June 30, 2015",1.42%
"March 31, 2015",3.37%
"Dec. 31, 2014",3.47%
"Sept. 30, 2014",3.54%
"June 30, 2014",3.93%
"March 31, 2014",3.93%
"Dec. 31, 2013",3.96%
"Sept. 30, 2013",3.78%
"June 30, 2013",3.52%
"March 31, 2013",3.73%
"Dec. 31, 2012",2.73%
"Sept. 30, 2012",0.65%
"June 30, 2012",1.05%
"March 31, 2012",0.48%
"Dec. 31, 2011",0.83%
"Sept. 30, 2011",1.03%
"June 30, 2011",1.02%
"March 31, 2011",0.79%
"Dec. 31, 2010",0.55%
"Sept. 30, 2010",1.91%
"June 30, 2010",0.93%
"March 31, 2010",0.26%
"Dec. 31, 2009",-0.75%
"Sept. 30, 2009",0.79%
"June 30, 2009",1.54%
"March 31, 2009",-2.59%
"Dec. 31, 2008",-3.56%
"Sept. 30, 2008",-5.45%
"June 30, 2008",-5.54%
"March 31, 2008",-0.95%
"Dec. 31, 2007",1.37%
"Sept. 30, 2007",1.30%
"June 30, 2007",1.61%
"March 31, 2007",1.49%
"Dec. 31, 2006",0.62%
"Sept. 30, 2006",0.73%
"June 30, 2006",0.07%
"March 31, 2006",0.48%
"Dec. 31, 2005",1.19%
"Sept. 30, 2005",3.20%
"June 30, 2005",4.05%
"March 31, 2005",4.04%
"Dec. 31, 2004",4.29%
"Sept. 30, 2004",3.92%
"June 30, 2004",3.31%
"March 31, 2004",-5.19%
"Dec. 31, 2003",-4.49%
"Sept. 30, 2003",-6.14%
"June 30, 2003",-5.76%
"March 31, 2003",3.50%
"Dec. 31, 2002",3.61%
"Sept. 30, 2002",2.85%
"June 30, 2002",1.81%
"March 31, 2002",0.75%
"Dec. 31, 2001",-0.76%
"Sept. 30, 2001",-1.54%
"June 30, 2001",1.72%
"March 31, 2001",4.93%
"Dec. 31, 2000",1.42%
"Sept. 30, 2000",4.23%
"June 30, 2000",2.51%
"March 31, 2000",2.52%
"Dec. 31, 1999",2.63%
"Sept. 30, 1999",5.18%
"June 30, 1999",6.77%
"March 31, 1999",7.59%
"Dec. 31, 1998",6.42%
"Sept. 30, 1998",5.91%
"June 30, 1998",5.27%
"March 31, 1998",5.19%
"Dec. 31, 1997",6.40%
"Sept. 30, 1997",6.36%
"June 30, 1997",6.61%
"March 31, 1997",6.56%
"Dec. 31, 1996",6.52%
"Sept. 30, 1996",6.80%
"June 30, 1996",6.83%
"March 31, 1996",7.14%
"Dec. 31, 1995",6.56%
"Sept. 30, 1995",6.28%
"June 30, 1995",5.87%
"March 31, 1995",5.51%
"Dec. 31, 1994",6.09%
"Sept. 30, 1994",8.22%
