date,shareholders_equity
"Dec. 31, 2019",5.987B
"Sept. 30, 2019",5.848B
"June 30, 2019",5.976B
"March 31, 2019",5.780B
"Dec. 31, 2018",5.751B
"Sept. 30, 2018",5.074B
"June 30, 2018",5.463B
"March 31, 2018",4.506B
"Dec. 31, 2017",4.320B
"Sept. 30, 2017",4.363B
"June 30, 2017",4.123B
"March 31, 2017",4.191B
"Dec. 31, 2016",4.071B
"Sept. 30, 2016",3.812B
"June 30, 2016",3.811B
"March 31, 2016",3.872B
"Dec. 31, 2015",3.844B
"Sept. 30, 2015",3.800B
"June 30, 2015",6.506B
"March 31, 2015",6.524B
"Dec. 31, 2014",6.175B
"Sept. 30, 2014",6.007B
"June 30, 2014",6.028B
"March 31, 2014",6.012B
"Dec. 31, 2013",5.887B
"Sept. 30, 2013",5.701B
"June 30, 2013",5.703B
"March 31, 2013",5.691B
"Dec. 31, 2012",5.554B
"Sept. 30, 2012",5.411B
"June 30, 2012",5.105B
"March 31, 2012",5.080B
"Dec. 31, 2011",4.997B
"Sept. 30, 2011",4.99B
"June 30, 2011",5.003B
"March 31, 2011",5.014B
"Dec. 31, 2010",4.898B
"Sept. 30, 2010",4.878B
"June 30, 2010",4.895B
"March 31, 2010",4.929B
"Dec. 31, 2009",4.854B
"Sept. 30, 2009",4.740B
"June 30, 2009",4.792B
"March 31, 2009",4.738B
"Dec. 31, 2008",4.729B
"Sept. 30, 2008",4.671B
"June 30, 2008",4.811B
"March 31, 2008",5.064B
"Dec. 31, 2007",5.077B
"Sept. 30, 2007",5.004B
"June 30, 2007",5.074B
"March 31, 2007",5.127B
"Dec. 31, 2006",5.014B
"Sept. 30, 2006",4.805B
"June 30, 2006",4.872B
"March 31, 2006",5.006B
"Dec. 31, 2005",5.014B
"Sept. 30, 2005",4.988B
"June 30, 2005",4.976B
"March 31, 2005",5.024B
"Dec. 31, 2004",4.868B
"Sept. 30, 2004",4.584B
"June 30, 2004",4.582B
"March 31, 2004",4.608B
"Dec. 31, 2003",4.497B
"Sept. 30, 2003",4.335B
"June 30, 2003",4.342B
"March 31, 2003",4.719B
"Dec. 31, 2002",4.260B
"Sept. 30, 2002",3.428B
"June 30, 2002",3.666B
"March 31, 2002",3.670B
"Dec. 31, 2001",3.558B
"Sept. 30, 2001",3.544B
"June 30, 2001",3.632B
"March 31, 2001",3.651B
"Dec. 31, 2000",3.548B
"Sept. 30, 2000",1.488B
"June 30, 2000",1.467B
"March 31, 2000",1.504B
"Dec. 31, 1999",1.493B
"Sept. 30, 1999",1.505B
"June 30, 1999",1.510B
"March 31, 1999",1.514B
"Dec. 31, 1998",1.292B
"Sept. 30, 1998",1.277B
"June 30, 1998",1.347B
"March 31, 1998",1.421B
"Dec. 31, 1997",1.409B
"Sept. 30, 1997",1.412B
"June 30, 1997",1.404B
"March 31, 1997",1.444B
"Dec. 31, 1996",1.243B
"Sept. 30, 1996",1.256B
"June 30, 1996",1.260B
"March 31, 1996",1.271B
"Dec. 31, 1995",1.302B
"Sept. 30, 1995",1.298B
"June 30, 1995",1.298B
"March 31, 1995",1.320B
"Dec. 31, 1994",1.295B
"Sept. 30, 1994",1.286B
"June 30, 1994",1.302B
"March 31, 1994",1.324B
