date,fulmer_h_score
"Dec. 31, 2019",0.4243
"Sept. 30, 2019",0.2897
"June 30, 2019",-0.3204
"March 31, 2019",-1.872
"Dec. 31, 2018",-1.366
"Sept. 30, 2018",-0.2901
"June 30, 2018",0.3892
"March 31, 2018",0.272
"Dec. 31, 2017",0.2529
"Sept. 30, 2017",0.1901
"June 30, 2017",0.2242
"March 31, 2017",0.3752
"Dec. 31, 2016",0.3122
"Sept. 30, 2016",0.1854
"June 30, 2016",0.1401
"March 31, 2016",0.0176
"Dec. 31, 2015",0.0573
"Sept. 30, 2015",0.0891
"June 30, 2015",0.8535
"March 31, 2015",1.086
"Dec. 31, 2014",1.087
"Sept. 30, 2014",0.6595
"June 30, 2014",0.772
"March 31, 2014",0.8112
"Dec. 31, 2013",0.6575
"Sept. 30, 2013",0.913
"June 30, 2013",0.882
"March 31, 2013",0.8832
"Dec. 31, 2012",0.808
"Sept. 30, 2012",0.5685
"June 30, 2012",0.5564
"March 31, 2012",0.5365
"Dec. 31, 2011",0.5863
"Sept. 30, 2011",0.5716
"June 30, 2011",0.5184
"March 31, 2011",0.4897
"Dec. 31, 2010",0.3801
"Sept. 30, 2010",0.4836
"June 30, 2010",0.3577
"March 31, 2010",0.3651
"Dec. 31, 2009",0.5683
"Sept. 30, 2009",0.5227
"June 30, 2009",0.4437
"March 31, 2009",0.3581
"Dec. 31, 2008",0.4501
"Sept. 30, 2008",0.6654
"June 30, 2008",1.187
"March 31, 2008",1.882
