date,cash_investing_ttm
"Dec. 31, 2019",-1.922B
"Sept. 30, 2019",-1.943B
"June 30, 2019",-1.953B
"March 31, 2019",-1.903B
"Dec. 31, 2018",-1.926B
"Sept. 30, 2018",-1.878B
"June 30, 2018",-1.894B
"March 31, 2018",-1.864B
"Dec. 31, 2017",-1.808B
"Sept. 30, 2017",-1.742B
"June 30, 2017",-1.674B
"March 31, 2017",-1.631B
"Dec. 31, 2016",-1.603B
"Sept. 30, 2016",-1.625B
"June 30, 2016",-1.570B
"March 31, 2016",1.523B
"Dec. 31, 2015",1.950B
"Sept. 30, 2015",1.802B
"June 30, 2015",1.586B
"March 31, 2015",-1.598B
"Dec. 31, 2014",-2.117B
"Sept. 30, 2014",-2.152B
"June 30, 2014",-2.071B
"March 31, 2014",-2.053B
"Dec. 31, 2013",-1.891B
"Sept. 30, 2013",-1.725B
"June 30, 2013",-1.574B
"March 31, 2013",-1.377B
"Dec. 31, 2012",-1.425B
"Sept. 30, 2012",-1.299B
"June 30, 2012",-1.295B
"March 31, 2012",-1.269B
"Dec. 31, 2011",-1.149B
"Sept. 30, 2011",-984.10M
"June 30, 2011",-972.80M
"March 31, 2011",-924.00M
"Dec. 31, 2010",-943.30M
"Sept. 30, 2010",-913.00M
"June 30, 2010",-728.80M
"March 31, 2010",-652.80M
"Dec. 31, 2009",-654.80M
"Sept. 30, 2009",-648.30M
"June 30, 2009",-1.047B
"March 31, 2009",-1.206B
"Dec. 31, 2008",-1.114B
"Sept. 30, 2008",-1.204B
"June 30, 2008",-806.20M
"March 31, 2008",-715.40M
"Dec. 31, 2007",-681.40M
"Sept. 30, 2007",-612.10M
"June 30, 2007",-690.60M
"March 31, 2007",-677.60M
"Dec. 31, 2006",-732.50M
"Sept. 30, 2006",-858.60M
"June 30, 2006",-650.80M
"March 31, 2006",-613.60M
"Dec. 31, 2005",-572.10M
"Sept. 30, 2005",-453.70M
"June 30, 2005",-543.50M
"March 31, 2005",-523.10M
"Dec. 31, 2004",-552.60M
"Sept. 30, 2004",-444.30M
"June 30, 2004",-91.80M
"March 31, 2004",-122.10M
"Dec. 31, 2003",-5.70M
"Sept. 30, 2003",-291.30M
"June 30, 2003",-576.90M
"March 31, 2003",-147.40M
"Dec. 31, 2002",-202.70M
"Sept. 30, 2002",-96.80M
"June 30, 2002",-51.40M
"March 31, 2002",-366.40M
"Dec. 31, 2001",-447.20M
"Sept. 30, 2001",-5.718B
"June 30, 2001",-5.521B
"March 31, 2001",-5.565B
"Dec. 31, 2000",-5.476B
"Sept. 30, 2000",-28.91M
"June 30, 2000",-316.66M
"March 31, 2000",-490.50M
"Dec. 31, 1999",-1.058B
"Sept. 30, 1999",-1.051B
"June 30, 1999",-1.015B
"March 31, 1999",-837.70M
"Dec. 31, 1998",-290.90M
"Sept. 30, 1998",-324.10M
"June 30, 1998",-247.20M
"March 31, 1998",-236.40M
"Dec. 31, 1997",-497.40M
"Sept. 30, 1997",-464.30M
"June 30, 1997",-511.90M
"March 31, 1997",-492.50M
"Dec. 31, 1996",-216.10M
"Sept. 30, 1996",-241.00M
"June 30, 1996",-236.20M
"March 31, 1996",-235.50M
"Dec. 31, 1995",-244.70M
"Sept. 30, 1995",-209.50M
"June 30, 1995",-220.00M
"March 31, 1995",-218.60M
"Dec. 31, 1994",-214.10M
