date,return_on_invested_capital
"Dec. 31, 2019",2.52%
"Sept. 30, 2019",3.44%
"June 30, 2019",1.13%
"March 31, 2019",-0.76%
"Dec. 31, 2018",-0.36%
"Sept. 30, 2018",-0.68%
"June 30, 2018",1.98%
"March 31, 2018",1.50%
"Dec. 31, 2017",1.02%
"Sept. 30, 2017",2.21%
"June 30, 2017",2.39%
"March 31, 2017",3.09%
"Dec. 31, 2016",2.94%
"Sept. 30, 2016",2.76%
"June 30, 2016",2.24%
"March 31, 2016",1.57%
"Dec. 31, 2015",2.03%
"Sept. 30, 2015",2.53%
"June 30, 2015",2.60%
"March 31, 2015",3.40%
"Dec. 31, 2014",3.45%
"Sept. 30, 2014",3.53%
"June 30, 2014",3.74%
"March 31, 2014",3.77%
"Dec. 31, 2013",3.81%
"Sept. 30, 2013",3.75%
"June 30, 2013",3.60%
"March 31, 2013",3.63%
"Dec. 31, 2012",3.17%
"Sept. 30, 2012",2.29%
"June 30, 2012",2.45%
"March 31, 2012",2.25%
"Dec. 31, 2011",2.40%
"Sept. 30, 2011",2.50%
"June 30, 2011",2.52%
"March 31, 2011",2.43%
"Dec. 31, 2010",2.38%
"Sept. 30, 2010",2.95%
"June 30, 2010",2.56%
"March 31, 2010",2.29%
"Dec. 31, 2009",1.86%
"Sept. 30, 2009",2.42%
"June 30, 2009",2.74%
"March 31, 2009",1.09%
"Dec. 31, 2008",0.67%
"Sept. 30, 2008",-0.14%
"June 30, 2008",-0.22%
"March 31, 2008",1.79%
"Dec. 31, 2007",2.81%
"Sept. 30, 2007",2.80%
"June 30, 2007",2.97%
"March 31, 2007",2.93%
"Dec. 31, 2006",2.51%
"Sept. 30, 2006",2.53%
"June 30, 2006",2.25%
"March 31, 2006",2.41%
"Dec. 31, 2005",2.70%
"Sept. 30, 2005",3.55%
"June 30, 2005",3.95%
"March 31, 2005",3.91%
"Dec. 31, 2004",3.96%
"Sept. 30, 2004",3.77%
"June 30, 2004",3.65%
"March 31, 2004",0.39%
"Dec. 31, 2003",0.79%
"Sept. 30, 2003",0.27%
"June 30, 2003",0.34%
"March 31, 2003",3.49%
"Dec. 31, 2002",3.33%
"Sept. 30, 2002",3.07%
"June 30, 2002",2.66%
"March 31, 2002",2.32%
"Dec. 31, 2001",1.81%
"Sept. 30, 2001",1.56%
"June 30, 2001",2.64%
"March 31, 2001",3.67%
"Dec. 31, 2000",2.74%
"Sept. 30, 2000",4.44%
"June 30, 2000",3.82%
"March 31, 2000",3.85%
"Dec. 31, 1999",3.94%
"Sept. 30, 1999",4.80%
"June 30, 1999",5.50%
"March 31, 1999",6.02%
"Dec. 31, 1998",5.83%
"Sept. 30, 1998",5.71%
"June 30, 1998",5.48%
"March 31, 1998",5.46%
"Dec. 31, 1997",5.89%
"Sept. 30, 1997",5.89%
"June 30, 1997",6.01%
"March 31, 1997",6.07%
"Dec. 31, 1996",6.13%
"Sept. 30, 1996",6.24%
"June 30, 1996",6.40%
"March 31, 1996",6.61%
"Dec. 31, 1995",6.35%
"Sept. 30, 1995",6.28%
"June 30, 1995",6.00%
"March 31, 1995",5.82%
"Dec. 31, 1994",5.96%
"Sept. 30, 1994",6.00%
