date,altman_z_score
"Dec. 31, 2019",0.5873
"Sept. 30, 2019",0.6269
"June 30, 2019",0.5426
"March 31, 2019",0.4795
"Dec. 31, 2018",0.4417
"Sept. 30, 2018",0.4675
"June 30, 2018",0.6596
"March 31, 2018",0.5364
"Dec. 31, 2017",0.549
"Sept. 30, 2017",0.5781
"June 30, 2017",0.5598
"March 31, 2017",0.5238
"Dec. 31, 2016",0.5061
"Sept. 30, 2016",0.5363
"June 30, 2016",0.5887
"March 31, 2016",0.5508
"Dec. 31, 2015",0.5103
"Sept. 30, 2015",0.5673
"June 30, 2015",0.5453
"March 31, 2015",0.5936
"Dec. 31, 2014",0.5517
"Sept. 30, 2014",0.5112
"June 30, 2014",0.5258
"March 31, 2014",0.5229
"Dec. 31, 2013",0.4753
"Sept. 30, 2013",0.5545
"June 30, 2013",0.5958
"March 31, 2013",0.5589
"Dec. 31, 2012",0.5124
"Sept. 30, 2012",0.5041
"June 30, 2012",0.5099
"March 31, 2012",0.4595
"Dec. 31, 2011",0.496
"Sept. 30, 2011",0.5572
"June 30, 2011",0.579
"March 31, 2011",0.5462
"Dec. 31, 2010",0.5159
"Sept. 30, 2010",0.5506
"June 30, 2010",0.5556
"March 31, 2010",0.5567
"Dec. 31, 2009",0.5543
"Sept. 30, 2009",0.6624
"June 30, 2009",0.6703
"March 31, 2009",0.6693
"Dec. 31, 2008",0.6537
"Sept. 30, 2008",0.6378
"June 30, 2008",0.6689
"March 31, 2008",0.6918
"Dec. 31, 2007",0.7108
"Sept. 30, 2007",0.7616
"June 30, 2007",0.7361
"March 31, 2007",0.7498
"Dec. 31, 2006",0.7048
"Sept. 30, 2006",0.7425
"June 30, 2006",0.7575
"March 31, 2006",0.7487
"Dec. 31, 2005",0.7263
"Sept. 30, 2005",0.6992
"June 30, 2005",0.7634
"March 31, 2005",0.7344
"Dec. 31, 2004",0.7087
"Sept. 30, 2004",
"June 30, 2004",
"March 31, 2004",
"Dec. 31, 2003",0.7312
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",0.5654
"Sept. 30, 2002",
"June 30, 2002",
"March 31, 2002",0.6826
"Dec. 31, 2001",0.7342
"Sept. 30, 2001",
"June 30, 2001",0.7701
"March 31, 2001",0.6831
"Dec. 31, 2000",0.433
"Sept. 30, 2000",1.004
"June 30, 2000",0.8656
"March 31, 2000",0.8677
"Dec. 31, 1999",0.902
"Sept. 30, 1999",0.8968
"June 30, 1999",0.9496
"March 31, 1999",1.042
"Dec. 31, 1998",1.230
"Sept. 30, 1998",1.305
"June 30, 1998",1.268
"March 31, 1998",1.248
"Dec. 31, 1997",1.186
"Sept. 30, 1997",1.111
"June 30, 1997",1.023
"March 31, 1997",0.9274
"Dec. 31, 1996",1.010
"Sept. 30, 1996",1.049
"June 30, 1996",1.108
"March 31, 1996",1.086
"Dec. 31, 1995",1.078
"Sept. 30, 1995",1.065
"June 30, 1995",1.089
"March 31, 1995",1.017
"Dec. 31, 1994",0.9952
"Sept. 30, 1994",1.315
"June 30, 1994",1.542
"March 31, 1994",1.813
