date,sales_est_0q
"March 18, 2020",1.929B
"March 2, 2020",1.929B
"Feb. 27, 2020",1.966B
"Jan. 16, 2020",1.985B
"Jan. 7, 2020",1.985B
"Dec. 31, 2019",1.453B
"Dec. 4, 2019",1.452B
"Nov. 1, 2019",1.452B
"Oct. 31, 2019",1.452B
"Oct. 22, 2019",1.433B
"Oct. 15, 2019",1.429B
"Oct. 14, 2019",1.429B
"Sept. 30, 2019",913.48M
"Aug. 22, 2019",911.94M
"Aug. 7, 2019",907.96M
"Aug. 1, 2019",907.96M
"July 24, 2019",907.96M
"July 22, 2019",911.94M
"July 15, 2019",912.12M
"June 30, 2019",1.052B
"May 2, 2019",1.028B
"May 1, 2019",954.70M
"April 22, 2019",954.70M
"April 16, 2019",952.96M
"April 15, 2019",1.029B
"April 8, 2019",1.029B
"March 31, 2019",1.771B
"March 29, 2019",1.803B
"Feb. 21, 2019",1.803B
"Feb. 6, 2019",1.782B
"Jan. 22, 2019",1.793B
"Jan. 7, 2019",1.792B
"Dec. 31, 2018",1.370B
"Dec. 14, 2018",1.349B
"Dec. 3, 2018",1.349B
"Nov. 2, 2018",1.324B
"Oct. 19, 2018",1.330B
"Oct. 16, 2018",1.337B
"Oct. 15, 2018",1.337B
"Oct. 9, 2018",1.333B
"Sept. 30, 2018",964.78M
"Aug. 20, 2018",964.15M
"Aug. 17, 2018",946.22M
"Aug. 3, 2018",954.08M
"Aug. 1, 2018",920.69M
"July 20, 2018",952.29M
"July 11, 2018",953.03M
"June 30, 2018",996.53M
"June 19, 2018",1.006B
"May 15, 2018",997.63M
"May 6, 2018",997.63M
"May 3, 2018",996.22M
"March 23, 2018",1.609B
"March 18, 2018",1.609B
"Feb. 21, 2018",1.596B
"Feb. 20, 2018",1.659B
"Feb. 14, 2018",1.662B
"Jan. 30, 2018",1.662B
"Jan. 22, 2018",1.662B
"Jan. 10, 2018",1.662B
"Jan. 2, 2018",1.661B
