date,accruals
"Dec. 31, 2019",-490.80M
"Sept. 30, 2019",-299.00M
"June 30, 2019",-230.20M
"March 31, 2019",-180.20M
"Dec. 31, 2018",375.40M
"Sept. 30, 2018",-457.20M
"June 30, 2018",-396.80M
"March 31, 2018",-112.10M
"Dec. 31, 2017",-265.00M
"Sept. 30, 2017",135.80M
"June 30, 2017",-284.70M
"March 31, 2017",-199.80M
"Dec. 31, 2016",-182.50M
"Sept. 30, 2016",-17.70M
"June 30, 2016",-155.30M
"March 31, 2016",-116.30M
"Dec. 31, 2015",-203.50M
"Sept. 30, 2015",-83.30M
"June 30, 2015",-547.50M
"March 31, 2015",-336.00M
"Dec. 31, 2014",-278.90M
"Sept. 30, 2014",-204.10M
"June 30, 2014",-178.80M
"March 31, 2014",-127.80M
"Dec. 31, 2013",-206.40M
"Sept. 30, 2013",-136.00M
"June 30, 2013",-373.70M
"March 31, 2013",-188.60M
"Dec. 31, 2012",-199.70M
"Sept. 30, 2012",-150.70M
"June 30, 2012",-222.40M
"March 31, 2012",-286.60M
"Dec. 31, 2011",-61.40M
"Sept. 30, 2011",-23.40M
"June 30, 2011",-273.70M
"March 31, 2011",-212.60M
"Dec. 31, 2010",-368.90M
"Sept. 30, 2010",103.20M
"June 30, 2010",-291.10M
"March 31, 2010",114.00M
"Dec. 31, 2009",-455.80M
"Sept. 30, 2009",103.50M
"June 30, 2009",-186.70M
"March 31, 2009",-909.50M
"Dec. 31, 2008",-173.00M
"Sept. 30, 2008",408.10M
"June 30, 2008",5.30M
"March 31, 2008",-746.70M
"Dec. 31, 2007",-290.20M
"Sept. 30, 2007",200.00M
"June 30, 2007",216.10M
"March 31, 2007",-560.60M
"Dec. 31, 2006",-221.90M
"Sept. 30, 2006",179.00M
"June 30, 2006",-277.70M
"March 31, 2006",-553.40M
"Dec. 31, 2005",112.60M
"Sept. 30, 2005",174.00M
"June 30, 2005",97.80M
"March 31, 2005",-788.00M
"Dec. 31, 2004",-84.40M
"Sept. 30, 2004",304.20M
"June 30, 2004",-278.50M
"March 31, 2004",-558.90M
"Dec. 31, 2003",3.60M
"Sept. 30, 2003",150.50M
"June 30, 2003",-188.70M
"March 31, 2003",-349.70M
"Dec. 31, 2002",-246.50M
"Sept. 30, 2002",25.10M
"June 30, 2002",-20.60M
"March 31, 2002",-557.90M
"Dec. 31, 2001",-293.60M
"Sept. 30, 2001",-191.00M
"June 30, 2001",-122.50M
"March 31, 2001",-222.90M
"Dec. 31, 2000",238.35M
"Sept. 30, 2000",52.96M
"June 30, 2000",28.30M
"March 31, 2000",-155.80M
"Dec. 31, 1999",-25.22M
"Sept. 30, 1999",-20.78M
"June 30, 1999",-1.056M
"March 31, 1999",-210.60M
"Dec. 31, 1998",-46.90M
"Sept. 30, 1998",-42.20M
"June 30, 1998",-72.30M
"March 31, 1998",-128.90M
"Dec. 31, 1997",-49.40M
"Sept. 30, 1997",-80.90M
"June 30, 1997",120.80M
"March 31, 1997",-234.30M
"Dec. 31, 1996",-29.40M
"Sept. 30, 1996",-25.80M
"June 30, 1996",17.20M
"March 31, 1996",-87.30M
"Dec. 31, 1995",10.90M
"Sept. 30, 1995",-19.80M
"June 30, 1995",-24.60M
"March 31, 1995",-182.50M
"Dec. 31, 1994",-2.50M
"Sept. 30, 1994",-33.50M
"June 30, 1994",15.60M
"March 31, 1994",-152.00M
