date,debt_equity_ratio
"Dec. 31, 2019",1.611
"Sept. 30, 2019",1.621
"June 30, 2019",1.540
"March 31, 2019",1.599
"Dec. 31, 2018",1.588
"Sept. 30, 2018",1.725
"June 30, 2018",1.518
"March 31, 2018",2.023
"Dec. 31, 2017",2.084
"Sept. 30, 2017",1.983
"June 30, 2017",1.999
"March 31, 2017",1.888
"Dec. 31, 2016",1.943
"Sept. 30, 2016",2.030
"June 30, 2016",1.908
"March 31, 2016",1.812
"Dec. 31, 2015",1.808
"Sept. 30, 2015",1.759
"June 30, 2015",1.458
"March 31, 2015",1.339
"Dec. 31, 2014",1.61
"Sept. 30, 2014",1.619
"June 30, 2014",1.538
"March 31, 2014",1.494
"Dec. 31, 2013",1.482
"Sept. 30, 2013",1.482
"June 30, 2013",1.414
"March 31, 2013",1.410
"Dec. 31, 2012",1.447
"Sept. 30, 2012",1.454
"June 30, 2012",1.548
"March 31, 2012",1.545
"Dec. 31, 2011",1.584
"Sept. 30, 2011",1.519
"June 30, 2011",1.447
"March 31, 2011",1.441
"Dec. 31, 2010",1.501
"Sept. 30, 2010",1.520
"June 30, 2010",1.411
"March 31, 2010",1.432
"Dec. 31, 2009",1.251
"Sept. 30, 2009",1.518
"June 30, 2009",1.458
"March 31, 2009",1.454
"Dec. 31, 2008",1.602
"Sept. 30, 2008",1.628
"June 30, 2008",1.374
"March 31, 2008",1.204
"Dec. 31, 2007",1.318
"Sept. 30, 2007",1.330
"June 30, 2007",1.222
"March 31, 2007",1.144
"Dec. 31, 2006",1.283
"Sept. 30, 2006",1.352
"June 30, 2006",1.237
"March 31, 2006",1.209
"Dec. 31, 2005",1.318
"Sept. 30, 2005",1.402
"June 30, 2005",1.219
"March 31, 2005",1.216
"Dec. 31, 2004",1.324
"Sept. 30, 2004",1.447
"June 30, 2004",1.328
"March 31, 2004",1.364
"Dec. 31, 2003",1.512
"Sept. 30, 2003",1.576
"June 30, 2003",1.572
"March 31, 2003",1.413
"Dec. 31, 2002",1.640
"Sept. 30, 2002",2.280
"June 30, 2002",2.080
"March 31, 2002",1.871
"Dec. 31, 2001",2.258
"Sept. 30, 2001",2.275
"June 30, 2001",2.247
"March 31, 2001",2.209
"Dec. 31, 2000",2.358
"Sept. 30, 2000",1.731
"June 30, 2000",1.950
"March 31, 2000",1.822
"Dec. 31, 1999",1.742
"Sept. 30, 1999",1.715
"June 30, 1999",1.657
"March 31, 1999",1.491
"Dec. 31, 1998",1.615
"Sept. 30, 1998",1.608
"June 30, 1998",1.444
"March 31, 1998",1.316
"Dec. 31, 1997",1.373
"Sept. 30, 1997",1.337
"June 30, 1997",1.403
"March 31, 1997",1.248
"Dec. 31, 1996",1.369
"Sept. 30, 1996",1.342
"June 30, 1996",1.281
"March 31, 1996",1.214
"Dec. 31, 1995",1.179
"Sept. 30, 1995",1.111
"June 30, 1995",1.105
"March 31, 1995",1.037
"Dec. 31, 1994",1.174
"Sept. 30, 1994",1.150
"June 30, 1994",1.097
"March 31, 1994",1.030
