date,max_drawdown_all
"April 30, 2003",72.50%
"March 31, 2003",72.50%
"Feb. 28, 2003",72.50%
"Jan. 31, 2003",72.50%
"Dec. 31, 2002",72.50%
"Nov. 30, 2002",72.50%
"Oct. 31, 2002",72.50%
"Sept. 30, 2002",72.50%
"Aug. 31, 2002",72.50%
"July 31, 2002",72.50%
"June 30, 2002",72.50%
"May 31, 2002",72.50%
"April 30, 2002",72.50%
"March 31, 2002",72.50%
"Feb. 28, 2002",72.50%
"Jan. 31, 2002",72.50%
"Dec. 31, 2001",72.50%
"Nov. 30, 2001",72.50%
"Oct. 31, 2001",72.50%
"Sept. 30, 2001",72.50%
"Aug. 31, 2001",72.50%
"July 31, 2001",72.50%
"June 30, 2001",72.50%
"May 31, 2001",72.50%
"April 30, 2001",72.50%
"March 31, 2001",72.50%
"Feb. 28, 2001",72.50%
"Jan. 31, 2001",72.50%
"Dec. 31, 2000",72.50%
"Nov. 30, 2000",72.50%
"Oct. 31, 2000",72.50%
"Sept. 30, 2000",72.50%
"Aug. 31, 2000",72.50%
"July 31, 2000",72.50%
"June 30, 2000",72.50%
"May 31, 2000",72.50%
"April 30, 2000",72.50%
"March 31, 2000",72.50%
"Feb. 29, 2000",72.50%
"Jan. 31, 2000",72.50%
"Dec. 31, 1999",72.50%
"Nov. 30, 1999",72.50%
"Oct. 31, 1999",72.50%
"Sept. 30, 1999",72.50%
"Aug. 31, 1999",72.50%
"July 31, 1999",72.50%
"June 30, 1999",72.50%
"May 31, 1999",72.50%
"April 30, 1999",72.50%
"March 31, 1999",72.50%
"Feb. 28, 1999",72.50%
"Jan. 31, 1999",72.50%
"Dec. 31, 1998",72.50%
"Nov. 30, 1998",72.50%
"Oct. 31, 1998",72.50%
"Sept. 30, 1998",72.50%
"Aug. 31, 1998",72.50%
"July 31, 1998",72.50%
"June 30, 1998",72.50%
"May 31, 1998",72.50%
"April 30, 1998",72.50%
"March 31, 1998",72.50%
"Feb. 28, 1998",72.50%
"Jan. 31, 1998",72.50%
"Dec. 31, 1997",72.50%
"Nov. 30, 1997",72.50%
"Oct. 31, 1997",72.50%
"Sept. 30, 1997",72.50%
"Aug. 31, 1997",72.50%
"July 31, 1997",72.50%
"June 30, 1997",72.50%
"May 31, 1997",72.50%
"April 30, 1997",72.50%
"March 31, 1997",72.50%
"Feb. 28, 1997",72.50%
"Jan. 31, 1997",72.50%
"Dec. 31, 1996",72.50%
"Nov. 30, 1996",72.50%
"Oct. 31, 1996",72.50%
"Sept. 30, 1996",72.50%
"Aug. 31, 1996",72.50%
"July 31, 1996",72.50%
"June 30, 1996",72.50%
"May 31, 1996",72.50%
"April 30, 1996",72.50%
"March 31, 1996",72.50%
"Feb. 29, 1996",72.50%
"Jan. 31, 1996",72.50%
"Dec. 31, 1995",72.50%
"Nov. 30, 1995",72.50%
"Oct. 31, 1995",72.50%
"Sept. 30, 1995",72.50%
"Aug. 31, 1995",72.50%
"July 31, 1995",72.50%
"June 30, 1995",72.50%
"May 31, 1995",72.50%
"April 30, 1995",72.50%
"March 31, 1995",72.50%
"Feb. 28, 1995",72.50%
"Jan. 31, 1995",72.50%
"Dec. 31, 1994",72.50%
"Nov. 30, 1994",72.50%
"Oct. 31, 1994",72.50%
"Sept. 30, 1994",72.50%
"Aug. 31, 1994",72.50%
"July 31, 1994",72.50%
"June 30, 1994",72.50%
"May 31, 1994",72.50%
"April 30, 1994",72.50%
"March 31, 1994",72.50%
"Feb. 28, 1994",72.50%
"Jan. 31, 1994",72.50%
"Dec. 31, 1993",72.50%
"Nov. 30, 1993",72.50%
"Oct. 31, 1993",72.50%
"Sept. 30, 1993",72.50%
"Aug. 31, 1993",72.50%
"July 31, 1993",72.50%
"June 30, 1993",72.50%
"May 31, 1993",72.50%
"April 30, 1993",72.50%
"March 31, 1993",72.50%
"Feb. 28, 1993",72.50%
"Jan. 31, 1993",72.50%
"Dec. 31, 1992",72.50%
"Nov. 30, 1992",72.50%
"Oct. 31, 1992",72.50%
"Sept. 30, 1992",72.50%
"Aug. 31, 1992",72.50%
"July 31, 1992",72.50%
"June 30, 1992",72.50%
"May 31, 1992",72.50%
"April 30, 1992",72.50%
"March 31, 1992",72.50%
"Feb. 29, 1992",72.50%
"Jan. 31, 1992",72.50%
"Dec. 31, 1991",72.50%
"Nov. 30, 1991",72.50%
"Oct. 31, 1991",72.50%
"Sept. 30, 1991",72.50%
"Aug. 31, 1991",72.50%
"July 31, 1991",72.50%
"June 30, 1991",72.50%
"May 31, 1991",72.50%
"April 30, 1991",72.50%
"March 31, 1991",72.50%
"Feb. 28, 1991",72.50%
"Jan. 31, 1991",72.50%
"Dec. 31, 1990",72.50%
"Nov. 30, 1990",72.50%
"Oct. 31, 1990",72.50%
"Sept. 30, 1990",72.50%
"Aug. 31, 1990",72.50%
"July 31, 1990",72.50%
"June 30, 1990",72.50%
"May 31, 1990",72.50%
"April 30, 1990",72.50%
"March 31, 1990",72.50%
"Feb. 28, 1990",72.50%
"Jan. 31, 1990",72.50%
"Dec. 31, 1989",72.50%
"Nov. 30, 1989",72.50%
"Oct. 31, 1989",72.50%
"Sept. 30, 1989",72.50%
"Aug. 31, 1989",72.50%
"July 31, 1989",72.50%
"June 30, 1989",72.50%
"May 31, 1989",72.50%
"April 30, 1989",72.50%
"March 31, 1989",72.50%
"Feb. 28, 1989",72.50%
"Jan. 31, 1989",72.50%
"Dec. 31, 1988",72.50%
"Nov. 30, 1988",72.50%
"Oct. 31, 1988",72.50%
"Sept. 30, 1988",72.50%
"Aug. 31, 1988",72.50%
"July 31, 1988",72.50%
"June 30, 1988",72.50%
"May 31, 1988",72.50%
"April 30, 1988",72.50%
"March 31, 1988",72.50%
"Feb. 29, 1988",72.50%
"Jan. 31, 1988",72.50%
"Dec. 31, 1987",72.50%
"Nov. 30, 1987",72.08%
"Oct. 31, 1987",72.08%
"Sept. 30, 1987",71.25%
"Aug. 31, 1987",71.25%
"July 31, 1987",71.25%
"June 30, 1987",71.25%
"May 31, 1987",71.25%
"April 30, 1987",71.25%
"March 31, 1987",71.25%
"Feb. 28, 1987",71.25%
"Jan. 31, 1987",71.25%
"Dec. 31, 1986",71.25%
"Nov. 30, 1986",71.25%
"Oct. 31, 1986",71.25%
"Sept. 30, 1986",71.25%
"Aug. 31, 1986",71.25%
"July 31, 1986",71.25%
"June 30, 1986",71.25%
"May 31, 1986",71.25%
"April 30, 1986",71.25%
"March 31, 1986",71.25%
"Feb. 28, 1986",71.25%
"Jan. 31, 1986",71.25%
"Dec. 31, 1985",71.25%
"Nov. 30, 1985",71.25%
"Oct. 31, 1985",67.50%
"Sept. 30, 1985",66.67%
"Aug. 31, 1985",66.67%
"July 31, 1985",66.67%
"June 30, 1985",66.67%
"May 31, 1985",66.67%
"April 30, 1985",66.67%
"March 31, 1985",66.67%
"Feb. 28, 1985",66.67%
"Jan. 31, 1985",66.67%
"Dec. 31, 1984",66.67%
"Nov. 30, 1984",66.67%
"Oct. 31, 1984",66.67%
"Sept. 30, 1984",66.67%
"Aug. 31, 1984",66.67%
"July 31, 1984",66.67%
"June 30, 1984",66.67%
"May 31, 1984",66.67%
"April 30, 1984",66.67%
"March 31, 1984",66.67%
"Feb. 29, 1984",66.67%
"Jan. 31, 1984",66.67%
"Dec. 31, 1983",66.67%
"Nov. 30, 1983",66.67%
"Oct. 31, 1983",66.67%
"Sept. 30, 1983",66.67%
"Aug. 31, 1983",66.67%
"July 31, 1983",66.67%
"June 30, 1983",66.67%
"May 31, 1983",66.67%
"April 30, 1983",66.67%
"March 31, 1983",66.67%
"Feb. 28, 1983",66.67%
"Jan. 31, 1983",66.67%
"Dec. 31, 1982",66.67%
"Nov. 30, 1982",66.67%
"Oct. 31, 1982",66.67%
"Sept. 30, 1982",66.67%
"Aug. 31, 1982",66.67%
"July 31, 1982",66.67%
"June 30, 1982",66.67%
