date,revenue_per_employee_annual
"Dec. 31, 2019",633300.9
"Dec. 31, 2018",629012.4
"Dec. 31, 2017",602471.9
"Dec. 31, 2016",575850.8
"Dec. 31, 2015",561201.6
"Dec. 31, 2014",603975.0
"Dec. 31, 2013",551858.3
"Dec. 31, 2012",619454.5
"Dec. 31, 2011",739155.6
"Dec. 31, 2010",837214.2
"Dec. 31, 2009",852805.0
"Dec. 31, 2008",1.139M
"Dec. 31, 2007",1.045M
"Dec. 31, 2006",972203.7
"Dec. 31, 2005",959975.7
"Dec. 31, 2004",772207.4
"Dec. 31, 2003",696612.9
"Dec. 31, 2002",487876.0
"Dec. 31, 2001",702752.7
"Dec. 31, 2000",552844.1
"Dec. 31, 1999",487345.5
"Dec. 31, 1998",473234.0
"Dec. 31, 1997",509554.8
"Dec. 31, 1996",466424.2
"Dec. 31, 1995",402250.8
"Dec. 31, 1994",370761.9
"Dec. 31, 1993",362789.2
"Dec. 31, 1992",342214.5
"Dec. 31, 1991",335672.9
"Dec. 31, 1990",336244.1
