date,springate_score
"Dec. 31, 2019",0.3477
"Sept. 30, 2019",0.346
"June 30, 2019",0.1972
"March 31, 2019",0.0935
"Dec. 31, 2018",0.1226
"Sept. 30, 2018",0.251
"June 30, 2018",0.4782
"March 31, 2018",0.4043
"Dec. 31, 2017",0.4029
"Sept. 30, 2017",0.4048
"June 30, 2017",0.3943
"March 31, 2017",0.4054
"Dec. 31, 2016",0.4391
"Sept. 30, 2016",0.4694
"June 30, 2016",0.4639
"March 31, 2016",0.4094
"Dec. 31, 2015",0.3794
"Sept. 30, 2015",0.4024
"June 30, 2015",0.3778
"March 31, 2015",0.4451
"Dec. 31, 2014",0.4485
"Sept. 30, 2014",0.3633
"June 30, 2014",0.4087
"March 31, 2014",0.4243
"Dec. 31, 2013",0.3754
"Sept. 30, 2013",0.5531
"June 30, 2013",0.5881
"March 31, 2013",0.5228
"Dec. 31, 2012",0.498
"Sept. 30, 2012",0.4542
"June 30, 2012",0.462
"March 31, 2012",0.4005
"Dec. 31, 2011",0.4333
"Sept. 30, 2011",0.4696
"June 30, 2011",0.4778
"March 31, 2011",0.4457
"Dec. 31, 2010",0.4415
"Sept. 30, 2010",0.4965
"June 30, 2010",0.5031
"March 31, 2010",0.4868
"Dec. 31, 2009",0.4416
"Sept. 30, 2009",0.5184
"June 30, 2009",0.5165
"March 31, 2009",0.5078
"Dec. 31, 2008",0.5128
"Sept. 30, 2008",0.4781
"June 30, 2008",0.4626
"March 31, 2008",0.4471
