date,cash_operations_ttm
"Dec. 31, 2019",1.583B
"Sept. 30, 2019",844.70M
"June 30, 2019",656.80M
"March 31, 2019",551.00M
"Dec. 31, 2018",540.10M
"Sept. 30, 2018",1.140B
"June 30, 2018",900.30M
"March 31, 2018",719.30M
"Dec. 31, 2017",742.20M
"Sept. 30, 2017",800.90M
"June 30, 2017",967.60M
"March 31, 2017",911.50M
"Dec. 31, 2016",803.30M
"Sept. 30, 2016",794.90M
"June 30, 2016",828.40M
"March 31, 2016",1.155B
"Dec. 31, 2015",1.457B
"Sept. 30, 2015",1.627B
"June 30, 2015",1.784B
"March 31, 2015",1.53B
"Dec. 31, 2014",1.320B
"Sept. 30, 2014",1.245B
"June 30, 2014",1.193B
"March 31, 2014",1.382B
"Dec. 31, 2013",1.437B
"Sept. 30, 2013",1.412B
"June 30, 2013",1.398B
"March 31, 2013",1.245B
"Dec. 31, 2012",1.276B
"Sept. 30, 2012",1.018B
"June 30, 2012",906.00M
"March 31, 2012",928.10M
"Dec. 31, 2011",870.20M
"Sept. 30, 2011",1.187B
"June 30, 2011",1.059B
"March 31, 2011",1.064B
"Dec. 31, 2010",725.40M
"Sept. 30, 2010",877.80M
"June 30, 2010",828.90M
"March 31, 2010",691.60M
"Dec. 31, 2009",1.666B
"Sept. 30, 2009",1.456B
"June 30, 2009",1.187B
"March 31, 2009",797.20M
"Dec. 31, 2008",585.30M
"Sept. 30, 2008",607.50M
"June 30, 2008",806.60M
"March 31, 2008",824.80M
"Dec. 31, 2007",756.10M
"Sept. 30, 2007",683.30M
"June 30, 2007",719.10M
"March 31, 2007",1.207B
"Dec. 31, 2006",1.156B
"Sept. 30, 2006",827.20M
"June 30, 2006",799.60M
"March 31, 2006",443.20M
"Dec. 31, 2005",712.30M
"Sept. 30, 2005",1.003B
"June 30, 2005",908.10M
"March 31, 2005",1.279B
"Dec. 31, 2004",1.056B
"Sept. 30, 2004",946.30M
"June 30, 2004",1.087B
"March 31, 2004",637.30M
"Dec. 31, 2003",472.90M
"Sept. 30, 2003",665.30M
"June 30, 2003",798.50M
"March 31, 2003",980.30M
"Dec. 31, 2002",1.172B
"Sept. 30, 2002",1.193B
"June 30, 2002",1.366B
"March 31, 2002",1.431B
"Dec. 31, 2001",1.043B
"Sept. 30, 2001",457.05M
"June 30, 2001",285.19M
"March 31, 2001",169.40M
"Dec. 31, 2000",-6.90M
"Sept. 30, 2000",287.72M
"June 30, 2000",337.41M
"March 31, 2000",366.30M
"Dec. 31, 1999",418.10M
"Sept. 30, 1999",467.43M
"June 30, 1999",504.00M
"March 31, 1999",581.70M
"Dec. 31, 1998",484.10M
"Sept. 30, 1998",481.90M
"June 30, 1998",513.40M
"March 31, 1998",319.10M
"Dec. 31, 1997",434.60M
"Sept. 30, 1997",410.10M
"June 30, 1997",353.50M
"March 31, 1997",452.30M
"Dec. 31, 1996",302.00M
"Sept. 30, 1996",262.20M
"June 30, 1996",258.20M
"March 31, 1996",303.50M
"Dec. 31, 1995",391.50M
"Sept. 30, 1995",402.00M
"June 30, 1995",407.80M
"March 31, 1995",362.20M
"Dec. 31, 1994",336.40M
