date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",9.475
"Sept. 30, 2019",8.208
"June 30, 2019",8.547
"March 31, 2019",8.018
"Dec. 31, 2018",7.948
"Sept. 30, 2018",7.615
"June 30, 2018",8.684
"March 31, 2018",7.662
"Dec. 31, 2017",7.114
"Sept. 30, 2017",7.241
"June 30, 2017",6.738
"March 31, 2017",6.967
"Dec. 31, 2016",6.615
"Sept. 30, 2016",5.814
"June 30, 2016",5.818
"March 31, 2016",6.008
"Dec. 31, 2015",5.951
"Sept. 30, 2015",5.819
"June 30, 2015",8.126
"March 31, 2015",8.180
"Dec. 31, 2014",13.35
"Sept. 30, 2014",6.571
"June 30, 2014",6.636
"March 31, 2014",6.585
"Dec. 31, 2013",6.200
"Sept. 30, 2013",5.609
"June 30, 2013",5.618
"March 31, 2013",5.582
"Dec. 31, 2012",5.126
"Sept. 30, 2012",4.664
"June 30, 2012",3.989
"March 31, 2012",3.904
"Dec. 31, 2011",3.627
"Sept. 30, 2011",3.601
"June 30, 2011",3.647
"March 31, 2011",3.683
"Dec. 31, 2010",3.269
"Sept. 30, 2010",3.195
"June 30, 2010",3.252
"March 31, 2010",3.371
"Dec. 31, 2009",3.099
"Sept. 30, 2009",2.684
"June 30, 2009",2.871
"March 31, 2009",2.671
"Dec. 31, 2008",2.629
"Sept. 30, 2008",2.407
"June 30, 2008",2.908
"March 31, 2008",3.823
"Dec. 31, 2007",3.858
"Sept. 30, 2007",3.288
"June 30, 2007",3.532
"March 31, 2007",3.713
"Dec. 31, 2006",3.291
"Sept. 30, 2006",2.383
"June 30, 2006",2.585
"March 31, 2006",2.767
"Dec. 31, 2005",2.787
"Sept. 30, 2005",2.680
"June 30, 2005",2.587
"March 31, 2005",2.721
"Dec. 31, 2004",2.142
"Sept. 30, 2004",1.074
"June 30, 2004",1.049
"March 31, 2004",1.134
"Dec. 31, 2003",0.7676
"Sept. 30, 2003",2.001
"June 30, 2003",1.929
"March 31, 2003",3.318
"Dec. 31, 2002",1.701
"Sept. 30, 2002",-1.838
"June 30, 2002",-0.7079
"March 31, 2002",-0.7233
"Dec. 31, 2001",-1.298
"Sept. 30, 2001",-1.411
"June 30, 2001",-0.8397
"March 31, 2001",-0.4939
"Dec. 31, 2000",-0.9166
"Sept. 30, 2000",10.52
"June 30, 2000",9.871
"March 31, 2000",10.02
"Dec. 31, 1999",9.890
"Sept. 30, 1999",9.940
"June 30, 1999",9.964
"March 31, 1999",10.34
"Dec. 31, 1998",9.229
"Sept. 30, 1998",9.095
"June 30, 1998",9.400
"March 31, 1998",9.782
"Dec. 31, 1997",9.626
"Sept. 30, 1997",9.416
"June 30, 1997",9.344
"March 31, 1997",9.683
"Dec. 31, 1996",9.201
"Sept. 30, 1996",9.113
"June 30, 1996",9.114
"March 31, 1996",9.074
"Dec. 31, 1995",8.995
"Sept. 30, 1995",8.919
"June 30, 1995",8.793
"March 31, 1995",8.919
"Dec. 31, 1994",8.668
"Sept. 30, 1994",8.446
"June 30, 1994",8.463
"March 31, 1994",8.553
