date,operating_margin_ttm
"Dec. 31, 2019",25.06%
"Sept. 30, 2019",16.14%
"June 30, 2019",8.50%
"March 31, 2019",1.91%
"Dec. 31, 2018",2.46%
"Sept. 30, 2018",9.55%
"June 30, 2018",17.97%
"March 31, 2018",18.13%
"Dec. 31, 2017",19.01%
"Sept. 30, 2017",18.38%
"June 30, 2017",18.64%
"March 31, 2017",19.32%
"Dec. 31, 2016",19.26%
"Sept. 30, 2016",19.86%
"June 30, 2016",20.00%
"March 31, 2016",18.80%
"Dec. 31, 2015",17.23%
"Sept. 30, 2015",16.37%
"June 30, 2015",15.51%
"March 31, 2015",16.50%
"Dec. 31, 2014",17.25%
"Sept. 30, 2014",14.29%
"June 30, 2014",15.25%
"March 31, 2014",15.22%
"Dec. 31, 2013",15.12%
"Sept. 30, 2013",19.47%
"June 30, 2013",19.29%
"March 31, 2013",20.07%
"Dec. 31, 2012",19.95%
"Sept. 30, 2012",18.72%
"June 30, 2012",18.73%
"March 31, 2012",17.43%
"Dec. 31, 2011",15.94%
"Sept. 30, 2011",15.00%
"June 30, 2011",14.46%
"March 31, 2011",14.20%
"Dec. 31, 2010",13.79%
"Sept. 30, 2010",14.33%
"June 30, 2010",14.29%
"March 31, 2010",13.69%
"Dec. 31, 2009",12.10%
"Sept. 30, 2009",10.60%
"June 30, 2009",10.41%
"March 31, 2009",10.02%
"Dec. 31, 2008",9.97%
"Sept. 30, 2008",9.67%
"June 30, 2008",9.65%
"March 31, 2008",9.98%
"Dec. 31, 2007",11.02%
"Sept. 30, 2007",12.66%
"June 30, 2007",13.20%
"March 31, 2007",13.55%
"Dec. 31, 2006",12.49%
"Sept. 30, 2006",10.19%
"June 30, 2006",9.65%
"March 31, 2006",9.45%
"Dec. 31, 2005",10.69%
"Sept. 30, 2005",13.84%
"June 30, 2005",14.72%
"March 31, 2005",15.51%
"Dec. 31, 2004",16.09%
"Sept. 30, 2004",16.16%
"June 30, 2004",16.70%
"March 31, 2004",17.27%
"Dec. 31, 2003",17.60%
"Sept. 30, 2003",17.54%
"June 30, 2003",17.97%
"March 31, 2003",18.23%
"Dec. 31, 2002",21.10%
"Sept. 30, 2002",18.89%
"June 30, 2002",15.96%
"March 31, 2002",13.75%
"Dec. 31, 2001",10.58%
"Sept. 30, 2001",9.51%
"June 30, 2001",9.57%
"March 31, 2001",10.03%
"Dec. 31, 2000",9.57%
"Sept. 30, 2000",10.71%
"June 30, 2000",12.34%
"March 31, 2000",13.09%
"Dec. 31, 1999",13.38%
"Sept. 30, 1999",15.73%
"June 30, 1999",15.10%
"March 31, 1999",14.98%
"Dec. 31, 1998",14.17%
"Sept. 30, 1998",13.70%
"June 30, 1998",14.08%
"March 31, 1998",14.58%
"Dec. 31, 1997",15.69%
"Sept. 30, 1997",16.68%
"June 30, 1997",17.77%
"March 31, 1997",18.43%
"Dec. 31, 1996",19.62%
"Sept. 30, 1996",19.73%
"June 30, 1996",20.61%
"March 31, 1996",21.42%
"Dec. 31, 1995",21.35%
"Sept. 30, 1995",22.23%
"June 30, 1995",21.73%
"March 31, 1995",21.35%
"Dec. 31, 1994",21.17%
"Sept. 30, 1994",42.44%
"June 30, 1994",58.01%
"March 31, 1994",74.64%
