date,capex_ttm
"Dec. 31, 2019",1.802B
"Sept. 30, 2019",1.832B
"June 30, 2019",1.829B
"March 31, 2019",1.802B
"Dec. 31, 2018",1.818B
"Sept. 30, 2018",1.776B
"June 30, 2018",1.796B
"March 31, 2018",1.754B
"Dec. 31, 2017",1.696B
"Sept. 30, 2017",1.608B
"June 30, 2017",1.535B
"March 31, 2017",1.486B
"Dec. 31, 2016",1.475B
"Sept. 30, 2016",1.521B
"June 30, 2016",1.478B
"March 31, 2016",1.418B
"Dec. 31, 2015",1.361B
"Sept. 30, 2015",1.292B
"June 30, 2015",984.30M
"March 31, 2015",1.140B
"Dec. 31, 2014",1.282B
"Sept. 30, 2014",822.10M
"June 30, 2014",1.256B
"March 31, 2014",1.222B
"Dec. 31, 2013",1.205B
"Sept. 30, 2013",1.774B
"June 30, 2013",1.683B
"March 31, 2013",1.576B
"Dec. 31, 2012",1.499B
"Sept. 30, 2012",1.371B
"June 30, 2012",1.296B
"March 31, 2012",1.205B
"Dec. 31, 2011",1.123B
"Sept. 30, 2011",1.022B
"June 30, 2011",909.40M
"March 31, 2011",871.90M
"Dec. 31, 2010",801.30M
"Sept. 30, 2010",744.90M
"June 30, 2010",728.30M
"March 31, 2010",709.10M
"Dec. 31, 2009",777.20M
"Sept. 30, 2009",1.178B
"June 30, 2009",907.30M
"March 31, 2009",1.310B
"Dec. 31, 2008",1.300B
"Sept. 30, 2008",974.10M
"June 30, 2008",1.233B
"March 31, 2008",835.50M
"Dec. 31, 2007",786.40M
"Sept. 30, 2007",751.50M
"June 30, 2007",697.30M
"March 31, 2007",663.60M
"Dec. 31, 2006",637.40M
"Sept. 30, 2006",589.20M
"June 30, 2006",619.10M
"March 31, 2006",607.90M
"Dec. 31, 2005",590.40M
"Sept. 30, 2005",541.60M
"June 30, 2005",522.40M
"March 31, 2005",510.80M
"Dec. 31, 2004",517.00M
"Sept. 30, 2004",591.00M
"June 30, 2004",574.50M
"March 31, 2004",589.80M
"Dec. 31, 2003",574.60M
"Sept. 30, 2003",702.90M
"June 30, 2003",658.90M
"March 31, 2003",626.70M
"Dec. 31, 2002",621.90M
"Sept. 30, 2002",562.90M
"June 30, 2002",683.00M
"March 31, 2002",636.30M
"Dec. 31, 2001",668.10M
"Sept. 30, 2001",555.50M
"June 30, 2001",426.26M
"March 31, 2001",436.20M
"Dec. 31, 2000",365.60M
"Sept. 30, 2000",284.78M
"June 30, 2000",302.14M
"March 31, 2000",306.40M
"Dec. 31, 1999",313.00M
"Sept. 30, 1999",298.03M
"June 30, 1999",269.60M
"March 31, 1999",255.70M
"Dec. 31, 1998",245.80M
"Sept. 30, 1998",234.60M
"June 30, 1998",222.50M
"March 31, 1998",220.50M
"Dec. 31, 1997",218.90M
"Sept. 30, 1997",236.90M
"June 30, 1997",233.70M
"March 31, 1997",219.50M
"Dec. 31, 1996",207.90M
"Sept. 30, 1996",186.10M
"June 30, 1996",176.20M
"March 31, 1996",174.90M
"Dec. 31, 1995",189.80M
"Sept. 30, 1995",181.10M
"June 30, 1995",197.40M
"March 31, 1995",197.70M
"Dec. 31, 1994",200.60M
"Sept. 30, 1994",154.70M
"June 30, 1994",99.70M
"March 31, 1994",52.80M
