date,cash_financing_ttm
"Dec. 31, 2019",366.40M
"Sept. 30, 2019",1.082B
"June 30, 2019",1.248B
"March 31, 2019",1.468B
"Dec. 31, 2018",1.469B
"Sept. 30, 2018",764.00M
"June 30, 2018",1.042B
"March 31, 2018",1.151B
"Dec. 31, 2017",1.069B
"Sept. 30, 2017",923.10M
"June 30, 2017",693.70M
"March 31, 2017",705.00M
"Dec. 31, 2016",790.50M
"Sept. 30, 2016",819.00M
"June 30, 2016",265.30M
"March 31, 2016",-2.692B
"Dec. 31, 2015",-3.412B
"Sept. 30, 2015",-3.415B
"June 30, 2015",-2.891B
"March 31, 2015",71.70M
"Dec. 31, 2014",795.60M
"Sept. 30, 2014",910.40M
"June 30, 2014",851.10M
"March 31, 2014",608.10M
"Dec. 31, 2013",445.10M
"Sept. 30, 2013",315.50M
"June 30, 2013",167.90M
"March 31, 2013",194.90M
"Dec. 31, 2012",174.50M
"Sept. 30, 2012",270.90M
"June 30, 2012",381.70M
"March 31, 2012",316.80M
"Dec. 31, 2011",281.40M
"Sept. 30, 2011",-191.60M
"June 30, 2011",-33.60M
"March 31, 2011",-188.30M
"Dec. 31, 2010",210.70M
"Sept. 30, 2010",-38.40M
"June 30, 2010",-341.60M
"March 31, 2010",-63.40M
"Dec. 31, 2009",-1.016B
"Sept. 30, 2009",-719.90M
"June 30, 2009",65.00M
"March 31, 2009",467.10M
"Dec. 31, 2008",516.10M
"Sept. 30, 2008",576.80M
"June 30, 2008",21.80M
"March 31, 2008",-132.10M
"Dec. 31, 2007",-72.90M
"Sept. 30, 2007",-76.30M
"June 30, 2007",-63.40M
"March 31, 2007",-511.90M
"Dec. 31, 2006",-460.00M
"Sept. 30, 2006",-878.30M
"June 30, 2006",-349.10M
"March 31, 2006",-334.20M
"Dec. 31, 2005",-100.30M
"Sept. 30, 2005",343.60M
"June 30, 2005",-122.60M
"March 31, 2005",-212.10M
"Dec. 31, 2004",-500.90M
"Sept. 30, 2004",-491.80M
"June 30, 2004",-1.013B
"March 31, 2004",-539.30M
"Dec. 31, 2003",-471.00M
"Sept. 30, 2003",-408.10M
"June 30, 2003",-227.30M
"March 31, 2003",-801.20M
"Dec. 31, 2002",-1.034B
"Sept. 30, 2002",-1.117B
"June 30, 2002",-1.382B
"March 31, 2002",-1.106B
"Dec. 31, 2001",-660.50M
"Sept. 30, 2001",5.329B
"June 30, 2001",5.328B
"March 31, 2001",5.432B
"Dec. 31, 2000",5.634B
"Sept. 30, 2000",-231.41M
"June 30, 2000",-19.58M
"March 31, 2000",138.00M
"Dec. 31, 1999",622.80M
"Sept. 30, 1999",574.85M
"June 30, 1999",524.20M
"March 31, 1999",280.00M
"Dec. 31, 1998",-163.20M
"Sept. 30, 1998",-153.60M
"June 30, 1998",-258.90M
"March 31, 1998",-134.50M
"Dec. 31, 1997",67.30M
"Sept. 30, 1997",19.60M
"June 30, 1997",156.50M
"March 31, 1997",91.10M
"Dec. 31, 1996",-88.10M
"Sept. 30, 1996",23.20M
"June 30, 1996",-39.20M
"March 31, 1996",-62.80M
"Dec. 31, 1995",-158.70M
"Sept. 30, 1995",-210.70M
"June 30, 1995",-176.10M
"March 31, 1995",-161.30M
"Dec. 31, 1994",-98.00M
