date,shares_outstanding
"Feb. 18, 2020",382.26M
"Dec. 31, 2019",382.14M
"Oct. 28, 2019",373.54M
"Oct. 22, 2019",373.54M
"Sept. 30, 2019",373.45M
"July 24, 2019",373.35M
"June 30, 2019",373.25M
"April 24, 2019",373.10M
"March 31, 2019",373.00M
"March 12, 2019",372.97M
"Feb. 12, 2019",372.49M
"Jan. 30, 2019",372.46M
"Dec. 31, 2018",372.36M
"Nov. 26, 2018",371.96M
"Nov. 13, 2018",369.74M
"Nov. 8, 2018",369.67M
"Oct. 25, 2018",363.29M
"Oct. 23, 2018",363.29M
"Oct. 15, 2018",363.26M
"Sept. 30, 2018",363.17M
"July 24, 2018",363.04M
"June 30, 2018",362.92M
"May 4, 2018",362.76M
"April 24, 2018",337.74M
"March 31, 2018",337.60M
"March 13, 2018",337.57M
"Feb. 12, 2018",337.41M
"Jan. 1, 2018",337.02M
"Dec. 31, 2017",337.02M
"Oct. 23, 2017",336.79M
"Sept. 30, 2017",336.69M
"July 24, 2017",325.87M
"June 30, 2017",325.76M
"April 24, 2017",323.96M
"March 31, 2017",324.47M
"March 14, 2017",323.70M
"Feb. 14, 2017",323.45M
"Dec. 31, 2016",323.16M
"Oct. 25, 2016",322.74M
"Sept. 30, 2016",322.56M
"July 25, 2016",322.19M
"June 30, 2016",322.00M
"April 25, 2016",321.54M
"March 31, 2016",321.36M
"March 15, 2016",320.72M
"Feb. 10, 2016",319.74M
"Dec. 31, 2015",319.11M
"Oct. 27, 2015",318.67M
"Sept. 30, 2015",318.47M
"July 30, 2015",317.86M
"June 30, 2015",317.67M
"April 23, 2015",317.38M
"March 31, 2015",317.28M
"March 16, 2015",317.26M
"Feb. 10, 2015",316.21M
"Dec. 31, 2014",316.04M
"Oct. 23, 2014",315.70M
"Sept. 30, 2014",315.60M
"July 24, 2014",315.32M
"June 30, 2014",315.22M
"April 24, 2014",314.88M
"March 31, 2014",314.80M
"March 28, 2014",314.76M
"March 18, 2014",314.76M
"Feb. 13, 2014",313.99M
"Dec. 31, 2013",313.68M
"Oct. 24, 2013",313.29M
"Sept. 30, 2013",313.14M
"July 25, 2013",312.58M
"June 30, 2013",312.42M
"April 25, 2013",312.04M
"March 31, 2013",311.81M
"March 19, 2013",311.79M
"Feb. 12, 2013",311.19M
"Dec. 31, 2012",310.28M
"Oct. 24, 2012",309.76M
"Sept. 30, 2012",309.60M
