date,return_on_equity
"Dec. 31, 2019",7.68%
"Sept. 30, 2019",10.42%
"June 30, 2019",3.34%
"March 31, 2019",-2.24%
"Dec. 31, 2018",-1.08%
"Sept. 30, 2018",-1.99%
"June 30, 2018",5.86%
"March 31, 2018",4.49%
"Dec. 31, 2017",3.05%
"Sept. 30, 2017",6.56%
"June 30, 2017",7.07%
"March 31, 2017",9.01%
"Dec. 31, 2016",8.54%
"Sept. 30, 2016",7.89%
"June 30, 2016",6.18%
"March 31, 2016",4.17%
"Dec. 31, 2015",5.34%
"Sept. 30, 2015",6.57%
"June 30, 2015",6.68%
"March 31, 2015",8.65%
"Dec. 31, 2014",8.80%
"Sept. 30, 2014",8.90%
"June 30, 2014",9.28%
"March 31, 2014",9.27%
"Dec. 31, 2013",9.32%
"Sept. 30, 2013",9.16%
"June 30, 2013",8.84%
"March 31, 2013",9.00%
"Dec. 31, 2012",7.96%
"Sept. 30, 2012",5.80%
"June 30, 2012",6.20%
"March 31, 2012",5.64%
"Dec. 31, 2011",6.01%
"Sept. 30, 2011",6.22%
"June 30, 2011",6.22%
"March 31, 2011",5.99%
"Dec. 31, 2010",5.78%
"Sept. 30, 2010",7.16%
"June 30, 2010",6.19%
"March 31, 2010",5.54%
"Dec. 31, 2009",4.56%
"Sept. 30, 2009",6.13%
"June 30, 2009",6.86%
"March 31, 2009",2.67%
"Dec. 31, 2008",1.62%
"Sept. 30, 2008",-0.32%
"June 30, 2008",-0.50%
"March 31, 2008",4.02%
"Dec. 31, 2007",6.35%
"Sept. 30, 2007",6.33%
"June 30, 2007",6.66%
"March 31, 2007",6.59%
"Dec. 31, 2006",5.75%
"Sept. 30, 2006",5.89%
"June 30, 2006",5.20%
"March 31, 2006",5.57%
"Dec. 31, 2005",6.31%
"Sept. 30, 2005",8.36%
"June 30, 2005",9.26%
"March 31, 2005",9.29%
"Dec. 31, 2004",9.64%
"Sept. 30, 2004",9.39%
"June 30, 2004",9.19%
"March 31, 2004",0.99%
"Dec. 31, 2003",2.04%
"Sept. 30, 2003",0.75%
"June 30, 2003",0.97%
"March 31, 2003",10.06%
"Dec. 31, 2002",10.26%
"Sept. 30, 2002",9.95%
"June 30, 2002",8.63%
"March 31, 2002",7.61%
"Dec. 31, 2001",6.14%
"Sept. 30, 2001",5.23%
"June 30, 2001",8.81%
"March 31, 2001",12.11%
"Dec. 31, 2000",8.90%
"Sept. 30, 2000",13.89%
"June 30, 2000",12.08%
"March 31, 2000",11.97%
"Dec. 31, 1999",12.14%
"Sept. 30, 1999",14.72%
"June 30, 1999",16.31%
"March 31, 1999",17.09%
"Dec. 31, 1998",16.07%
"Sept. 30, 1998",15.38%
"June 30, 1998",14.50%
"March 31, 1998",14.20%
"Dec. 31, 1997",15.42%
"Sept. 30, 1997",15.43%
"June 30, 1997",15.70%
"March 31, 1997",15.64%
"Dec. 31, 1996",15.84%
"Sept. 30, 1996",15.84%
"June 30, 1996",16.01%
"March 31, 1996",16.26%
"Dec. 31, 1995",15.67%
"Sept. 30, 1995",15.51%
"June 30, 1995",14.83%
"March 31, 1995",14.33%
"Dec. 31, 1994",14.83%
"Sept. 30, 1994",14.81%
