date,times_interest_earned
"Dec. 31, 2019",2.364
"Sept. 30, 2019",2.359
"June 30, 2019",1.187
"March 31, 2019",0.2176
"Dec. 31, 2018",0.3874
"Sept. 30, 2018",1.329
"June 30, 2018",2.588
"March 31, 2018",2.307
"Dec. 31, 2017",2.308
"Sept. 30, 2017",2.264
"June 30, 2017",2.312
"March 31, 2017",2.656
"Dec. 31, 2016",2.512
"Sept. 30, 2016",2.397
"June 30, 2016",2.327
"March 31, 2016",1.874
"Dec. 31, 2015",1.882
"Sept. 30, 2015",1.899
"June 30, 2015",1.797
"March 31, 2015",2.363
"Dec. 31, 2014",2.637
"Sept. 30, 2014",1.870
"June 30, 2014",2.094
"March 31, 2014",2.082
"Dec. 31, 2013",1.857
"Sept. 30, 2013",2.704
"June 30, 2013",2.562
"March 31, 2013",2.556
"Dec. 31, 2012",2.443
"Sept. 30, 2012",2.157
"June 30, 2012",2.250
"March 31, 2012",2.186
"Dec. 31, 2011",2.281
"Sept. 30, 2011",2.258
"June 30, 2011",2.185
"March 31, 2011",2.099
"Dec. 31, 2010",2.030
"Sept. 30, 2010",2.294
"June 30, 2010",2.188
"March 31, 2010",2.080
"Dec. 31, 2009",2.00
"Sept. 30, 2009",2.238
"June 30, 2009",2.346
"March 31, 2009",2.476
"Dec. 31, 2008",2.592
"Sept. 30, 2008",2.956
"June 30, 2008",4.501
"March 31, 2008",9.052
