date,enterprise_value
"March 19, 2020",19.31B
"March 18, 2020",19.40B
"March 17, 2020",19.78B
"March 16, 2020",18.39B
"March 13, 2020",20.01B
"March 12, 2020",19.57B
"March 11, 2020",20.74B
"March 10, 2020",21.29B
"March 9, 2020",20.97B
"March 6, 2020",21.64B
"March 5, 2020",21.71B
"March 4, 2020",21.80B
"March 3, 2020",21.23B
"March 2, 2020",21.30B
"Feb. 28, 2020",20.71B
"Feb. 27, 2020",20.82B
"Feb. 26, 2020",20.99B
"Feb. 25, 2020",21.23B
"Feb. 24, 2020",21.56B
"Feb. 21, 2020",21.81B
"Feb. 20, 2020",21.87B
"Feb. 19, 2020",21.86B
"Feb. 18, 2020",21.93B
"Feb. 14, 2020",21.93B
"Feb. 13, 2020",21.92B
"Feb. 12, 2020",21.78B
"Feb. 11, 2020",21.82B
"Feb. 10, 2020",21.79B
"Feb. 7, 2020",21.77B
"Feb. 6, 2020",21.79B
"Feb. 5, 2020",21.76B
"Feb. 4, 2020",21.65B
"Feb. 3, 2020",21.77B
"Jan. 31, 2020",21.58B
"Jan. 30, 2020",21.50B
"Jan. 29, 2020",21.54B
"Jan. 28, 2020",21.51B
"Jan. 27, 2020",21.42B
"Jan. 24, 2020",21.50B
"Jan. 23, 2020",21.54B
"Jan. 22, 2020",21.49B
"Jan. 21, 2020",21.54B
"Jan. 17, 2020",21.48B
"Jan. 16, 2020",21.40B
"Jan. 15, 2020",21.35B
"Jan. 14, 2020",21.15B
"Jan. 13, 2020",21.03B
"Jan. 10, 2020",20.95B
"Jan. 9, 2020",20.99B
"Jan. 8, 2020",20.95B
"Jan. 7, 2020",20.94B
"Jan. 6, 2020",20.85B
"Jan. 3, 2020",20.85B
"Jan. 2, 2020",20.77B
"Dec. 31, 2019",21.02B
"Dec. 30, 2019",20.61B
"Dec. 27, 2019",20.53B
"Dec. 26, 2019",20.55B
"Dec. 24, 2019",20.58B
"Dec. 23, 2019",20.59B
"Dec. 20, 2019",20.70B
"Dec. 19, 2019",20.65B
"Dec. 18, 2019",20.62B
"Dec. 17, 2019",20.51B
"Dec. 16, 2019",20.48B
"Dec. 13, 2019",20.37B
"Dec. 12, 2019",20.29B
"Dec. 11, 2019",20.38B
"Dec. 10, 2019",20.42B
"Dec. 9, 2019",20.31B
"Dec. 6, 2019",20.34B
"Dec. 5, 2019",20.29B
"Dec. 4, 2019",20.23B
"Dec. 3, 2019",20.20B
"Dec. 2, 2019",20.11B
"Nov. 29, 2019",20.21B
"Nov. 27, 2019",20.24B
"Nov. 26, 2019",20.22B
"Nov. 25, 2019",20.25B
"Nov. 22, 2019",20.18B
"Nov. 21, 2019",20.13B
"Nov. 20, 2019",20.07B
"Nov. 19, 2019",20.06B
"Nov. 18, 2019",20.14B
"Nov. 15, 2019",20.23B
