date,liabilities
"Dec. 31, 2019",16.67B
"Sept. 30, 2019",16.28B
"June 30, 2019",16.00B
"March 31, 2019",16.11B
"Dec. 31, 2018",16.05B
"Sept. 30, 2018",15.63B
"June 30, 2018",14.84B
"March 31, 2018",15.59B
"Dec. 31, 2017",15.64B
"Sept. 30, 2017",14.91B
"June 30, 2017",14.70B
"March 31, 2017",14.44B
"Dec. 31, 2016",14.62B
"Sept. 30, 2016",14.26B
"June 30, 2016",13.81B
"March 31, 2016",13.60B
"Dec. 31, 2015",13.65B
"Sept. 30, 2015",13.26B
"June 30, 2015",18.15B
"March 31, 2015",17.43B
"Dec. 31, 2014",18.41B
"Sept. 30, 2014",17.70B
"June 30, 2014",17.23B
"March 31, 2014",17.10B
"Dec. 31, 2013",16.77B
"Sept. 30, 2013",16.38B
"June 30, 2013",15.92B
"March 31, 2013",15.95B
"Dec. 31, 2012",16.29B
"Sept. 30, 2012",15.43B
"June 30, 2012",15.30B
"March 31, 2012",15.37B
"Dec. 31, 2011",15.71B
"Sept. 30, 2011",14.75B
"June 30, 2011",14.34B
"March 31, 2011",14.46B
"Dec. 31, 2010",15.02B
"Sept. 30, 2010",14.65B
"June 30, 2010",14.15B
"March 31, 2010",14.42B
"Dec. 31, 2009",14.42B
"Sept. 30, 2009",14.65B
"June 30, 2009",14.43B
"March 31, 2009",14.61B
"Dec. 31, 2008",15.30B
"Sept. 30, 2008",14.43B
"June 30, 2008",13.81B
"March 31, 2008",13.12B
"Dec. 31, 2007",12.93B
"Sept. 30, 2007",12.65B
"June 30, 2007",12.43B
"March 31, 2007",12.43B
"Dec. 31, 2006",13.14B
"Sept. 30, 2006",12.51B
"June 30, 2006",12.22B
"March 31, 2006",12.56B
"Dec. 31, 2005",12.94B
"Sept. 30, 2005",12.99B
"June 30, 2005",11.48B
"March 31, 2005",12.08B
"Dec. 31, 2004",12.12B
"Sept. 30, 2004",11.88B
"June 30, 2004",11.42B
"March 31, 2004",11.87B
"Dec. 31, 2003",12.13B
"Sept. 30, 2003",11.37B
"June 30, 2003",12.18B
"March 31, 2003",12.53B
"Dec. 31, 2002",12.69B
"Sept. 30, 2002",13.20B
"June 30, 2002",13.09B
"March 31, 2002",13.00B
"Dec. 31, 2001",13.82B
"Sept. 30, 2001",13.78B
"June 30, 2001",14.06B
"March 31, 2001",14.84B
"Dec. 31, 2000",16.15B
"Sept. 30, 2000",5.596B
"June 30, 2000",5.727B
"March 31, 2000",5.452B
"Dec. 31, 1999",4.936B
"Sept. 30, 1999",4.657B
"June 30, 1999",4.547B
"March 31, 1999",4.368B
"Dec. 31, 1998",3.695B
"Sept. 30, 1998",3.560B
"June 30, 1998",3.467B
"March 31, 1998",3.480B
"Dec. 31, 1997",3.528B
"Sept. 30, 1997",3.384B
"June 30, 1997",3.452B
"March 31, 1997",3.467B
"Dec. 31, 1996",3.046B
"Sept. 30, 1996",2.856B
"June 30, 1996",2.796B
"March 31, 1996",2.809B
"Dec. 31, 1995",2.697B
"Sept. 30, 1995",2.597B
"June 30, 1995",2.594B
"March 31, 1995",2.591B
"Dec. 31, 1994",2.652B
"Sept. 30, 1994",2.613B
"June 30, 1994",2.575B
"March 31, 1994",2.612B
