date,tangible_common_equity_ratio
"Dec. 31, 2019",59.99%
"Sept. 30, 2019",60.05%
"June 30, 2019",60.42%
"March 31, 2019",59.67%
"Dec. 31, 2018",60.17%
"Sept. 30, 2018",59.13%
"June 30, 2018",58.28%
"March 31, 2018",57.89%
"Dec. 31, 2017",57.60%
"Sept. 30, 2017",56.73%
"June 30, 2017",56.65%
"March 31, 2017",55.80%
"Dec. 31, 2016",55.18%
"Sept. 30, 2016",55.71%
"June 30, 2016",55.50%
"March 31, 2016",56.21%
"Dec. 31, 2015",56.98%
"Sept. 30, 2015",56.97%
"June 30, 2015",57.31%
"March 31, 2015",57.06%
"Dec. 31, 2014",57.54%
"Sept. 30, 2014",58.10%
"June 30, 2014",57.87%
"March 31, 2014",57.58%
"Dec. 31, 2013",58.00%
"Sept. 30, 2013",57.62%
"June 30, 2013",57.73%
"March 31, 2013",58.21%
"Dec. 31, 2012",57.76%
"Sept. 30, 2012",57.74%
"June 30, 2012",58.38%
"March 31, 2012",57.49%
"Dec. 31, 2011",56.99%
"Sept. 30, 2011",58.28%
"June 30, 2011",56.33%
"March 31, 2011",55.47%
"Dec. 31, 2010",55.77%
"Sept. 30, 2010",56.57%
"June 30, 2010",56.81%
"March 31, 2010",55.22%
"Dec. 31, 2009",54.56%
"Sept. 30, 2009",54.47%
"June 30, 2009",53.22%
"March 31, 2009",53.42%
"Dec. 31, 2008",52.40%
"Sept. 30, 2008",51.12%
"June 30, 2008",49.00%
"March 31, 2008",50.32%
"Dec. 31, 2007",50.26%
"Sept. 30, 2007",52.10%
"June 30, 2007",51.51%
"March 31, 2007",50.85%
"Dec. 31, 2006",50.24%
"Sept. 30, 2006",50.16%
"June 30, 2006",49.18%
"March 31, 2006",48.91%
"Dec. 31, 2005",47.89%
"Sept. 30, 2005",46.69%
"June 30, 2005",49.01%
"March 31, 2005",48.63%
"Dec. 31, 2004",48.53%
"Sept. 30, 2004",47.07%
"June 30, 2004",46.32%
"March 31, 2004",44.84%
"Dec. 31, 2003",44.55%
"Sept. 30, 2003",43.34%
"June 30, 2003",42.32%
"March 31, 2003",40.36%
"Dec. 31, 2002",40.85%
"Sept. 30, 2002",42.02%
"June 30, 2002",43.48%
"March 31, 2002",43.37%
"Dec. 31, 2001",43.78%
"Sept. 30, 2001",51.66%
"June 30, 2001",50.45%
"March 31, 2001",49.63%
"Dec. 31, 2000",42.60%
"Sept. 30, 2000",45.42%
"June 30, 2000",45.31%
"March 31, 2000",43.65%
"Dec. 31, 1999",39.12%
"Sept. 30, 1999",43.14%
"June 30, 1999",44.65%
"March 31, 1999",45.52%
"Dec. 31, 1998",46.62%
"Sept. 30, 1998",48.10%
"June 30, 1998",48.86%
"March 31, 1998",48.75%
"Dec. 31, 1997",49.25%
"Sept. 30, 1997",48.08%
"June 30, 1997",47.33%
"March 31, 1997",46.23%
"Dec. 31, 1996",44.82%
"Sept. 30, 1996",44.17%
"June 30, 1996",43.85%
"March 31, 1996",42.70%
"Dec. 31, 1995",41.81%
"Sept. 30, 1995",43.42%
"June 30, 1995",43.33%
"March 31, 1995",43.46%
"Dec. 31, 1994",42.42%
"Sept. 30, 1994",40.91%
"June 30, 1994",40.11%
"March 31, 1994",41.08%
"Dec. 31, 1993",40.30%
