date,long_term_debt
"Dec. 31, 2019",23.69B
"Sept. 30, 2019",25.06B
"June 30, 2019",25.06B
"March 31, 2019",26.06B
"Dec. 31, 2018",28.73B
"Sept. 30, 2018",29.85B
"June 30, 2018",29.78B
"March 31, 2018",31.05B
"Dec. 31, 2017",33.57B
"Sept. 30, 2017",33.98B
"June 30, 2017",33.99B
"March 31, 2017",36.86B
"Dec. 31, 2016",35.19B
"Sept. 30, 2016",39.46B
"June 30, 2016",39.49B
"March 31, 2016",32.64B
"Dec. 31, 2015",33.54B
"Sept. 30, 2015",29.21B
"June 30, 2015",29.21B
"March 31, 2015",29.96B
"Dec. 31, 2014",23.96B
"Sept. 30, 2014",19.96B
"June 30, 2014",19.96B
"March 31, 2014",19.96B
"Dec. 31, 2013",19.96B
"Sept. 30, 2013",17.96B
"June 30, 2013",17.96B
"March 31, 2013",11.96B
"Dec. 31, 2012",11.97B
"Sept. 30, 2012",10.06B
"June 30, 2012",9.765B
"March 31, 2012",8.765B
"Dec. 31, 2011",9.684B
"Sept. 30, 2011",9.384B
"June 30, 2011",9.484B
"March 31, 2011",9.484B
"Dec. 31, 2010",11.00B
"Sept. 30, 2010",10.14B
"June 30, 2010",9.793B
"March 31, 2010",9.793B
"Dec. 31, 2009",9.829B
"Sept. 30, 2009",9.973B
"June 30, 2009",10.85B
"March 31, 2009",10.85B
"Dec. 31, 2008",5.742B
"Sept. 30, 2008",5.749B
"June 30, 2008",5.382B
"March 31, 2008",5.613B
"Dec. 31, 2007",5.664B
"Sept. 30, 2007",4.708B
"June 30, 2007",4.916B
"March 31, 2007",5.691B
"Dec. 31, 2006",7.405B
"Sept. 30, 2006",7.822B
"June 30, 2006",10.00B
"March 31, 2006",11.63B
"Dec. 31, 2005",11.81B
"Sept. 30, 2005",12.24B
"June 30, 2005",10.31B
"March 31, 2005",10.19B
"Dec. 31, 2004",10.22B
"Sept. 30, 2004",10.56B
"June 30, 2004",10.09B
"March 31, 2004",10.64B
"Dec. 31, 2003",10.65B
"Sept. 30, 2003",11.17B
"June 30, 2003",11.33B
"March 31, 2003",10.96B
"Dec. 31, 2002",10.67B
"Sept. 30, 2002",11.08B
"June 30, 2002",9.432B
"March 31, 2002",8.389B
"Dec. 31, 2001",8.704B
"Sept. 30, 2001",4.804B
"June 30, 2001",4.371B
"March 31, 2001",4.525B
"Dec. 31, 2000",12.49B
"Sept. 30, 2000",5.059B
"June 30, 2000",5.064B
"March 31, 2000",5.085B
"Dec. 31, 1999",12.79B
"Sept. 30, 1999",4.585B
"June 30, 1999",4.044B
"March 31, 1999",4.053B
"Dec. 31, 1998",4.128B
"Sept. 30, 1998",4.032B
"June 30, 1998",4.069B
"March 31, 1998",4.07B
"Dec. 31, 1997",4.139B
"Sept. 30, 1997",4.15B
"June 30, 1997",3.233B
"March 31, 1997",3.586B
"Dec. 31, 1996",3.65B
"Sept. 30, 1996",3.671B
"June 30, 1996",3.685B
"March 31, 1996",3.891B
"Dec. 31, 1995",4.133B
"Sept. 30, 1995",4.472B
"June 30, 1995",4.451B
"March 31, 1995",4.08B
"Dec. 31, 1994",3.955B
"Sept. 30, 1994",4.129B
"June 30, 1994",3.877B
"March 31, 1994",3.882B
"Dec. 31, 1993",4.082B
