date,profit_margin
"Dec. 31, 2019",-19.12%
"Sept. 30, 2019",7.42%
"June 30, 2019",11.85%
"March 31, 2019",7.75%
"Dec. 31, 2018",9.25%
"Sept. 30, 2018",9.61%
"June 30, 2018",8.42%
"March 31, 2018",10.11%
"Dec. 31, 2017",8.55%
"Sept. 30, 2017",5.76%
"June 30, 2017",4.41%
"March 31, 2017",8.51%
"Dec. 31, 2016",1.38%
"Sept. 30, 2016",4.40%
"June 30, 2016",-5.28%
"March 31, 2016",-3.14%
"Dec. 31, 2015",-2.10%
"Sept. 30, 2015",6.22%
"June 30, 2015",1.55%
"March 31, 2015",7.94%
"Dec. 31, 2014",8.24%
"Sept. 30, 2014",10.79%
"June 30, 2014",10.19%
"March 31, 2014",8.85%
"Dec. 31, 2013",9.14%
"Sept. 30, 2013",8.75%
"June 30, 2013",9.70%
"March 31, 2013",11.38%
"Dec. 31, 2012",12.88%
"Sept. 30, 2012",9.44%
"June 30, 2012",12.06%
"March 31, 2012",10.99%
"Dec. 31, 2011",9.08%
"Sept. 30, 2011",12.59%
"June 30, 2011",11.53%
"March 31, 2011",10.59%
"Dec. 31, 2010",10.30%
"Sept. 30, 2010",7.77%
"June 30, 2010",10.53%
"March 31, 2010",9.70%
"Dec. 31, 2009",6.43%
"Sept. 30, 2009",8.41%
"June 30, 2009",4.42%
"March 31, 2009",5.17%
"Dec. 31, 2008",11.05%
"Sept. 30, 2008",10.22%
"June 30, 2008",7.34%
"March 31, 2008",7.99%
"Dec. 31, 2007",7.94%
"Sept. 30, 2007",6.74%
"June 30, 2007",9.59%
"March 31, 2007",9.78%
"Dec. 31, 2006",7.90%
"Sept. 30, 2006",9.25%
"June 30, 2006",8.13%
"March 31, 2006",7.32%
"Dec. 31, 2005",7.70%
"Sept. 30, 2005",6.60%
"June 30, 2005",7.62%
"March 31, 2005",6.43%
"Dec. 31, 2004",7.09%
"Sept. 30, 2004",8.28%
"June 30, 2004",11.69%
"March 31, 2004",7.61%
"Dec. 31, 2003",4.86%
"Sept. 30, 2003",6.69%
"June 30, 2003",5.45%
"March 31, 2003",6.24%
"Dec. 31, 2002",3.39%
"Sept. 30, 2002",-3.52%
"June 30, 2002",1.61%
"March 31, 2002",3.48%
"Dec. 31, 2001",-1.16%
"Sept. 30, 2001",9.81%
"June 30, 2001",10.18%
"March 31, 2001",13.01%
"Dec. 31, 2000",5.01%
"Sept. 30, 2000",11.24%
"June 30, 2000",8.44%
"March 31, 2000",8.90%
"Dec. 31, 1999",3.30%
"Sept. 30, 1999",5.72%
"June 30, 1999",4.00%
"March 31, 1999",4.92%
"Dec. 31, 1998",-2.83%
"Sept. 30, 1998",6.00%
"June 30, 1998",7.24%
"March 31, 1998",6.65%
"Dec. 31, 1997",8.53%
"Sept. 30, 1997",7.04%
"June 30, 1997",8.01%
"March 31, 1997",7.49%
"Dec. 31, 1996",4.03%
"Sept. 30, 1996",5.93%
"June 30, 1996",7.93%
"March 31, 1996",5.96%
"Dec. 31, 1995",-4.56%
"Sept. 30, 1995",3.03%
"June 30, 1995",6.34%
"March 31, 1995",5.08%
"Dec. 31, 1994",6.73%
"Sept. 30, 1994",4.47%
"June 30, 1994",2.91%
"March 31, 1994",4.70%
"Dec. 31, 1993",3.47%
"Sept. 30, 1993",4.55%
"June 30, 1993",0.51%
"March 31, 1993",5.52%
