date,revenue_per_employee_annual
"Dec. 31, 2019",2.890M
"Dec. 31, 2018",3.162M
"Dec. 31, 2017",2.515M
"Dec. 31, 2016",1.889M
"Dec. 31, 2015",2.059M
"Dec. 31, 2014",3.101M
"Dec. 31, 2013",3.478M
"Dec. 31, 2012",3.749M
"Dec. 31, 2011",3.974M
"Dec. 31, 2010",3.146M
"Dec. 31, 2009",2.570M
"Dec. 31, 2008",4.055M
"Dec. 31, 2007",3.465M
"Dec. 31, 2006",3.459M
"Dec. 31, 2005",3.447M
"Dec. 31, 2004",2.643M
"Dec. 31, 2003",2.118M
"Dec. 31, 2002",1.812M
"Dec. 31, 2001",1.920M
"Dec. 31, 2000",2.195M
"Dec. 31, 1999",1.774M
"Dec. 31, 1998",710314.0
"Dec. 31, 1997",975150.5
"Dec. 31, 1996",1.020M
