date,shareholders_equity
"Dec. 31, 2019",144.21B
"Sept. 30, 2019",155.84B
"June 30, 2019",156.40B
"March 31, 2019",155.04B
"Dec. 31, 2018",154.55B
"Sept. 30, 2018",153.58B
"June 30, 2018",152.20B
"March 31, 2018",150.36B
"Dec. 31, 2017",148.12B
"Sept. 30, 2017",146.71B
"June 30, 2017",146.20B
"March 31, 2017",146.59B
"Dec. 31, 2016",145.56B
"Sept. 30, 2016",146.80B
"June 30, 2016",147.16B
"March 31, 2016",150.31B
"Dec. 31, 2015",152.72B
"Sept. 30, 2015",154.91B
"June 30, 2015",154.67B
"March 31, 2015",155.80B
"Dec. 31, 2014",155.03B
"Sept. 30, 2014",156.14B
"June 30, 2014",153.58B
"March 31, 2014",150.66B
"Dec. 31, 2013",149.11B
"Sept. 30, 2013",144.78B
"June 30, 2013",142.84B
"March 31, 2013",140.13B
"Dec. 31, 2012",136.52B
"Sept. 30, 2012",132.94B
"June 30, 2012",130.00B
"March 31, 2012",125.51B
"Dec. 31, 2011",121.38B
"Sept. 30, 2011",120.89B
"June 30, 2011",115.65B
"March 31, 2011",110.10B
"Dec. 31, 2010",105.08B
"Sept. 30, 2010",102.24B
"June 30, 2010",99.57B
"March 31, 2010",95.35B
"Dec. 31, 2009",91.91B
"Sept. 30, 2009",90.65B
"June 30, 2009",87.96B
"March 31, 2009",87.31B
"Dec. 31, 2008",86.65B
"Sept. 30, 2008",86.95B
"June 30, 2008",82.27B
"March 31, 2008",79.21B
"Dec. 31, 2007",77.09B
"Sept. 30, 2007",74.94B
"June 30, 2007",74.18B
"March 31, 2007",71.46B
"Dec. 31, 2006",68.94B
"Sept. 30, 2006",69.60B
"June 30, 2006",66.91B
"March 31, 2006",64.84B
"Dec. 31, 2005",62.68B
"Sept. 30, 2005",60.19B
"June 30, 2005",48.54B
"March 31, 2005",46.59B
"Dec. 31, 2004",45.23B
"Sept. 30, 2004",42.84B
"June 30, 2004",41.03B
"March 31, 2004",38.17B
"Dec. 31, 2003",36.30B
"Sept. 30, 2003",35.24B
"June 30, 2003",34.10B
"March 31, 2003",32.81B
"Dec. 31, 2002",31.60B
"Sept. 30, 2002",32.12B
"June 30, 2002",33.76B
"March 31, 2002",34.12B
"Dec. 31, 2001",33.96B
"Sept. 30, 2001",23.00B
"June 30, 2001",22.22B
"March 31, 2001",21.25B
"Dec. 31, 2000",33.37B
"Sept. 30, 2000",18.92B
"June 30, 2000",18.75B
"March 31, 2000",18.00B
"Dec. 31, 1999",29.79B
"Sept. 30, 1999",17.32B
"June 30, 1999",17.15B
"March 31, 1999",17.19B
"Dec. 31, 1998",17.03B
"Sept. 30, 1998",17.59B
"June 30, 1998",17.67B
"March 31, 1998",17.48B
"Dec. 31, 1997",17.47B
"Sept. 30, 1997",17.05B
"June 30, 1997",16.55B
"March 31, 1997",16.14B
"Dec. 31, 1996",15.62B
"Sept. 30, 1996",15.50B
"June 30, 1996",15.20B
"March 31, 1996",14.68B
"Dec. 31, 1995",14.36B
"Sept. 30, 1995",15.13B
"June 30, 1995",15.29B
"March 31, 1995",14.93B
"Dec. 31, 1994",14.60B
"Sept. 30, 1994",14.32B
"June 30, 1994",14.19B
"March 31, 1994",14.18B
"Dec. 31, 1993",14.00B
