date,cash_dividend_payout_ratio
"Dec. 31, 2019",67.88%
"Sept. 30, 2019",52.34%
"June 30, 2019",47.38%
"March 31, 2019",51.07%
"Dec. 31, 2018",50.53%
"Sept. 30, 2018",59.65%
"June 30, 2018",80.04%
"March 31, 2018",96.58%
"Dec. 31, 2017",117.3%
"Sept. 30, 2017",194.2%
"June 30, 2017",256.6%
"March 31, 2017",-1.52K%
"Dec. 31, 2016",-148.2%
"Sept. 30, 2016",-99.96%
"June 30, 2016",-74.73%
"March 31, 2016",-87.00%
"Dec. 31, 2015",-79.54%
"Sept. 30, 2015",-77.42%
"June 30, 2015",-94.65%
"March 31, 2015",-88.36%
"Dec. 31, 2014",-201.6%
"Sept. 30, 2014",-407.3%
"June 30, 2014",-474.6%
"March 31, 2014",-1.21K%
"Dec. 31, 2013",-250.6%
"Sept. 30, 2013",1.55K%
"June 30, 2013",238.4K%
"March 31, 2013",240.7%
"Dec. 31, 2012",86.92%
"Sept. 30, 2012",91.17%
"June 30, 2012",54.79%
"March 31, 2012",52.78%
"Dec. 31, 2011",42.04%
"Sept. 30, 2011",38.36%
"June 30, 2011",44.36%
"March 31, 2011",43.02%
"Dec. 31, 2010",48.28%
"Sept. 30, 2010",52.44%
"June 30, 2010",50.71%
"March 31, 2010",80.54%
"Dec. 31, 2009",-1.13K%
"Sept. 30, 2009",-177.2%
"June 30, 2009",-474.0%
"March 31, 2009",192.4%
"Dec. 31, 2008",51.80%
"Sept. 30, 2008",40.35%
"June 30, 2008",52.91%
"March 31, 2008",51.20%
"Dec. 31, 2007",57.73%
"Sept. 30, 2007",57.93%
"June 30, 2007",45.56%
"March 31, 2007",46.39%
"Dec. 31, 2006",41.83%
"Sept. 30, 2006",37.41%
"June 30, 2006",36.63%
"March 31, 2006",32.95%
"Dec. 31, 2005",33.99%
"Sept. 30, 2005",35.79%
"June 30, 2005",39.43%
"March 31, 2005",38.67%
"Dec. 31, 2004",39.10%
"Sept. 30, 2004",41.69%
"June 30, 2004",43.45%
"March 31, 2004",45.72%
"Dec. 31, 2003",45.89%
"Sept. 30, 2003",43.24%
"June 30, 2003",44.38%
"March 31, 2003",58.03%
"Dec. 31, 2002",127.5%
"Sept. 30, 2002",-558.8%
"June 30, 2002",-521.8%
"March 31, 2002",-1.64K%
"Dec. 31, 2001",163.9%
"Sept. 30, 2001",47.77%
"June 30, 2001",43.32%
"March 31, 2001",42.17%
"Dec. 31, 2000",47.77%
"Sept. 30, 2000",81.09%
"June 30, 2000",183.1%
"March 31, 2000",909.1%
"Dec. 31, 1999",-2.15K%
"Sept. 30, 1999",-523.6%
"June 30, 1999",360.7%
"March 31, 1999",806.1%
"Dec. 31, 1998",-1.07K%
"Sept. 30, 1998",1.24K%
"June 30, 1998",-885.8%
"March 31, 1998",11.84K%
"Dec. 31, 1997",218.3%
"Sept. 30, 1997",80.97%
"June 30, 1997",81.83%
"March 31, 1997",61.72%
"Dec. 31, 1996",57.23%
"Sept. 30, 1996",79.89%
"June 30, 1996",81.92%
"March 31, 1996",110.2%
"Dec. 31, 1995",229.9%
"Sept. 30, 1995",406.3%
"June 30, 1995",1.68K%
"March 31, 1995",-237.4%
"Dec. 31, 1994",-236.9%
"Sept. 30, 1994",577.2%
"June 30, 1994",224.1%
"March 31, 1994",140.8%
"Dec. 31, 1993",126.8%
