date,beneish_m_score
"Dec. 31, 2019",-2.883
"Dec. 31, 2018",-2.794
"Dec. 31, 2017",-2.717
"Dec. 31, 2016",-2.640
"Dec. 31, 2015",-3.049
"Dec. 31, 2014",-3.041
"Dec. 31, 2013",-2.819
"Dec. 31, 2012",-2.861
"Dec. 31, 2011",-2.794
"Dec. 31, 2010",-2.913
"Dec. 31, 2009",-2.512
"Dec. 31, 2008",
"Dec. 31, 2007",-2.452
"Dec. 31, 2006",-2.766
"Dec. 31, 2005",-2.24
"Dec. 31, 2004",-2.230
"Dec. 31, 2003",-2.598
"Dec. 31, 2002",-2.866
"Dec. 31, 2001",-3.228
"Dec. 31, 2000",-2.442
"Dec. 31, 1999",
"Dec. 31, 1998",-4.083
"Dec. 31, 1997",-3.616
"Dec. 31, 1996",-3.532
"Dec. 31, 1995",-3.955
"Dec. 31, 1994",-3.561
