date,return_on_invested_capital
"Dec. 31, 2019",1.57%
"Sept. 30, 2019",7.00%
"June 30, 2019",7.75%
"March 31, 2019",7.26%
"Dec. 31, 2018",7.79%
"Sept. 30, 2018",7.46%
"June 30, 2018",6.37%
"March 31, 2018",5.33%
"Dec. 31, 2017",4.82%
"Sept. 30, 2017",3.39%
"June 30, 2017",3.03%
"March 31, 2017",1.51%
"Dec. 31, 2016",-0.26%
"Sept. 30, 2016",-0.78%
"June 30, 2016",-0.39%
"March 31, 2016",0.68%
"Dec. 31, 2015",2.42%
"Sept. 30, 2015",4.61%
"June 30, 2015",6.61%
"March 31, 2015",9.50%
"Dec. 31, 2014",10.80%
"Sept. 30, 2014",11.88%
"June 30, 2014",11.77%
"March 31, 2014",11.91%
"Dec. 31, 2013",13.31%
"Sept. 30, 2013",15.21%
"June 30, 2013",15.87%
"March 31, 2013",17.76%
"Dec. 31, 2012",18.55%
"Sept. 30, 2012",17.51%
"June 30, 2012",19.93%
"March 31, 2012",20.92%
"Dec. 31, 2011",21.33%
"Sept. 30, 2011",22.13%
"June 30, 2011",19.47%
"March 31, 2011",18.17%
"Dec. 31, 2010",17.31%
"Sept. 30, 2010",15.73%
"June 30, 2010",16.18%
"March 31, 2010",12.93%
"Dec. 31, 2009",10.49%
"Sept. 30, 2009",12.54%
"June 30, 2009",17.12%
"March 31, 2009",22.21%
"Dec. 31, 2008",26.70%
"Sept. 30, 2008",27.60%
"June 30, 2008",23.41%
"March 31, 2008",23.12%
"Dec. 31, 2007",22.96%
"Sept. 30, 2007",21.83%
"June 30, 2007",23.65%
"March 31, 2007",22.67%
"Dec. 31, 2006",22.08%
"Sept. 30, 2006",22.84%
"June 30, 2006",22.16%
"March 31, 2006",22.45%
"Dec. 31, 2005",21.83%
"Sept. 30, 2005",22.16%
"June 30, 2005",23.10%
"March 31, 2005",24.68%
"Dec. 31, 2004",25.27%
"Sept. 30, 2004",22.72%
"June 30, 2004",20.92%
"March 31, 2004",16.16%
"Dec. 31, 2003",15.01%
"Sept. 30, 2003",13.30%
"June 30, 2003",7.25%
"March 31, 2003",4.70%
"Dec. 31, 2002",2.26%
"Sept. 30, 2002",-1.24%
"June 30, 2002",3.53%
"March 31, 2002",6.38%
"Dec. 31, 2001",8.80%
"Sept. 30, 2001",25.24%
"June 30, 2001",26.92%
"March 31, 2001",26.61%
"Dec. 31, 2000",21.78%
"Sept. 30, 2000",18.55%
"June 30, 2000",15.52%
"March 31, 2000",13.09%
"Dec. 31, 1999",10.89%
"Sept. 30, 1999",4.25%
"June 30, 1999",3.78%
"March 31, 1999",4.73%
"Dec. 31, 1998",5.53%
"Sept. 30, 1998",10.12%
"June 30, 1998",11.40%
"March 31, 1998",12.67%
"Dec. 31, 1997",14.35%
"Sept. 30, 1997",12.61%
"June 30, 1997",12.37%
"March 31, 1997",12.63%
"Dec. 31, 1996",11.70%
"Sept. 30, 1996",7.64%
"June 30, 1996",5.94%
"March 31, 1996",4.74%
"Dec. 31, 1995",4.05%
"Sept. 30, 1995",8.53%
"June 30, 1995",9.23%
"March 31, 1995",7.82%
"Dec. 31, 1994",7.62%
"Sept. 30, 1994",6.16%
"June 30, 1994",6.21%
