date,enterprise_value
"June 11, 2019",256.22B
"June 10, 2019",258.36B
"June 7, 2019",256.81B
"June 6, 2019",255.29B
"June 5, 2019",249.52B
"June 4, 2019",248.85B
"June 3, 2019",246.36B
"May 31, 2019",242.28B
"May 30, 2019",245.19B
"May 29, 2019",247.84B
"May 28, 2019",250.78B
"May 24, 2019",251.54B
"May 23, 2019",249.94B
"May 22, 2019",255.08B
"May 21, 2019",256.55B
"May 20, 2019",255.59B
"May 17, 2019",254.98B
"May 16, 2019",255.52B
"May 15, 2019",258.07B
"May 14, 2019",257.12B
"May 13, 2019",254.83B
"May 10, 2019",257.79B
"May 9, 2019",256.26B
"May 8, 2019",249.23B
"May 7, 2019",250.70B
"May 6, 2019",250.95B
"May 3, 2019",248.79B
"May 2, 2019",247.10B
"May 1, 2019",249.82B
"April 30, 2019",254.11B
"April 29, 2019",249.65B
"April 26, 2019",248.47B
"April 25, 2019",249.99B
"April 24, 2019",250.72B
"April 23, 2019",257.84B
"April 22, 2019",257.61B
"April 18, 2019",253.73B
"April 17, 2019",254.51B
"April 16, 2019",256.22B
"April 15, 2019",254.26B
"April 12, 2019",253.54B
"April 11, 2019",265.40B
"April 10, 2019",264.45B
"April 9, 2019",264.55B
"April 8, 2019",266.72B
"April 5, 2019",266.22B
"April 4, 2019",263.12B
"April 3, 2019",261.38B
"April 2, 2019",263.36B
"April 1, 2019",263.38B
"March 31, 2019",260.03B
"March 29, 2019",259.66B
"March 28, 2019",259.36B
"March 27, 2019",258.92B
"March 26, 2019",261.47B
"March 25, 2019",259.11B
"March 22, 2019",259.49B
"March 21, 2019",264.77B
"March 20, 2019",262.54B
"March 19, 2019",263.66B
"March 18, 2019",264.80B
"March 15, 2019",263.72B
"March 14, 2019",261.95B
"March 13, 2019",262.08B
"March 12, 2019",260.62B
"March 11, 2019",260.09B
"March 8, 2019",256.29B
"March 7, 2019",256.90B
"March 6, 2019",259.92B
"March 5, 2019",259.46B
"March 4, 2019",257.24B
"March 1, 2019",257.07B
"Feb. 28, 2019",252.41B
"Feb. 27, 2019",253.36B
"Feb. 26, 2019",253.10B
"Feb. 25, 2019",252.49B
"Feb. 22, 2019",252.05B
"Feb. 21, 2019",251.58B
"Feb. 20, 2019",253.74B
"Feb. 19, 2019",251.90B
"Feb. 15, 2019",251.97B
"Feb. 14, 2019",249.71B
"Feb. 13, 2019",252.39B
"Feb. 12, 2019",250.78B
"Feb. 11, 2019",247.41B
"Feb. 8, 2019",248.94B
"Feb. 7, 2019",250.17B
"Feb. 6, 2019",251.41B
"Feb. 5, 2019",252.55B
"Feb. 4, 2019",253.05B
"Feb. 1, 2019",250.44B
"Jan. 31, 2019",243.36B
"Jan. 30, 2019",240.24B
"Jan. 29, 2019",238.00B
"Jan. 28, 2019",238.64B
"Jan. 25, 2019",240.64B
"Jan. 24, 2019",241.19B
"Jan. 23, 2019",237.16B
"Jan. 22, 2019",238.97B
"Jan. 18, 2019",242.83B
"Jan. 17, 2019",238.24B
"Jan. 16, 2019",237.18B
"Jan. 15, 2019",238.55B
"Jan. 14, 2019",237.79B
"Jan. 11, 2019",239.35B
"Jan. 10, 2019",241.08B
"Jan. 9, 2019",240.74B
"Jan. 8, 2019",237.88B
"Jan. 7, 2019",238.81B
"Jan. 4, 2019",236.07B
"Jan. 3, 2019",231.79B
"Jan. 2, 2019",235.83B
"Dec. 31, 2018",232.21B
"Dec. 28, 2018",234.93B
"Dec. 27, 2018",236.21B
"Dec. 26, 2018",232.53B
"Dec. 24, 2018",220.30B
"Dec. 21, 2018",226.45B
"Dec. 20, 2018",227.92B
"Dec. 19, 2018",233.37B
"Dec. 18, 2018",237.02B
"Dec. 17, 2018",242.19B
"Dec. 14, 2018",244.83B
"Dec. 13, 2018",248.86B
"Dec. 12, 2018",248.25B
"Dec. 11, 2018",247.96B
"Dec. 10, 2018",246.95B
"Dec. 7, 2018",248.00B
"Dec. 6, 2018",248.80B
"Dec. 4, 2018",251.35B
"Dec. 3, 2018",257.90B
"Nov. 30, 2018",254.59B
"Nov. 29, 2018",254.42B
"Nov. 28, 2018",253.07B
