date,liabilities
"Dec. 31, 2019",92.22B
"Sept. 30, 2019",99.64B
"June 30, 2019",98.43B
"March 31, 2019",100.69B
"Dec. 31, 2018",98.22B
"Sept. 30, 2018",101.93B
"June 30, 2018",104.55B
"March 31, 2018",104.88B
"Dec. 31, 2017",104.49B
"Sept. 30, 2017",107.25B
"June 30, 2017",107.21B
"March 31, 2017",111.32B
"Dec. 31, 2016",113.36B
"Sept. 30, 2016",111.91B
"June 30, 2016",113.15B
"March 31, 2016",112.37B
"Dec. 31, 2015",110.65B
"Sept. 30, 2015",112.51B
"June 30, 2015",110.56B
"March 31, 2015",112.60B
"Dec. 31, 2014",109.84B
"Sept. 30, 2014",108.12B
"June 30, 2014",107.30B
"March 31, 2014",106.43B
"Dec. 31, 2013",103.33B
"Sept. 30, 2013",101.76B
"June 30, 2013",99.88B
"March 31, 2013",95.92B
"Dec. 31, 2012",95.15B
"Sept. 30, 2012",92.64B
"June 30, 2012",88.09B
"March 31, 2012",88.56B
"Dec. 31, 2011",87.29B
"Sept. 30, 2011",82.42B
"June 30, 2011",85.29B
"March 31, 2011",83.89B
"Dec. 31, 2010",78.96B
"Sept. 30, 2010",74.23B
"June 30, 2010",71.46B
"March 31, 2010",72.88B
"Dec. 31, 2009",72.06B
"Sept. 30, 2009",71.34B
"June 30, 2009",72.72B
"March 31, 2009",71.61B
"Dec. 31, 2008",74.05B
"Sept. 30, 2008",78.54B
"June 30, 2008",80.57B
"March 31, 2008",73.42B
"Dec. 31, 2007",71.49B
"Sept. 30, 2007",64.40B
"June 30, 2007",65.22B
"March 31, 2007",64.33B
"Dec. 31, 2006",63.48B
"Sept. 30, 2006",64.29B
"June 30, 2006",64.05B
"March 31, 2006",62.68B
"Dec. 31, 2005",62.96B
"Sept. 30, 2005",64.42B
"June 30, 2005",50.35B
"March 31, 2005",49.05B
"Dec. 31, 2004",47.81B
"Sept. 30, 2004",47.98B
"June 30, 2004",47.34B
"March 31, 2004",46.64B
"Dec. 31, 2003",44.91B
"Sept. 30, 2003",45.80B
"June 30, 2003",46.17B
"March 31, 2003",48.17B
"Dec. 31, 2002",45.45B
"Sept. 30, 2002",44.03B
"June 30, 2002",43.60B
"March 31, 2002",44.26B
"Dec. 31, 2001",43.33B
"Sept. 30, 2001",21.53B
"June 30, 2001",21.83B
"March 31, 2001",21.57B
"Dec. 31, 2000",43.51B
"Sept. 30, 2000",22.73B
"June 30, 2000",22.63B
"March 31, 2000",23.24B
"Dec. 31, 1999",44.86B
"Sept. 30, 1999",22.83B
"June 30, 1999",21.26B
"March 31, 1999",20.58B
"Dec. 31, 1998",19.51B
"Sept. 30, 1998",18.98B
"June 30, 1998",18.50B
"March 31, 1998",18.37B
"Dec. 31, 1997",18.00B
"Sept. 30, 1997",18.42B
"June 30, 1997",18.41B
"March 31, 1997",18.77B
"Dec. 31, 1996",19.23B
"Sept. 30, 1996",19.58B
"June 30, 1996",19.46B
"March 31, 1996",19.69B
"Dec. 31, 1995",19.98B
"Sept. 30, 1995",19.72B
"June 30, 1995",20.00B
"March 31, 1995",19.42B
"Dec. 31, 1994",19.81B
"Sept. 30, 1994",20.68B
"June 30, 1994",21.19B
"March 31, 1994",20.34B
"Dec. 31, 1993",20.74B
