date,sales_est_0q
"March 20, 2020",32.77B
"March 17, 2020",33.07B
"March 11, 2020",34.36B
"March 9, 2020",34.89B
"March 4, 2020",35.03B
"Feb. 28, 2020",35.95B
"Feb. 26, 2020",36.83B
"Feb. 24, 2020",37.56B
"Feb. 4, 2020",37.53B
"Feb. 2, 2020",36.79B
"Feb. 1, 2020",37.20B
"Jan. 31, 2020",39.01B
"Jan. 27, 2020",38.96B
"Jan. 24, 2020",39.55B
"Jan. 16, 2020",38.68B
"Jan. 6, 2020",38.69B
"Dec. 31, 2019",38.98B
"Dec. 19, 2019",38.83B
"Dec. 17, 2019",38.64B
"Dec. 11, 2019",38.76B
"Dec. 9, 2019",37.96B
"Nov. 18, 2019",37.93B
"Nov. 6, 2019",37.86B
"Nov. 4, 2019",37.68B
"Nov. 3, 2019",37.02B
"Nov. 1, 2019",37.02B
"Oct. 17, 2019",38.64B
"Oct. 16, 2019",39.98B
"Oct. 14, 2019",39.97B
"Oct. 6, 2019",39.87B
"Sept. 30, 2019",37.69B
"Sept. 11, 2019",40.69B
"Sept. 5, 2019",40.97B
"Aug. 27, 2019",41.08B
"Aug. 8, 2019",41.18B
"Aug. 3, 2019",41.22B
"Aug. 2, 2019",41.24B
"July 29, 2019",41.61B
"July 17, 2019",41.88B
"July 11, 2019",41.85B
"July 8, 2019",41.94B
"July 5, 2019",41.96B
"July 1, 2019",41.95B
"June 30, 2019",40.14B
"June 27, 2019",41.20B
"June 20, 2019",41.20B
"June 17, 2019",41.27B
"May 23, 2019",41.51B
"May 14, 2019",41.68B
"May 13, 2019",41.67B
"May 9, 2019",41.36B
"May 7, 2019",41.35B
"April 30, 2019",42.06B
"April 26, 2019",41.30B
"April 24, 2019",41.03B
"April 16, 2019",40.70B
"April 15, 2019",40.21B
"April 12, 2019",40.63B
"April 11, 2019",40.62B
"April 10, 2019",40.68B
"April 5, 2019",39.88B
"April 2, 2019",39.32B
"March 31, 2019",38.42B
"March 12, 2019",36.90B
"March 6, 2019",36.81B
"Feb. 26, 2019",37.77B
"Feb. 14, 2019",37.82B
"Feb. 8, 2019",38.33B
"Feb. 4, 2019",38.33B
"Feb. 3, 2019",36.61B
"Feb. 1, 2019",38.70B
"Jan. 23, 2019",38.76B
"Jan. 14, 2019",37.44B
"Jan. 7, 2019",37.47B
"Jan. 4, 2019",39.04B
"Dec. 31, 2018",41.46B
"Dec. 21, 2018",42.18B
"Dec. 13, 2018",42.61B
"Dec. 10, 2018",43.31B
"Nov. 19, 2018",44.99B
"Nov. 5, 2018",45.42B
"Nov. 2, 2018",44.88B
"Oct. 23, 2018",49.39B
"Oct. 18, 2018",49.48B
"Oct. 10, 2018",49.14B
"Oct. 5, 2018",48.80B
"Sept. 30, 2018",47.17B
"Sept. 24, 2018",47.09B
"Sept. 11, 2018",46.88B
"Sept. 7, 2018",46.93B
"Sept. 6, 2018",47.13B
"Aug. 28, 2018",47.54B
"Aug. 1, 2018",47.54B
"July 31, 2018",47.29B
"July 30, 2018",46.73B
"July 27, 2018",43.49B
"July 20, 2018",47.16B
"July 19, 2018",47.16B
"July 16, 2018",47.17B
"July 10, 2018",47.19B
"June 30, 2018",46.62B
"June 28, 2018",46.82B
"June 21, 2018",46.21B
"June 18, 2018",46.52B
"June 7, 2018",46.33B
"June 5, 2018",45.97B
"May 23, 2018",45.97B
"May 21, 2018",45.22B
"May 10, 2018",44.55B
"April 30, 2018",44.48B
"April 27, 2018",37.44B
"April 26, 2018",46.06B
"April 23, 2018",44.11B
"April 20, 2018",43.92B
"April 19, 2018",43.73B
"April 11, 2018",43.86B
"April 9, 2018",43.78B
"March 31, 2018",40.34B
"March 20, 2018",41.18B
"March 7, 2018",41.46B
"March 6, 2018",41.34B
"March 5, 2018",41.33B
"Feb. 28, 2018",41.33B
"Feb. 7, 2018",41.86B
"Feb. 5, 2018",41.84B
"Feb. 2, 2018",37.86B
"Feb. 1, 2018",41.47B
"Jan. 30, 2018",39.32B
"Jan. 26, 2018",40.43B
"Jan. 18, 2018",40.43B
"Jan. 16, 2018",40.43B
"Jan. 11, 2018",39.38B
"Jan. 4, 2018",39.09B
