date,total_long_term_debt
"Dec. 31, 2019",26.97B
"Sept. 30, 2019",32.85B
"June 30, 2019",30.65B
"March 31, 2019",33.09B
"Dec. 31, 2018",34.46B
"Sept. 30, 2018",35.98B
"June 30, 2018",38.38B
"March 31, 2018",39.66B
"Dec. 31, 2017",38.76B
"Sept. 30, 2017",41.88B
"June 30, 2017",42.77B
"March 31, 2017",45.16B
"Dec. 31, 2016",46.03B
"Sept. 30, 2016",45.52B
"June 30, 2016",45.02B
"March 31, 2016",42.26B
"Dec. 31, 2015",38.47B
"Sept. 30, 2015",35.79B
"June 30, 2015",31.83B
"March 31, 2015",33.87B
"Dec. 31, 2014",27.75B
"Sept. 30, 2014",25.62B
"June 30, 2014",23.46B
"March 31, 2014",22.97B
"Dec. 31, 2013",20.33B
"Sept. 30, 2013",18.49B
"June 30, 2013",19.87B
"March 31, 2013",14.05B
"Dec. 31, 2012",12.09B
"Sept. 30, 2012",12.24B
"June 30, 2012",10.12B
"March 31, 2012",9.161B
"Dec. 31, 2011",10.02B
"Sept. 30, 2011",9.629B
"June 30, 2011",11.39B
"March 31, 2011",11.30B
"Dec. 31, 2010",11.19B
"Sept. 30, 2010",10.31B
"June 30, 2010",10.17B
"March 31, 2010",10.10B
"Dec. 31, 2009",10.21B
"Sept. 30, 2009",10.21B
"June 30, 2009",11.72B
"March 31, 2009",11.87B
"Dec. 31, 2008",8.56B
"Sept. 30, 2008",6.581B
"June 30, 2008",6.276B
"March 31, 2008",6.393B
"Dec. 31, 2007",6.826B
"Sept. 30, 2007",5.61B
"June 30, 2007",7.751B
"March 31, 2007",9.508B
"Dec. 31, 2006",9.564B
"Sept. 30, 2006",10.11B
"June 30, 2006",10.05B
"March 31, 2006",11.82B
"Dec. 31, 2005",12.55B
"Sept. 30, 2005",13.52B
"June 30, 2005",10.96B
"March 31, 2005",10.82B
"Dec. 31, 2004",11.03B
"Sept. 30, 2004",11.60B
"June 30, 2004",11.89B
"March 31, 2004",12.16B
"Dec. 31, 2003",12.35B
"Sept. 30, 2003",13.02B
"June 30, 2003",12.86B
"March 31, 2003",15.08B
"Dec. 31, 2002",16.02B
"Sept. 30, 2002",16.26B
"June 30, 2002",16.50B
"March 31, 2002",17.55B
"Dec. 31, 2001",17.13B
"Sept. 30, 2001",6.323B
"June 30, 2001",6.445B
"March 31, 2001",6.401B
"Dec. 31, 2000",15.59B
"Sept. 30, 2000",6.773B
"June 30, 2000",7.241B
"March 31, 2000",8.597B
"Dec. 31, 1999",18.85B
"Sept. 30, 1999",8.045B
"June 30, 1999",7.845B
"March 31, 1999",7.848B
"Dec. 31, 1998",7.293B
"Sept. 30, 1998",6.899B
"June 30, 1998",6.983B
"March 31, 1998",6.777B
"Dec. 31, 1997",5.776B
"Sept. 30, 1997",5.903B
"June 30, 1997",6.121B
"March 31, 1997",6.451B
"Dec. 31, 1996",6.356B
"Sept. 30, 1996",7.123B
"June 30, 1996",7.062B
"March 31, 1996",7.615B
"Dec. 31, 1995",7.939B
"Sept. 30, 1995",8.23B
"June 30, 1995",8.222B
"March 31, 1995",8.285B
"Dec. 31, 1994",7.969B
"Sept. 30, 1994",8.561B
"June 30, 1994",8.173B
"March 31, 1994",7.626B
"Dec. 31, 1993",7.538B
"Sept. 30, 1993",0.00
"June 30, 1993",0.00
"March 31, 1993",0.00
