date,gross_profit_margin
"Dec. 31, 2019",-4.48%
"Sept. 30, 2019",30.29%
"June 30, 2019",30.71%
"March 31, 2019",30.40%
"Dec. 31, 2018",27.68%
"Sept. 30, 2018",28.60%
"June 30, 2018",27.78%
"March 31, 2018",29.04%
"Dec. 31, 2017",28.83%
"Sept. 30, 2017",29.53%
"June 30, 2017",28.11%
"March 31, 2017",31.16%
"Dec. 31, 2016",29.74%
"Sept. 30, 2016",31.51%
"June 30, 2016",20.99%
"March 31, 2016",32.26%
"Dec. 31, 2015",28.71%
"Sept. 30, 2015",33.73%
"June 30, 2015",25.33%
"March 31, 2015",33.15%
"Dec. 31, 2014",30.81%
"Sept. 30, 2014",33.06%
"June 30, 2014",32.20%
"March 31, 2014",31.44%
"Dec. 31, 2013",32.67%
"Sept. 30, 2013",32.02%
"June 30, 2013",31.86%
"March 31, 2013",32.98%
"Dec. 31, 2012",33.32%
"Sept. 30, 2012",32.89%
"June 30, 2012",32.99%
"March 31, 2012",33.34%
"Dec. 31, 2011",12.71%
"Sept. 30, 2011",39.55%
"June 30, 2011",39.23%
"March 31, 2011",39.99%
"Dec. 31, 2010",16.05%
"Sept. 30, 2010",40.98%
"June 30, 2010",40.41%
"March 31, 2010",32.40%
"Dec. 31, 2009",12.90%
"Sept. 30, 2009",31.13%
"June 30, 2009",29.35%
"March 31, 2009",30.33%
"Dec. 31, 2008",34.58%
"Sept. 30, 2008",28.86%
"June 30, 2008",24.71%
"March 31, 2008",27.39%
"Dec. 31, 2007",29.49%
"Sept. 30, 2007",29.89%
"June 30, 2007",33.09%
"March 31, 2007",33.55%
"Dec. 31, 2006",32.36%
"Sept. 30, 2006",33.58%
"June 30, 2006",31.17%
"March 31, 2006",29.12%
"Dec. 31, 2005",28.73%
"Sept. 30, 2005",27.52%
"June 30, 2005",29.71%
"March 31, 2005",30.40%
"Dec. 31, 2004",39.32%
"Sept. 30, 2004",26.63%
"June 30, 2004",29.55%
"March 31, 2004",33.78%
"Dec. 31, 2003",42.40%
"Sept. 30, 2003",30.99%
"June 30, 2003",34.38%
"March 31, 2003",34.21%
"Dec. 31, 2002",32.15%
"Sept. 30, 2002",33.20%
"June 30, 2002",34.76%
"March 31, 2002",34.51%
"Dec. 31, 2001",32.59%
"Sept. 30, 2001",38.01%
"June 30, 2001",37.96%
"March 31, 2001",41.04%
"Dec. 31, 2000",32.46%
"Sept. 30, 2000",38.26%
"June 30, 2000",34.32%
"March 31, 2000",35.34%
"Dec. 31, 1999",35.79%
"Sept. 30, 1999",34.67%
"June 30, 1999",33.35%
"March 31, 1999",39.77%
"Dec. 31, 1998",
"Sept. 30, 1998",38.36%
"June 30, 1998",36.78%
"March 31, 1998",35.21%
"Dec. 31, 1997",96.74%
"Sept. 30, 1997",37.15%
"June 30, 1997",39.34%
"March 31, 1997",35.40%
"Dec. 31, 1996",87.04%
"Sept. 30, 1996",33.47%
"June 30, 1996",35.16%
"March 31, 1996",33.70%
"Dec. 31, 1995",
"Sept. 30, 1995",33.62%
"June 30, 1995",36.94%
"March 31, 1995",34.17%
"Dec. 31, 1994",
"Sept. 30, 1994",29.50%
"June 30, 1994",33.41%
"March 31, 1994",36.04%
"Dec. 31, 1993",
"Sept. 30, 1993",34.56%
"June 30, 1993",25.38%
"March 31, 1993",33.73%
