date,quality_ratio_fractile
"Dec. 31, 2019",2.00
"Sept. 30, 2019",4.00
"June 30, 2019",5.00
"March 31, 2019",4.00
"Dec. 31, 2018",4.00
"Sept. 30, 2018",4.00
"June 30, 2018",4.00
"March 31, 2018",3.00
"Dec. 31, 2017",4.00
"Sept. 30, 2017",3.00
"June 30, 2017",4.00
"March 31, 2017",3.00
"Dec. 31, 2016",3.00
"Sept. 30, 2016",3.00
"June 30, 2016",3.00
"March 31, 2016",3.00
"Dec. 31, 2015",4.00
"Sept. 30, 2015",3.00
"June 30, 2015",4.00
"March 31, 2015",4.00
"Dec. 31, 2014",5.00
"Sept. 30, 2014",5.00
"June 30, 2014",5.00
"March 31, 2014",5.00
"Dec. 31, 2013",5.00
"Sept. 30, 2013",5.00
"June 30, 2013",5.00
"March 31, 2013",5.00
"Dec. 31, 2012",6.00
"Sept. 30, 2012",5.00
"June 30, 2012",5.00
"March 31, 2012",5.00
"Dec. 31, 2011",6.00
"Sept. 30, 2011",5.00
"June 30, 2011",6.00
"March 31, 2011",5.00
"Dec. 31, 2010",5.00
"Sept. 30, 2010",5.00
"June 30, 2010",5.00
"March 31, 2010",4.00
"Dec. 31, 2009",4.00
"Sept. 30, 2009",4.00
"June 30, 2009",4.00
"March 31, 2009",4.00
"Dec. 31, 2008",4.00
"Sept. 30, 2008",4.00
"June 30, 2008",4.00
"March 31, 2008",4.00
"Dec. 31, 2007",4.00
"Sept. 30, 2007",3.00
"June 30, 2007",3.00
"March 31, 2007",3.00
"Dec. 31, 2006",3.00
"Sept. 30, 2006",3.00
"June 30, 2006",3.00
"March 31, 2006",3.00
"Dec. 31, 2005",3.00
"Sept. 30, 2005",3.00
"June 30, 2005",3.00
"March 31, 2005",3.00
"Dec. 31, 2004",3.00
"Sept. 30, 2004",3.00
"June 30, 2004",3.00
"March 31, 2004",3.00
"Dec. 31, 2003",3.00
"Sept. 30, 2003",3.00
"June 30, 2003",3.00
"March 31, 2003",3.00
"Dec. 31, 2002",3.00
"Sept. 30, 2002",3.00
"June 30, 2002",3.00
"March 31, 2002",3.00
"Dec. 31, 2001",3.00
"Sept. 30, 2001",3.00
"June 30, 2001",3.00
"March 31, 2001",3.00
"Dec. 31, 2000",3.00
"Sept. 30, 2000",3.00
"June 30, 2000",3.00
"March 31, 2000",3.00
"Dec. 31, 1999",2.00
"Sept. 30, 1999",2.00
"June 30, 1999",2.00
"March 31, 1999",2.00
"Dec. 31, 1998",2.00
"Sept. 30, 1998",2.00
"June 30, 1998",2.00
"March 31, 1998",2.00
"Dec. 31, 1997",2.00
"Sept. 30, 1997",2.00
"June 30, 1997",2.00
"March 31, 1997",2.00
"Dec. 31, 1996",2.00
"Sept. 30, 1996",2.00
"June 30, 1996",2.00
"March 31, 1996",2.00
"Dec. 31, 1995",2.00
"Sept. 30, 1995",2.00
"June 30, 1995",1.00
"March 31, 1995",1.00
"Dec. 31, 1994",1.00
"Sept. 30, 1994",1.00
"June 30, 1994",1.00
