date,ni_per_employee_annual
"Dec. 31, 2019",60413.22
"Dec. 31, 2018",295005.0
"Dec. 31, 2017",171708.7
"Dec. 31, 2016",-8517.57
"Dec. 31, 2015",72694.14
"Dec. 31, 2014",297617.9
"Dec. 31, 2013",338436.0
"Dec. 31, 2012",425674.8
"Dec. 31, 2011",437317.1
"Dec. 31, 2010",301968.3
"Dec. 31, 2009",160045.8
"Dec. 31, 2008",362590.9
"Dec. 31, 2007",293145.1
"Dec. 31, 2006",282107.0
"Dec. 31, 2005",245200.0
"Dec. 31, 2004",226795.9
"Dec. 31, 2003",126236.4
"Dec. 31, 2002",20813.22
"Dec. 31, 2001",59405.94
"Dec. 31, 2000",142362.3
"Dec. 31, 1999",67197.85
"Dec. 31, 1998",31125.78
"Dec. 31, 1997",75687.49
"Dec. 31, 1996",60601.13
