date,altman_z_score
"Dec. 31, 2019",3.194
"Sept. 30, 2019",3.191
"June 30, 2019",3.336
"March 31, 2019",3.277
"Dec. 31, 2018",3.198
"Sept. 30, 2018",3.215
"June 30, 2018",3.119
"March 31, 2018",2.902
"Dec. 31, 2017",2.988
"Sept. 30, 2017",2.816
"June 30, 2017",2.628
"March 31, 2017",2.536
"Dec. 31, 2016",2.499
"Sept. 30, 2016",2.357
"June 30, 2016",2.41
"March 31, 2016",2.381
"Dec. 31, 2015",2.444
"Sept. 30, 2015",2.549
"June 30, 2015",2.880
"March 31, 2015",3.064
"Dec. 31, 2014",3.313
"Sept. 30, 2014",3.367
"June 30, 2014",3.552
"March 31, 2014",3.458
"Dec. 31, 2013",3.649
"Sept. 30, 2013",3.721
"June 30, 2013",3.753
"March 31, 2013",3.914
"Dec. 31, 2012",3.884
"Sept. 30, 2012",4.058
"June 30, 2012",4.143
"March 31, 2012",4.317
"Dec. 31, 2011",4.352
"Sept. 30, 2011",4.318
"June 30, 2011",4.268
"March 31, 2011",4.20
"Dec. 31, 2010",4.073
"Sept. 30, 2010",3.993
"June 30, 2010",3.848
"March 31, 2010",3.770
"Dec. 31, 2009",3.666
"Sept. 30, 2009",3.584
"June 30, 2009",3.847
"March 31, 2009",4.343
"Dec. 31, 2008",4.655
"Sept. 30, 2008",4.764
"June 30, 2008",4.712
"March 31, 2008",4.578
"Dec. 31, 2007",4.661
"Sept. 30, 2007",4.74
"June 30, 2007",4.646
"March 31, 2007",4.472
"Dec. 31, 2006",4.578
"Sept. 30, 2006",4.793
"June 30, 2006",4.664
"March 31, 2006",4.589
"Dec. 31, 2005",4.397
"Sept. 30, 2005",4.422
"June 30, 2005",5.044
"March 31, 2005",5.029
"Dec. 31, 2004",4.926
"Sept. 30, 2004",4.726
"June 30, 2004",4.460
"March 31, 2004",4.361
"Dec. 31, 2003",4.412
"Sept. 30, 2003",3.801
"June 30, 2003",3.718
"March 31, 2003",3.428
"Dec. 31, 2002",3.340
"Sept. 30, 2002",4.286
"June 30, 2002",4.301
"March 31, 2002",4.034
"Dec. 31, 2001",3.988
"Sept. 30, 2001",6.589
"June 30, 2001",6.778
"March 31, 2001",6.850
"Dec. 31, 2000",3.816
"Sept. 30, 2000",5.880
"June 30, 2000",5.681
"March 31, 2000",5.503
"Dec. 31, 1999",2.967
"Sept. 30, 1999",3.038
"June 30, 1999",3.247
"March 31, 1999",3.225
"Dec. 31, 1998",3.325
"Sept. 30, 1998",3.672
"June 30, 1998",3.847
"March 31, 1998",3.932
"Dec. 31, 1997",4.087
"Sept. 30, 1997",4.156
"June 30, 1997",3.972
"March 31, 1997",3.864
"Dec. 31, 1996",3.653
"Sept. 30, 1996",3.334
"June 30, 1996",3.181
"March 31, 1996",3.015
"Dec. 31, 1995",2.839
"Sept. 30, 1995",2.954
"June 30, 1995",2.880
"March 31, 1995",2.881
"Dec. 31, 1994",2.750
"Sept. 30, 1994",2.555
"June 30, 1994",2.496
"March 31, 1994",2.580
"Dec. 31, 1993",2.632
