date,cash_on_hand
"Dec. 31, 2019",5.749B
"Sept. 30, 2019",11.76B
"June 30, 2019",8.571B
"March 31, 2019",8.755B
"Dec. 31, 2018",10.34B
"Sept. 30, 2018",9.746B
"June 30, 2018",7.686B
"March 31, 2018",6.504B
"Dec. 31, 2017",4.822B
"Sept. 30, 2017",6.654B
"June 30, 2017",4.775B
"March 31, 2017",6.994B
"Dec. 31, 2016",7.001B
"Sept. 30, 2016",7.672B
"June 30, 2016",9.084B
"March 31, 2016",8.879B
"Dec. 31, 2015",11.33B
"Sept. 30, 2015",13.24B
"June 30, 2015",12.52B
"March 31, 2015",13.11B
"Dec. 31, 2014",13.22B
"Sept. 30, 2014",14.49B
"June 30, 2014",14.24B
"March 31, 2014",16.18B
"Dec. 31, 2013",16.52B
"Sept. 30, 2013",18.58B
"June 30, 2013",22.30B
"March 31, 2013",19.05B
"Dec. 31, 2012",21.91B
"Sept. 30, 2012",21.57B
"June 30, 2012",21.46B
"March 31, 2012",19.11B
"Dec. 31, 2011",20.07B
"Sept. 30, 2011",14.48B
"June 30, 2011",13.56B
"March 31, 2011",13.29B
"Dec. 31, 2010",14.22B
"Sept. 30, 2010",11.06B
"June 30, 2010",9.462B
"March 31, 2010",7.46B
"Dec. 31, 2009",8.822B
"Sept. 30, 2009",7.689B
"June 30, 2009",7.344B
"March 31, 2009",9.304B
"Dec. 31, 2008",9.56B
"Sept. 30, 2008",10.98B
"June 30, 2008",8.607B
"March 31, 2008",8.681B
"Dec. 31, 2007",8.094B
"Sept. 30, 2007",8.744B
"June 30, 2007",12.10B
"March 31, 2007",12.70B
"Dec. 31, 2006",11.45B
"Sept. 30, 2006",12.27B
"June 30, 2006",11.13B
"March 31, 2006",11.76B
"Dec. 31, 2005",11.14B
"Sept. 30, 2005",10.98B
"June 30, 2005",13.48B
"March 31, 2005",11.85B
"Dec. 31, 2004",10.74B
"Sept. 30, 2004",11.04B
"June 30, 2004",9.337B
"March 31, 2004",6.881B
"Dec. 31, 2003",5.267B
"Sept. 30, 2003",5.227B
"June 30, 2003",3.927B
"March 31, 2003",4.564B
"Dec. 31, 2002",3.781B
"Sept. 30, 2002",3.578B
"June 30, 2002",3.415B
"March 31, 2002",4.336B
"Dec. 31, 2001",3.15B
"Sept. 30, 2001",5.108B
"June 30, 2001",4.416B
"March 31, 2001",3.786B
"Dec. 31, 2000",3.241B
"Sept. 30, 2000",2.66B
"June 30, 2000",1.724B
"March 31, 2000",1.812B
"Dec. 31, 1999",2.968B
"Sept. 30, 1999",1.465B
"June 30, 1999",1.707B
"March 31, 1999",1.485B
"Dec. 31, 1998",1.413B
"Sept. 30, 1998",1.768B
"June 30, 1998",1.71B
"March 31, 1998",1.766B
"Dec. 31, 1997",1.67B
"Sept. 30, 1997",1.564B
"June 30, 1997",1.727B
"March 31, 1997",1.806B
"Dec. 31, 1996",1.637B
"Sept. 30, 1996",1.527B
"June 30, 1996",1.489B
"March 31, 1996",1.429B
"Dec. 31, 1995",1.394B
"Sept. 30, 1995",1.317B
"June 30, 1995",1.356B
"March 31, 1995",1.25B
"Dec. 31, 1994",1.306B
"Sept. 30, 1994",1.658B
"June 30, 1994",1.576B
"March 31, 1994",1.572B
"Dec. 31, 1993",2.016B
