date,operating_earning_yield
"March 19, 2020",0.09%
"March 18, 2020",0.10%
"March 17, 2020",0.07%
"March 16, 2020",0.08%
"March 13, 2020",0.06%
"March 12, 2020",0.07%
"March 11, 2020",0.06%
"March 10, 2020",0.06%
"March 9, 2020",0.07%
"March 6, 2020",0.06%
"March 5, 2020",0.05%
"March 4, 2020",0.05%
"March 3, 2020",0.06%
"March 2, 2020",0.05%
"Feb. 28, 2020",0.06%
"Feb. 27, 2020",0.06%
"Feb. 26, 2020",0.05%
"Feb. 25, 2020",0.05%
"Feb. 24, 2020",0.05%
"Feb. 21, 2020",0.05%
"Feb. 20, 2020",0.05%
"Feb. 19, 2020",0.05%
"Feb. 18, 2020",0.05%
"Feb. 14, 2020",0.05%
"Feb. 13, 2020",0.05%
"Feb. 12, 2020",0.05%
"Feb. 11, 2020",0.05%
"Feb. 10, 2020",0.05%
"Feb. 7, 2020",0.05%
"Feb. 6, 2020",0.05%
"Feb. 5, 2020",0.05%
"Feb. 4, 2020",0.05%
"Feb. 3, 2020",0.05%
"Jan. 31, 2020",0.05%
"Jan. 30, 2020",0.05%
"Jan. 29, 2020",0.05%
"Jan. 28, 2020",0.05%
"Jan. 27, 2020",0.05%
"Jan. 24, 2020",0.05%
"Jan. 23, 2020",0.05%
"Jan. 22, 2020",0.05%
"Jan. 21, 2020",0.05%
"Jan. 17, 2020",0.05%
"Jan. 16, 2020",0.05%
"Jan. 15, 2020",0.05%
"Jan. 14, 2020",0.05%
"Jan. 13, 2020",0.05%
"Jan. 10, 2020",0.05%
"Jan. 9, 2020",0.04%
"Jan. 8, 2020",0.04%
"Jan. 7, 2020",0.04%
"Jan. 6, 2020",0.04%
"Jan. 3, 2020",0.04%
"Jan. 2, 2020",0.04%
"Dec. 31, 2019",0.04%
"Dec. 30, 2019",5.84%
"Dec. 27, 2019",5.81%
"Dec. 26, 2019",5.80%
"Dec. 24, 2019",5.81%
"Dec. 23, 2019",5.81%
"Dec. 20, 2019",5.84%
"Dec. 19, 2019",5.92%
"Dec. 18, 2019",5.90%
"Dec. 17, 2019",5.90%
"Dec. 16, 2019",5.86%
"Dec. 13, 2019",5.93%
"Dec. 12, 2019",5.89%
"Dec. 11, 2019",6.02%
"Dec. 10, 2019",5.93%
"Dec. 9, 2019",5.96%
"Dec. 6, 2019",5.93%
"Dec. 5, 2019",6.01%
"Dec. 4, 2019",5.98%
"Dec. 3, 2019",6.03%
"Dec. 2, 2019",5.99%
"Nov. 29, 2019",5.97%
"Nov. 27, 2019",5.92%
"Nov. 26, 2019",5.94%
"Nov. 25, 2019",5.91%
"Nov. 22, 2019",5.90%
"Nov. 21, 2019",5.89%
"Nov. 20, 2019",5.96%
"Nov. 19, 2019",6.01%
"Nov. 18, 2019",5.90%
"Nov. 15, 2019",5.80%
"Nov. 14, 2019",5.73%
"Nov. 13, 2019",5.72%
"Nov. 12, 2019",5.78%
"Nov. 11, 2019",5.79%
"Nov. 8, 2019",5.78%
"Nov. 7, 2019",5.74%
"Nov. 6, 2019",5.83%
"Nov. 5, 2019",5.74%
"Nov. 4, 2019",5.75%
"Nov. 1, 2019",6.02%
"Oct. 31, 2019",6.02%
"Oct. 30, 2019",6.01%
"Oct. 29, 2019",5.92%
"Oct. 28, 2019",5.90%
"Oct. 25, 2019",5.89%
"Oct. 24, 2019",5.95%
"Oct. 23, 2019",5.93%
"Oct. 22, 2019",5.94%
