date,market_cap
"March 19, 2020",107.85B
"March 18, 2020",103.46B
"March 17, 2020",132.85B
"March 16, 2020",130.99B
"March 13, 2020",156.77B
"March 12, 2020",143.32B
"March 11, 2020",156.04B
"March 10, 2020",159.71B
"March 9, 2020",151.61B
"March 6, 2020",179.14B
"March 5, 2020",182.65B
"March 4, 2020",185.17B
"March 3, 2020",177.39B
"March 2, 2020",181.52B
"Feb. 28, 2020",175.42B
"Feb. 27, 2020",176.90B
"Feb. 26, 2020",184.25B
"Feb. 25, 2020",189.27B
"Feb. 24, 2020",196.78B
"Feb. 21, 2020",204.87B
"Feb. 20, 2020",206.37B
"Feb. 19, 2020",208.12B
"Feb. 18, 2020",207.18B
"Feb. 14, 2020",206.88B
"Feb. 13, 2020",209.85B
"Feb. 12, 2020",210.56B
"Feb. 11, 2020",209.00B
"Feb. 10, 2020",206.33B
"Feb. 7, 2020",205.04B
"Feb. 6, 2020",206.08B
"Feb. 5, 2020",207.57B
"Feb. 4, 2020",201.11B
"Feb. 3, 2020",200.04B
"Jan. 31, 2020",201.66B
"Jan. 30, 2020",209.67B
"Jan. 29, 2020",207.73B
"Jan. 28, 2020",209.15B
"Jan. 27, 2020",207.77B
"Jan. 24, 2020",210.52B
"Jan. 23, 2020",212.87B
"Jan. 22, 2020",212.50B
"Jan. 21, 2020",213.27B
"Jan. 17, 2020",217.54B
"Jan. 16, 2020",220.01B
"Jan. 15, 2020",218.58B
"Jan. 14, 2020",218.90B
"Jan. 13, 2020",219.57B
"Jan. 10, 2020",219.16B
"Jan. 9, 2020",221.17B
"Jan. 8, 2020",221.53B
"Jan. 7, 2020",224.09B
"Jan. 6, 2020",226.99B
"Jan. 3, 2020",227.76B
"Jan. 2, 2020",228.55B
"Dec. 31, 2019",226.82B
"Dec. 30, 2019",226.62B
"Dec. 27, 2019",227.47B
"Dec. 26, 2019",228.04B
"Dec. 24, 2019",227.55B
"Dec. 23, 2019",227.53B
"Dec. 20, 2019",226.30B
"Dec. 19, 2019",223.37B
"Dec. 18, 2019",224.16B
"Dec. 17, 2019",224.26B
"Dec. 16, 2019",225.69B
"Dec. 13, 2019",223.05B
"Dec. 12, 2019",224.65B
"Dec. 11, 2019",219.78B
"Dec. 10, 2019",222.91B
"Dec. 9, 2019",221.80B
"Dec. 6, 2019",223.14B
"Dec. 5, 2019",219.97B
"Dec. 4, 2019",221.12B
"Dec. 3, 2019",219.13B
"Dec. 2, 2019",220.85B
"Nov. 29, 2019",221.48B
"Nov. 27, 2019",223.26B
"Nov. 26, 2019",222.73B
"Nov. 25, 2019",223.84B
"Nov. 22, 2019",224.31B
"Nov. 21, 2019",224.58B
"Nov. 20, 2019",221.87B
"Nov. 19, 2019",220.19B
"Nov. 18, 2019",224.16B
"Nov. 15, 2019",228.11B
"Nov. 14, 2019",230.61B
"Nov. 13, 2019",231.22B
"Nov. 12, 2019",228.72B
"Nov. 11, 2019",228.44B
"Nov. 8, 2019",228.66B
"Nov. 7, 2019",230.48B
"Nov. 6, 2019",226.72B
"Nov. 5, 2019",230.57B
"Nov. 4, 2019",229.87B
"Nov. 1, 2019",219.74B
"Oct. 31, 2019",219.61B
"Oct. 30, 2019",220.02B
"Oct. 29, 2019",223.37B
"Oct. 28, 2019",224.03B
"Oct. 25, 2019",224.39B
"Oct. 24, 2019",222.33B
"Oct. 23, 2019",223.09B
"Oct. 22, 2019",222.74B
"Oct. 21, 2019",220.49B
"Oct. 18, 2019",216.96B
"Oct. 17, 2019",218.11B
"Oct. 16, 2019",217.66B
"Oct. 15, 2019",219.93B
"Oct. 14, 2019",219.68B
"Oct. 11, 2019",219.62B
"Oct. 10, 2019",216.68B
"Oct. 9, 2019",213.93B
"Oct. 8, 2019",211.23B
"Oct. 7, 2019",214.16B
"Oct. 4, 2019",215.28B
"Oct. 3, 2019",213.95B
"Oct. 2, 2019",212.33B
"Oct. 1, 2019",219.36B
"Sept. 30, 2019",224.26B
"Sept. 27, 2019",225.15B
"Sept. 26, 2019",228.11B
"Sept. 25, 2019",234.47B
"Sept. 24, 2019",234.91B
"Sept. 23, 2019",237.11B
"Sept. 20, 2019",236.01B
"Sept. 19, 2019",234.76B
"Sept. 18, 2019",235.75B
"Sept. 17, 2019",235.20B
"Sept. 16, 2019",235.63B
"Sept. 13, 2019",230.66B
"Sept. 12, 2019",230.51B
"Sept. 11, 2019",230.24B
"Sept. 10, 2019",231.32B
"Sept. 9, 2019",226.65B
"Sept. 6, 2019",224.51B
"Sept. 5, 2019",223.33B
"Sept. 4, 2019",222.59B
"Sept. 3, 2019",220.73B
"Aug. 30, 2019",223.48B
"Aug. 29, 2019",223.10B
"Aug. 28, 2019",221.79B
"Aug. 27, 2019",219.89B
"Aug. 26, 2019",219.72B
"Aug. 23, 2019",218.66B
"Aug. 22, 2019",223.50B
"Aug. 21, 2019",223.79B
"Aug. 20, 2019",220.46B
"Aug. 19, 2019",222.70B
"Aug. 16, 2019",219.86B
"Aug. 15, 2019",222.02B
"Aug. 14, 2019",223.52B
"Aug. 13, 2019",232.35B
"Aug. 12, 2019",230.94B
"Aug. 9, 2019",232.40B
"Aug. 8, 2019",233.94B
"Aug. 7, 2019",226.10B
"Aug. 6, 2019",226.63B
"Aug. 5, 2019",225.42B
"Aug. 2, 2019",229.20B
"Aug. 1, 2019",229.22B
"July 31, 2019",233.71B
"July 30, 2019",236.05B
"July 29, 2019",235.84B
"July 26, 2019",234.87B
"July 25, 2019",238.50B
"July 24, 2019",240.23B
"July 23, 2019",238.86B
"July 22, 2019",237.89B
"July 19, 2019",237.38B
"July 18, 2019",236.69B
"July 17, 2019",235.67B
"July 16, 2019",236.85B
"July 15, 2019",238.67B
"July 12, 2019",239.16B
"July 11, 2019",238.12B
"July 10, 2019",238.14B
"July 9, 2019",234.17B
"July 8, 2019",234.64B
"July 5, 2019",234.53B
"July 3, 2019",234.17B
"July 2, 2019",233.37B
"July 1, 2019",237.00B
"June 28, 2019",237.05B
"June 27, 2019",234.51B
"June 26, 2019",236.08B
"June 25, 2019",235.52B
"June 24, 2019",237.94B
"June 21, 2019",237.98B
"June 20, 2019",236.74B
"June 19, 2019",234.09B
"June 18, 2019",234.17B
"June 17, 2019",231.24B
"June 14, 2019",230.13B
"June 13, 2019",230.32B
"June 12, 2019",228.95B
"June 11, 2019",230.82B
"June 10, 2019",232.95B
"June 7, 2019",231.41B
"June 6, 2019",229.88B
"June 5, 2019",224.11B
"June 4, 2019",223.45B
"June 3, 2019",220.95B
"May 31, 2019",216.87B
"May 30, 2019",219.79B
"May 29, 2019",222.44B
"May 28, 2019",225.37B
"May 24, 2019",226.13B
"May 23, 2019",224.53B
"May 22, 2019",229.68B
"May 21, 2019",231.14B
"May 20, 2019",230.19B
"May 17, 2019",229.58B
"May 16, 2019",230.11B
"May 15, 2019",232.67B
"May 14, 2019",231.71B
"May 13, 2019",229.43B
"May 10, 2019",232.38B
"May 9, 2019",230.86B
"May 8, 2019",223.83B
"May 7, 2019",225.29B
"May 6, 2019",225.54B
"May 3, 2019",223.39B
"May 2, 2019",221.69B
"May 1, 2019",224.42B
"April 30, 2019",228.70B
"April 29, 2019",224.25B
"April 26, 2019",223.07B
"April 25, 2019",224.59B
"April 24, 2019",225.31B
"April 23, 2019",232.44B
"April 22, 2019",232.21B
"April 18, 2019",228.32B
"April 17, 2019",229.10B
"April 16, 2019",230.82B
"April 15, 2019",228.86B
"April 12, 2019",228.13B
"April 11, 2019",240.00B
"April 10, 2019",239.05B
"April 9, 2019",239.14B
"April 8, 2019",241.31B
"April 5, 2019",240.82B
"April 4, 2019",237.71B
"April 3, 2019",235.98B
"April 2, 2019",237.96B
"April 1, 2019",237.98B
"March 29, 2019",234.46B
"March 28, 2019",234.16B
"March 27, 2019",233.72B
"March 26, 2019",236.27B
"March 25, 2019",233.91B
"March 22, 2019",234.29B
"March 21, 2019",239.56B
"March 20, 2019",237.34B
"March 19, 2019",238.46B
"March 18, 2019",239.60B
"March 15, 2019",238.52B
"March 14, 2019",236.75B
"March 13, 2019",236.88B
"March 12, 2019",235.42B
