date,kz_index
"Dec. 31, 2018",-1.122
"Dec. 31, 2017",-0.7648
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",
"Dec. 31, 2013",
"Dec. 31, 2012",
"Dec. 31, 2011",-2.129
"Dec. 31, 2010",-1.945
"Dec. 31, 2009",
"Dec. 31, 2008",-2.323
"Dec. 31, 2007",-2.366
"Dec. 31, 2006",-2.354
"Dec. 31, 2005",-3.168
"Dec. 31, 2004",-2.356
"Dec. 31, 2003",-1.716
"Dec. 31, 2002",
"Dec. 31, 2001",
"Dec. 31, 2000",-1.331
"Dec. 31, 1999",-3.248
"Dec. 31, 1998",
"Dec. 31, 1997",
"Dec. 31, 1996",-1.060
"Dec. 31, 1995",-0.6102
